x (mm),altura (µm)
0.000000000,14.814943213
0.000203500,14.805028322
0.000406900,14.787114371
0.000610400,14.773199479
0.000813800,14.767285529
0.001017300,14.749370637
0.001220700,14.739456686
0.001424200,14.729541794
0.001627600,14.719627844
0.001831100,14.701712952
0.002034500,14.691799001
0.002238000,14.681884109
0.002441400,14.667970159
0.002644900,14.658055267
0.002848300,14.648141316
0.003051800,14.634226425
0.003255200,14.624312474
0.003458700,14.614397582
0.003662100,14.608483631
0.003865600,14.590568740
0.004069000,14.580654789
0.004272500,14.574739897
0.004475900,14.560825947
0.004679400,14.550911055
0.004882800,14.540997104
0.005086300,14.527082212
0.005289700,14.517168262
0.005493200,14.511253370
0.005696600,14.501339419
0.005900100,14.487424527
0.006103500,14.481510577
0.006307000,14.471595685
0.006510400,14.457681734
0.006713900,14.447766843
0.006917300,14.441852892
0.007120800,14.427938000
0.007324200,14.418024049
0.007527700,14.412109158
0.007731100,14.398195207
0.007934600,14.388280315
0.008138000,14.378366364
0.008341500,14.372451473
0.008544900,14.358537522
0.008748400,14.348622630
0.008951800,14.338708680
0.009155300,14.324793788
0.009358700,14.318879837
0.009562200,14.308964945
0.009765600,14.295050995
0.009969100,14.285136103
0.010172500,14.279222152
0.010376000,14.269307261
0.010579400,14.255393310
0.010782900,14.245478418
0.010986300,14.235564467
0.011189800,14.221649576
0.011393200,14.211735625
0.011596700,14.201820733
0.011800100,14.187906782
0.012003600,14.177991891
0.012207000,14.168077940
0.012410500,14.158163048
0.012613900,14.144249098
0.012817400,14.134334206
0.013020800,14.124420255
0.013224300,14.106505363
0.013427700,14.096591413
0.013631200,14.086676521
0.013834600,14.068762570
0.014038100,14.058847679
0.014241500,14.048933728
0.014445000,14.039018836
0.014648400,14.021104885
0.014851900,14.011189994
0.015055300,14.001276043
0.015258800,13.983361151
0.015462200,13.973447200
0.015665700,13.963532309
0.015869100,13.945618358
0.016072600,13.935703466
0.016276000,13.925789516
0.016479500,13.907874624
0.016682900,13.893960673
0.016886400,13.884045781
0.017089800,13.874131831
0.017293300,13.856216939
0.017496700,13.846302988
0.017700200,13.832388097
0.017903600,13.814474146
0.018107100,13.804559254
0.018310500,13.794645303
0.018514000,13.772730412
0.018717400,13.762816461
0.018920900,13.752901569
0.019124300,13.738987618
0.019327800,13.721072727
0.019531300,13.711157835
0.019734700,13.697243884
0.019938200,13.679328993
