x (mm),altura (µm)
0.000000000,-13.082554904
0.000203500,-13.088845652
0.000406900,-13.091135274
0.000610400,-13.093426022
0.000813800,-13.099715644
0.001017300,-13.102006392
0.001220700,-13.108296014
0.001424200,-13.110586762
0.001627600,-13.112876384
0.001831100,-13.119167132
0.002034500,-13.121456754
0.002238000,-13.123747502
0.002441400,-13.130037124
0.002644900,-13.132327872
0.002848300,-13.138617494
0.003051800,-13.140908242
0.003255200,-13.147197864
0.003458700,-13.149488612
0.003662100,-13.151778234
0.003865600,-13.158068982
0.004069000,-13.160358604
0.004272500,-13.166649352
0.004475900,-13.168938974
0.004679400,-13.175229722
0.004882800,-13.177519344
0.005086300,-13.183810092
0.005289700,-13.186099714
0.005493200,-13.188390462
0.005696600,-13.194680084
0.005900100,-13.196970832
0.006103500,-13.203260454
0.006307000,-13.205551202
0.006510400,-13.211840824
0.006713900,-13.214131572
0.006917300,-13.220421194
0.007120800,-13.226711942
0.007324200,-13.229001564
0.007527700,-13.231292312
0.007731100,-13.237581934
0.007934600,-13.239872682
0.008138000,-13.246162304
0.008341500,-13.248453052
0.008544900,-13.254742674
0.008748400,-13.257033422
0.008951800,-13.263323044
0.009155300,-13.269613792
0.009358700,-13.271903414
0.009562200,-13.278194162
0.009765600,-13.280483784
0.009969100,-13.286774532
0.010172500,-13.289064154
0.010376000,-13.295354902
0.010579400,-13.301644524
0.010782900,-13.303935272
0.010986300,-13.306224894
0.011189800,-13.312515642
0.011393200,-13.318805264
0.011596700,-13.321096012
0.011800100,-13.327385634
0.012003600,-13.333676382
0.012207000,-13.335966004
0.012410500,-13.342256752
0.012613900,-13.344546374
0.012817400,-13.350837122
0.013020800,-13.353126744
0.013224300,-13.359417492
0.013427700,-13.365707114
0.013631200,-13.367997862
0.013834600,-13.374287484
0.014038100,-13.380578232
0.014241500,-13.382867854
0.014445000,-13.389158602
0.014648400,-13.395448224
0.014851900,-13.401738972
0.015055300,-13.404028594
0.015258800,-13.410319342
0.015462200,-13.416608964
0.015665700,-13.418899712
0.015869100,-13.425189334
0.016072600,-13.431480082
0.016276000,-13.433769704
0.016479500,-13.444060452
0.016682900,-13.446350074
0.016886400,-13.452640822
0.017089800,-13.454930444
0.017293300,-13.465221192
0.017496700,-13.467510814
0.017700200,-13.473801562
0.017903600,-13.480091184
0.018107100,-13.486381932
0.018310500,-13.488671554
0.018514000,-13.494962302
0.018717400,-13.501251924
0.018920900,-13.507542672
0.019124300,-13.509832294
0.019327800,-13.520123042
0.019531300,-13.522413790
0.019734700,-13.528703412
0.019938200,-13.534994160
0.020141600,-13.541283782
0.020345100,-13.547574530
0.020548500,-13.553864152
0.020752000,-13.560154900
0.020955400,-13.566444522
0.021158900,-13.568735270
0.021362300,-13.579024892
0.021565800,-13.581315640
0.021769200,-13.587605262
