Parámetro,Valor
Ra (Promedio Aritmético),2.252 µm
Rq (RMS),2.732 µm
Rp (Pico Máximo),5.716 µm
Rv (Valle Máximo),-6.412 µm
Rt (Altura Total del Perfil),12.128 µm
Rz (ISO 4287:1997),8.942 µm
Rsk (Asimetría),-0.103
Rku (Curtosis),2.324
RSm (Anchura Media de Elementos),273.209 µm
Rdq (Pendiente RMS),31.983 µm/mm
Rda (Pendiente Media Absoluta),22.972 µm/mm
Pc (Conteo de Picos),87.60 1/mm
Rpk (Altura de picos que se desgastan),0.677 µm
Rk (Profundidad del núcleo funcional),3.378 µm
Rvk (Profundidad de valles para lubricante),0.887 µm
Mr1 (%),21.91
Mr2 (%),68.62
