x (mm),altura (µm)
0.000000000,-3.718757782
0.000203500,-3.717630334
0.000406900,-3.716501474
0.000610400,-3.715374026
0.000813800,-3.718245166
0.001017300,-3.717117718
0.001220700,-3.715988858
0.001424200,-3.714861409
0.001627600,-3.717732550
0.001831100,-3.716605101
0.002034500,-3.715476242
0.002238000,-3.714348793
0.002441400,-3.713219934
0.002644900,-3.716092485
0.002848300,-3.714963626
0.003051800,-3.713836177
0.003255200,-3.712707318
0.003458700,-3.715579869
0.003662100,-3.714451010
0.003865600,-3.713323561
0.004069000,-3.712194702
0.004272500,-3.711067253
0.004475900,-3.709938394
0.004679400,-3.712810945
0.004882800,-3.711682086
0.005086300,-3.710554637
0.005289700,-3.709425777
0.005493200,-3.708298329
0.005696600,-3.711169469
0.005900100,-3.706042021
0.006103500,-3.708913161
0.006307000,-3.707785713
0.006510400,-3.706656853
0.006713900,-3.705529405
0.006917300,-3.704400545
0.007120800,-3.703273097
0.007324200,-3.702144237
0.007527700,-3.705016789
0.007731100,-3.699887929
0.007934600,-3.702760481
0.008138000,-3.701631621
0.008341500,-3.700504173
0.008544900,-3.699375313
0.008748400,-3.698247865
0.008951800,-3.701119005
0.009155300,-3.695991557
0.009358700,-3.694862697
0.009562200,-3.697735249
0.009765600,-3.692606389
0.009969100,-3.695478941
0.010172500,-3.694350081
0.010376000,-3.693222633
0.010579400,-3.692093773
0.010782900,-3.690966325
0.010986300,-3.689837465
0.011189800,-3.688710017
0.011393200,-3.687581157
0.011596700,-3.690453709
0.011800100,-3.685324849
0.012003600,-3.684197401
0.012207000,-3.687068541
0.012410500,-3.685941093
0.012613900,-3.684812233
0.012817400,-3.683684785
0.013020800,-3.682555925
0.013224300,-3.681428477
0.013427700,-3.680299617
0.013631200,-3.679172169
0.013834600,-3.678043309
0.014038100,-3.676915861
0.014241500,-3.675787001
0.014445000,-3.674659553
0.014648400,-3.673530693
0.014851900,-3.672403245
0.015055300,-3.671274385
0.015258800,-3.670146937
0.015462200,-3.669018077
0.015665700,-3.667890629
0.015869100,-3.666761769
0.016072600,-3.665634321
0.016276000,-3.664505461
0.016479500,-3.659378013
0.016682900,-3.662249153
0.016886400,-3.661121705
0.017089800,-3.659992845
0.017293300,-3.654865397
0.017496700,-3.657736537
0.017700200,-3.656609089
0.017903600,-3.651480229
0.018107100,-3.650352781
0.018310500,-3.653223921
0.018514000,-3.648096473
0.018717400,-3.646967613
0.018920900,-3.645840165
0.019124300,-3.644711305
0.019327800,-3.643583856
0.019531300,-3.642456408
0.019734700,-3.641327548
0.019938200,-3.636200100
0.020141600,-3.639071240
0.020345100,-3.637943792
0.020548500,-3.632814932
0.020752000,-3.631687484
0.020955400,-3.630558624
0.021158900,-3.633431176
0.021362300,-3.628302316
0.021565800,-3.627174868
0.021769200,-3.626046008
0.021972700,-3.624918560
0.022176100,-3.623789700
0.022379600,-3.622662252
0.022583000,-3.617533392
0.022786500,-3.616405944
0.022989900,-3.619277084
0.023193400,-3.618149636
0.023396800,-3.613020776
0.023600300,-3.611893328
0.023803700,-3.610764468
0.024007200,-3.609637020
0.024210600,-3.608508160
0.024414100,-3.607380712
0.024617500,-3.602251852
0.024821000,-3.601124404
0.025024400,-3.603995544
0.025227900,-3.598868096
0.025431300,-3.597739236
0.025634800,-3.596611788
0.025838200,-3.595482928
0.026041700,-3.594355480
0.026245100,-3.593226620
0.026448600,-3.592099172
0.026652000,-3.586970312
0.026855500,-3.585842864
0.027058900,-3.588714004
0.027262400,-3.583586556
0.027465800,-3.582457696
0.027669300,-3.581330248
0.027872700,-3.580201388
0.028076200,-3.579073940
0.028279600,-3.577945080
0.028483100,-3.576817632
0.028686500,-3.571688772
0.028890000,-3.574561324
0.029093400,-3.573432464
0.029296900,-3.568305016
0.029500300,-3.567176156
0.029703800,-3.570048708
0.029907200,-3.568919848
0.030110700,-3.563792400
0.030314100,-3.562663540
0.030517600,-3.561536092
0.030721000,-3.560407232
0.030924500,-3.559279784
0.031127900,-3.558150924
0.031331400,-3.557023476
0.031534800,-3.555894616
0.031738300,-3.554767168
0.031941700,-3.553638308
0.032145200,-3.552510860
0.032348600,-3.551382000
0.032552100,-3.550254552
0.032755500,-3.549125692
0.032959000,-3.547998243
0.033162400,-3.546869384
0.033365900,-3.545741935
0.033569300,-3.544613076
0.033772800,-3.543485627
0.033976200,-3.546356768
0.034179700,-3.541229319
0.034383100,-3.540100460
0.034586600,-3.542973011
0.034790000,-3.537844152
0.034993500,-3.540716703
0.035196900,-3.539587844
0.035400400,-3.538460395
0.035603800,-3.537331536
0.035807300,-3.536204087
0.036010700,-3.535075228
0.036214200,-3.533947779
0.036417600,-3.532818920
0.036621100,-3.535691471
0.036824500,-3.530562611
0.037028000,-3.533435163
0.037231400,-3.532306303
0.037434900,-3.531178855
0.037638300,-3.530049995
0.037841800,-3.532922547
