x (mm),altura (µm)
0.000000000,-2.584097504
0.000203500,-2.580164475
0.000406900,-2.576231412
0.000610400,-2.576298382
0.000813800,-2.576365319
0.001017300,-2.576432289
0.001220700,-2.572499226
0.001424200,-2.572566196
0.001627600,-2.572633133
0.001831100,-2.572700103
0.002034500,-2.568767040
0.002238000,-2.564834010
0.002441400,-2.564900947
0.002644900,-2.564967917
0.002848300,-2.565034854
0.003051800,-2.561101824
0.003255200,-2.561168761
0.003458700,-2.561235731
0.003662100,-2.561302669
0.003865600,-2.557369639
0.004069000,-2.557436576
0.004272500,-2.553503546
0.004475900,-2.549570483
0.004679400,-2.553637453
0.004882800,-2.549704390
0.005086300,-2.549771360
0.005289700,-2.545838297
0.005493200,-2.545905267
0.005696600,-2.545972204
0.005900100,-2.542039174
0.006103500,-2.542106111
0.006307000,-2.542173081
0.006510400,-2.538240018
0.006713900,-2.534306988
0.006917300,-2.534373925
0.007120800,-2.530440895
0.007324200,-2.530507833
0.007527700,-2.530574803
0.007731100,-2.526641740
0.007934600,-2.526708710
0.008138000,-2.526775647
0.008341500,-2.522842617
0.008544900,-2.522909554
0.008748400,-2.518976524
0.008951800,-2.519043461
0.009155300,-2.515110431
0.009358700,-2.511177368
0.009562200,-2.515244338
0.009765600,-2.507311275
0.009969100,-2.511378245
0.010172500,-2.507445182
0.010376000,-2.507512152
0.010579400,-2.503579089
0.010782900,-2.503646059
0.010986300,-2.499712997
0.011189800,-2.495779967
0.011393200,-2.495846904
0.011596700,-2.495913874
0.011800100,-2.491980811
0.012003600,-2.488047781
0.012207000,-2.492114718
0.012410500,-2.488181688
0.012613900,-2.488248625
0.012817400,-2.484315595
0.013020800,-2.484382532
0.013224300,-2.480449502
0.013427700,-2.476516439
0.013631200,-2.476583409
0.013834600,-2.472650346
0.014038100,-2.472717316
0.014241500,-2.468784253
0.014445000,-2.468851223
0.014648400,-2.464918161
0.014851900,-2.464985131
0.015055300,-2.461052068
0.015258800,-2.461119038
0.015462200,-2.457185975
0.015665700,-2.457252945
0.015869100,-2.453319882
0.016072600,-2.449386852
0.016276000,-2.449453789
0.016479500,-2.441520759
0.016682900,-2.445587696
0.016886400,-2.441654666
0.017089800,-2.441721603
0.017293300,-2.433788573
0.017496700,-2.437855510
0.017700200,-2.433922480
0.017903600,-2.429989418
0.018107100,-2.426056388
0.018310500,-2.430123325
0.018514000,-2.422190295
0.018717400,-2.418257232
0.018920900,-2.418324202
0.019124300,-2.414391139
0.019327800,-2.414458109
0.019531300,-2.410525079
0.019734700,-2.410592016
0.019938200,-2.402658986
0.020141600,-2.406725923
0.020345100,-2.402792893
0.020548500,-2.398859830
0.020752000,-2.394926800
0.020955400,-2.394993737
0.021158900,-2.395060707
0.021362300,-2.387127644
0.021565800,-2.387194614
0.021769200,-2.383261552
0.021972700,-2.383328522
0.022176100,-2.379395459
0.022379600,-2.379462429
0.022583000,-2.371529366
0.022786500,-2.371596336
0.022989900,-2.371663273
0.023193400,-2.371730243
0.023396800,-2.363797180
0.023600300,-2.363864150
0.023803700,-2.359931087
0.024007200,-2.359998057
0.024210600,-2.356064994
0.024414100,-2.352131964
0.024617500,-2.348198901
0.024821000,-2.344265871
0.025024400,-2.348332808
0.025227900,-2.340399778
0.025431300,-2.340466716
0.025634800,-2.336533686
0.025838200,-2.336600623
0.026041700,-2.332667593
0.026245100,-2.332734530
0.026448600,-2.328801500
0.026652000,-2.324868437
0.026855500,-2.320935407
0.027058900,-2.325002344
0.027262400,-2.317069314
0.027465800,-2.313136251
0.027669300,-2.313203221
0.027872700,-2.309270158
0.028076200,-2.309337128
0.028279600,-2.305404065
0.028483100,-2.305471035
0.028686500,-2.297537972
0.028890000,-2.301604942
0.029093400,-2.297671880
0.029296900,-2.293738850
0.029500300,-2.289805787
0.029703800,-2.293872757
0.029907200,-2.289939694
0.030110700,-2.286006664
0.030314100,-2.282073601
0.030517600,-2.282140571
0.030721000,-2.278207508
0.030924500,-2.274274478
0.031127900,-2.274341415
0.031331400,-2.270408385
0.031534800,-2.270475322
0.031738300,-2.266542292
0.031941700,-2.266609229
0.032145200,-2.262676199
0.032348600,-2.262743136
0.032552100,-2.258810107
0.032755500,-2.258877044
0.032959000,-2.254944014
0.033162400,-2.255010951
0.033365900,-2.251077921
0.033569300,-2.251144858
0.033772800,-2.247211828
0.033976200,-2.251278765
0.034179700,-2.243345735
0.034383100,-2.239412672
0.034586600,-2.243479642
0.034790000,-2.235546579
0.034993500,-2.239613549
0.035196900,-2.235680486
0.035400400,-2.235747456
0.035603800,-2.231814393
0.035807300,-2.231881363
0.036010700,-2.227948301
0.036214200,-2.228015271
0.036417600,-2.224082208
0.036621100,-2.228149178
0.036824500,-2.220216115
0.037028000,-2.224283085
0.037231400,-2.220350022
0.037434900,-2.220416992
0.037638300,-2.216483929
0.037841800,-2.220550899
0.038045200,-2.212617836
0.038248700,-2.216684806
0.038452100,-2.212751743
0.038655600,-2.208818713
0.038859000,-2.208885650
0.039062500,-2.208952620
0.039266000,-2.209019590
0.039469400,-2.205086527
0.039672900,-2.205153497
0.039876300,-2.201220435
0.040079800,-2.201287405
0.040283200,-2.201354342
0.040486700,-2.201421312
0.040690100,-2.197488249
0.040893600,-2.197555219
0.041097000,-2.197622156
0.041300500,-2.197689126
0.041503900,-2.193756063
0.041707400,-2.193823033
0.041910800,-2.189889970
0.042114300,-2.189956940
0.042317700,-2.190023877
0.042521200,-2.190090847
0.042724600,-2.186157784
0.042928100,-2.182224754
0.043131500,-2.182291691
0.043335000,-2.182358661
0.043538400,-2.182425599
0.043741900,-2.178492569
0.043945300,-2.178559506
0.044148800,-2.174626476
0.044352200,-2.174693413
0.044555700,-2.174760383
0.044759100,-2.170827320
0.044962600,-2.170894290
0.045166000,-2.170961227
0.045369500,-2.171028197
0.045572900,-2.167095134
0.045776400,-2.167162104
0.045979800,-2.167229041
0.046183300,-2.163296011
0.046386700,-2.163362948
0.046590200,-2.159429918
0.046793600,-2.159496855
0.046997100,-2.155563825
0.047200500,-2.159630763
0.047404000,-2.155697733
0.047607400,-2.155764670
0.047810900,-2.151831640
0.048014300,-2.151898577
0.048217800,-2.147965547
0.048421200,-2.144032484
0.048624700,-2.148099454
0.048828100,-2.140166391
0.049031600,-2.144233361
0.049235000,-2.140300298
0.049438500,-2.140367268
0.049641900,-2.136434205
0.049845400,-2.136501175
0.050048800,-2.136568112
0.050252300,-2.132635082
0.050455700,-2.128702020
0.050659200,-2.132768990
0.050862600,-2.124835927
0.051066100,-2.128902897
0.051269500,-2.124969834
0.051473000,-2.125036804
0.051676400,-2.121103741
0.051879900,-2.121170711
0.052083300,-2.121237648
0.052286800,-2.117304618
0.052490200,-2.117371555
0.052693700,-2.117438525
0.052897100,-2.113505462
0.053100600,-2.113572432
0.053304000,-2.109639369
0.053507500,-2.113706339
0.053710900,-2.105773276
0.053914400,-2.109840246
0.054117800,-2.105907184
0.054321300,-2.105974154
0.054524700,-2.102041091
0.054728200,-2.102108061
0.054931600,-2.098174998
0.055135100,-2.098241968
0.055338500,-2.098308905
0.055542000,-2.094375875
0.055745400,-2.094442812
0.055948900,-2.090509782
0.056152300,-2.090576719
0.056355800,-2.086643689
0.056559200,-2.086710626
0.056762700,-2.086777596
0.056966100,-2.082844533
0.057169600,-2.082911503
0.057373000,-2.082978440
0.057576500,-2.079045410
0.057779900,-2.079112348
0.057983400,-2.075179318
0.058186800,-2.079246255
0.058390300,-2.071313225
0.058593800,-2.075380195
0.058797200,-2.071447132
0.059000700,-2.071514102
0.059204100,-2.067581039
0.059407600,-2.067648009
0.059611000,-2.063714946
0.059814500,-2.063781916
0.060017900,-2.063848853
0.060221400,-2.063915823
0.060424800,-2.059982760
0.060628300,-2.060049730
0.060831700,-2.056116667
0.061035200,-2.056183637
0.061238600,-2.056250574
0.061442100,-2.056317544
0.061645500,-2.052384482
0.061849000,-2.052451452
0.062052400,-2.048518389
0.062255900,-2.052585359
0.062459300,-2.044652296
0.062662800,-2.048719266
0.062866200,-2.044786203
0.063069700,-2.044853173
0.063273100,-2.040920110
0.063476600,-2.040987080
0.063680000,-2.037054017
0.063883500,-2.037120987
0.064086900,-2.037187924
0.064290400,-2.037254894
0.064493800,-2.033321831
0.064697300,-2.033388801
0.064900700,-2.033455739
0.065104200,-2.029522709
0.065307600,-2.029589646
0.065511100,-2.029656616
0.065714500,-2.025723553
0.065918000,-2.025790523
0.066121400,-2.021857460
0.066324900,-2.021924430
0.066528300,-2.017991367
0.066731800,-2.022058337
