Parámetro,Valor
Ra (Promedio Aritmético),0.424 µm
Rq (RMS),0.694 µm
Rp (Pico Máximo),1.788 µm
Rv (Valle Máximo),-3.316 µm
Rt (Altura Total del Perfil),5.104 µm
Rz (ISO 4287:1997),1.255 µm
Rsk (Asimetría),-2.165
Rku (Curtosis),10.553
RSm (Anchura Media de Elementos),16.285 µm
Rdq (Pendiente RMS),7.020 µm/mm
Rda (Pendiente Media Absoluta),4.640 µm/mm
Pc (Conteo de Picos),655.40 1/mm
Rpk (Altura de picos que se desgastan),0.234 µm
Rk (Profundidad del núcleo funcional),0.150 µm
Rvk (Profundidad de valles para lubricante),0.575 µm
Mr1 (%),36.81
Mr2 (%),70.61
