x (mm),altura (µm)
0.000000000,-24.438987061
0.000762200,-24.464743974
0.001524400,-24.486500888
0.002286600,-24.508257801
0.003048800,-24.534014714
0.003811000,-24.559771627
0.004573200,-24.585528541
0.005335400,-24.607285454
0.006097600,-24.633042367
0.006859800,-24.658799281
0.007622000,-24.684556194
0.008384100,-24.706312352
0.009146300,-24.732069265
0.009908500,-24.761826179
0.010670700,-24.787583092
0.011432900,-24.813340005
0.012195100,-24.839096918
0.012957300,-24.868853832
0.013719500,-24.894610745
0.014481700,-24.924367658
0.015243900,-24.950124572
0.016006100,-24.979881485
0.016768300,-25.013638398
0.017530500,-25.043395312
0.018292700,-25.069152225
0.019054900,-25.106909138
0.019817100,-25.136666051
0.020579300,-25.170422965
0.021341500,-25.200179878
0.022103700,-25.237936791
0.022865900,-25.271693705
0.023628000,-25.309449863
0.024390200,-25.351206776
0.025152400,-25.384963689
0.025914600,-25.418720603
0.026676800,-25.468477516
0.027439000,-25.506234429
0.028201200,-25.539991342
0.028963400,-25.593748256
0.029725600,-25.635505169
0.030487800,-25.673262082
0.031250000,-25.715018996
0.032012200,-25.768775909
0.032774400,-25.810532822
0.033536600,-25.856289736
0.034298800,-25.918046649
0.035061000,-25.963803562
0.035823200,-26.005560475
0.036585400,-26.071317389
0.037347600,-26.117074302
0.038109800,-26.166831215
0.038872000,-26.212588129
0.039634100,-26.282344287
0.040396300,-26.332101200
0.041158500,-26.381858113
0.041920700,-26.459615027
0.042682900,-26.509371940
0.043445100,-26.559128853
0.044207300,-26.640885766
0.044969500,-26.694642680
0.045731700,-26.752399593
0.046493900,-26.806156506
0.047256100,-26.887913420
0.048018300,-26.945670333
0.048780500,-27.003427246
0.049542700,-27.097184160
0.050304900,-27.154941073
0.051067100,-27.212697986
0.051829300,-27.306454899
0.052591500,-27.368211813
0.053353700,-27.429968726
0.054115900,-27.495725639
0.054878000,-27.593481797
0.055640200,-27.655238711
0.056402400,-27.716995624
0.057164600,-27.822752537
0.057926800,-27.888509451
0.058689000,-27.954266364
0.059451200,-28.064023277
0.060213400,-28.125780190
0.060975600,-28.191537104
0.061737800,-28.305294017
0.062500000,-28.375050930
0.063262200,-28.440807844
0.064024400,-28.510564757
0.064786600,-28.624321670
0.065548800,-28.694078584
0.066311000,-28.763835497
0.067073200,-28.881592410
0.067835400,-28.955349323
0.068597600,-29.029106237
0.069359800,-29.146863150
0.070122000,-29.220620063
0.070884100,-29.294376221
0.071646300,-29.368133135
0.072408500,-29.493890048
0.073170700,-29.567646961
0.073932900,-29.641403875
0.074695100,-29.767160788
0.075457300,-29.844917701
0.076219500,-29.922674614
0.076981700,-30.048431528
0.077743900,-30.126188441
0.078506100,-30.203945354
0.079268300,-30.277702268
0.080030500,-30.411459181
0.080792700,-30.489216094
0.081554900,-30.566973008
0.082317100,-30.696729921
0.083079300,-30.778486834
0.083841500,-30.856243748
0.084603700,-30.990000661
0.085365900,-31.063757574
0.086128000,-31.145513732
0.086890200,-31.223270645
0.087652400,-31.357027559
0.088414600,-31.438784472
0.089176800,-31.516541385
0.089939000,-31.654298299
0.090701200,-31.728055212
0.091463400,-31.809812125
0.092225600,-31.947569039
0.092987800,-32.025325952
0.093750000,-32.107082865
0.094512200,-32.244839778
0.095274400,-32.326596692
0.096036600,-32.408353605
0.096798800,-32.490110518
0.097561000,-32.619867432
0.098323200,-32.701624345
0.099085400,-32.783381258
0.099847600,-32.921138172
0.100609800,-33.002895085
0.101372000,-33.084651998
0.102134100,-33.222408156
0.102896300,-33.304165069
0.103658500,-33.381921983
0.104420700,-33.463678896
0.105182900,-33.601435809
0.105945100,-33.683192723
0.106707300,-33.764949636
0.107469500,-33.902706549
0.108231700,-33.984463463
0.108993900,-34.066220376
0.109756100,-34.203977289
0.110518300,-34.285734202
0.111280500,-34.363491116
0.112042700,-34.445248029
0.112804900,-34.583004942
0.113567100,-34.664761856
0.114329300,-34.746518769
0.115091500,-34.884275682
0.115853700,-34.966032596
0.116615900,-35.047789509
0.117378000,-35.189545667
0.118140200,-35.271302580
0.118902400,-35.353059493
0.119664600,-35.434816407
0.120426800,-35.572573320
0.121189000,-35.654330233
0.121951200,-35.740087147
0.122713400,-35.877844060
0.123475600,-35.959600973
0.124237800,-36.041357887
0.125000000,-36.179114800
0.125762200,-36.260871713
0.126524400,-36.342628626
0.127286600,-36.424385540
0.128048800,-36.562142453
0.128811000,-36.643899366
0.129573200,-36.721656280
0.130335400,-36.855413193
0.131097600,-36.933170106
0.131859800,-37.014927020
0.132622000,-37.144683933
0.133384100,-37.226440091
0.134146300,-37.304197004
0.134908500,-37.429953917
0.135670700,-37.507710831
0.136432900,-37.585467744
0.137195100,-37.659224657
0.137957300,-37.784981571
0.138719500,-37.858738484
0.139481700,-37.936495397
0.140243900,-38.054252311
0.141006100,-38.128009224
0.141768300,-38.197766137
0.142530500,-38.311523050
0.143292700,-38.381279964
0.144054900,-38.451036877
0.144817100,-38.520793790
0.145579300,-38.626550704
0.146341500,-38.692307617
0.147103700,-38.758064530
0.147865900,-38.859821444
0.148628000,-38.921577602
0.149390200,-38.983334515
0.150152400,-39.077091428
0.150914600,-39.134848341
0.151676800,-39.192605255
0.152439000,-39.250362168
0.153201200,-39.336119081
0.153963400,-39.385875995
0.154725600,-39.439632908
0.155487800,-39.517389821
0.156250000,-39.567146735
0.157012200,-39.612903648
0.157774400,-39.682660561
0.158536600,-39.728417474
0.159298800,-39.774174388
0.160061000,-39.815931301
0.160823200,-39.869688214
0.161585400,-39.911445128
0.162347600,-39.949202041
0.163109800,-40.002958954
0.163872000,-40.040715868
0.164634100,-40.074472026
0.165396300,-40.120228939
0.166158500,-40.153985852
0.166920700,-40.187742765
0.167682900,-40.221499679
0.168445100,-40.255256592
0.169207300,-40.285013505
0.169969500,-40.310770419
0.170731700,-40.340527332
0.171493900,-40.366284245
0.172256100,-40.396041159
0.173018300,-40.417798072
0.173780500,-40.443554985
0.174542700,-40.465311898
0.175304900,-40.483068812
0.176067100,-40.504825725
0.176829300,-40.526582638
0.177591500,-40.548339552
0.178353700,-40.562096465
0.179115900,-40.579853378
0.179878000,-40.601609536
0.180640200,-40.611366450
0.181402400,-40.629123363
0.182164600,-40.646880276
0.182926800,-40.656637189
0.183689000,-40.670394103
0.184451200,-40.688151016
0.185213400,-40.705907929
