Parámetro,Valor
Ra (Promedio Aritmético),16.833 µm
Rq (RMS),20.441 µm
Rp (Pico Máximo),19.368 µm
Rv (Valle Máximo),-54.512 µm
Rt (Altura Total del Perfil),73.880 µm
Rz (ISO 4287:1997),16.860 µm
Rsk (Asimetría),-2.233
Rku (Curtosis),6.680
RSm (Anchura Media de Elementos),0.000 µm
Rdq (Pendiente RMS),52.252 µm/mm
Rda (Pendiente Media Absoluta),21.940 µm/mm
Pc (Conteo de Picos),155.40 1/mm
Rpk (Altura de picos que se desgastan),0.000 µm
Rk (Profundidad del núcleo funcional),13.104 µm
Rvk (Profundidad de valles para lubricante),32.976 µm
Mr1 (%),18.85
Mr2 (%),82.26
