x (mm),altura (µm)
0.000000000,-1.321421409
0.000203500,-1.325426792
0.000406900,-1.329432172
0.000610400,-1.329437555
0.000813800,-1.333442935
0.001017300,-1.337448317
0.001220700,-1.341453697
0.001424200,-1.341459080
0.001627600,-1.345464460
0.001831100,-1.349469843
0.002034500,-1.353475222
0.002238000,-1.353480605
0.002441400,-1.357485985
0.002644900,-1.361491368
0.002848300,-1.365496748
0.003051800,-1.365502130
0.003255200,-1.369507510
0.003458700,-1.373512893
0.003662100,-1.377518273
0.003865600,-1.377523656
0.004069000,-1.381529036
0.004272500,-1.385534418
0.004475900,-1.389539798
0.004679400,-1.389545181
0.004882800,-1.389550561
0.005086300,-1.393555944
0.005289700,-1.397561324
0.005493200,-1.401566706
0.005696600,-1.401572086
0.005900100,-1.405577469
0.006103500,-1.409582849
0.006307000,-1.413588232
0.006510400,-1.413593612
0.006713900,-1.417598994
0.006917300,-1.421604374
0.007120800,-1.421609757
0.007324200,-1.425615137
0.007527700,-1.425620519
0.007731100,-1.433625899
0.007934600,-1.433631282
0.008138000,-1.433636662
0.008341500,-1.437642045
0.008544900,-1.441647425
0.008748400,-1.445652807
0.008951800,-1.445658187
0.009155300,-1.445663570
0.009358700,-1.453668950
0.009562200,-1.453674333
0.009765600,-1.457679713
0.009969100,-1.457685095
0.010172500,-1.461690475
0.010376000,-1.461695858
0.010579400,-1.465701238
0.010782900,-1.465706621
0.010986300,-1.469712001
0.011189800,-1.473717383
0.011393200,-1.473722763
0.011596700,-1.473728146
0.011800100,-1.481733526
0.012003600,-1.481738908
0.012207000,-1.481744288
0.012410500,-1.485749671
0.012613900,-1.489755051
0.012817400,-1.489760434
0.013020800,-1.489765814
0.013224300,-1.493771196
0.013427700,-1.497776576
0.013631200,-1.497781959
0.013834600,-1.501787339
0.014038100,-1.501792722
0.014241500,-1.505798102
0.014445000,-1.505803484
0.014648400,-1.509808864
0.014851900,-1.509814247
0.015055300,-1.509819627
0.015258800,-1.513825010
0.015462200,-1.513830390
0.015665700,-1.513835772
0.015869100,-1.517841152
0.016072600,-1.521846535
0.016276000,-1.521851915
0.016479500,-1.521857297
0.016682900,-1.525862677
0.016886400,-1.529868060
0.017089800,-1.529873440
0.017293300,-1.529878823
0.017496700,-1.529884203
0.017700200,-1.533889585
0.017903600,-1.533894965
0.018107100,-1.537900348
0.018310500,-1.537905728
0.018514000,-1.541911111
0.018717400,-1.541916491
0.018920900,-1.541921873
0.019124300,-1.541927253
0.019327800,-1.545932636
0.019531300,-1.545938019
0.019734700,-1.549943399
0.019938200,-1.549948781
0.020141600,-1.553954161
0.020345100,-1.553959544
0.020548500,-1.553964924
0.020752000,-1.553970306
0.020955400,-1.557975686
0.021158900,-1.557981069
0.021362300,-1.557986449
0.021565800,-1.561991832
0.021769200,-1.565997212
0.021972700,-1.566002594
0.022176100,-1.566007974
0.022379600,-1.566013357
0.022583000,-1.570018737
0.022786500,-1.570024120
0.022989900,-1.570029500
0.023193400,-1.570034882
0.023396800,-1.578040262
0.023600300,-1.578045645
0.023803700,-1.578051025
0.024007200,-1.578056408
0.024210600,-1.582061788
0.024414100,-1.582067170
0.024617500,-1.582072550
0.024821000,-1.582077933
0.025024400,-1.586083313
0.025227900,-1.586088695
0.025431300,-1.590094075
0.025634800,-1.590099458
0.025838200,-1.594104838
0.026041700,-1.594110221
0.026245100,-1.594115601
0.026448600,-1.598120983
0.026652000,-1.598126363
0.026855500,-1.598131746
0.027058900,-1.598137126
0.027262400,-1.606142509
0.027465800,-1.606147889
0.027669300,-1.606153271
0.027872700,-1.606158651
0.028076200,-1.610164034
0.028279600,-1.610169414
0.028483100,-1.610174797
0.028686500,-1.610180177
0.028890000,-1.614185559
0.029093400,-1.614190939
0.029296900,-1.618196322
0.029500300,-1.618201702
0.029703800,-1.622207084
0.029907200,-1.622212464
0.030110700,-1.622217847
0.030314100,-1.622223227
0.030517600,-1.626228610
0.030721000,-1.626233990
0.030924500,-1.626239372
0.031127900,-1.630244752
0.031331400,-1.634250135
0.031534800,-1.634255515
0.031738300,-1.634260898
0.031941700,-1.634266278
0.032145200,-1.638271660
0.032348600,-1.638277040
0.032552100,-1.638282423
0.032755500,-1.642287803
0.032959000,-1.646293186
0.033162400,-1.646298566
0.033365900,-1.646303948
0.033569300,-1.646309328
0.033772800,-1.650314711
0.033976200,-1.650320091
0.034179700,-1.650325473
0.034383100,-1.654330853
0.034586600,-1.658336236
0.034790000,-1.658341616
0.034993500,-1.658346999
0.035196900,-1.658352379
0.035400400,-1.662357761
0.035603800,-1.666363141
