x (mm),altura (µm)
0.000000000,-39.312985832
0.000203500,-39.328517964
0.000406900,-39.352048360
0.000610400,-39.363580492
0.000813800,-39.379110889
0.001017300,-39.402643021
0.001220700,-39.414173417
0.001424200,-39.429705549
0.001627600,-39.441235945
0.001831100,-39.464768077
0.002034500,-39.480298474
0.002238000,-39.491830606
0.002441400,-39.515361002
0.002644900,-39.530893134
0.002848300,-39.546423530
0.003051800,-39.569955662
0.003255200,-39.581486058
0.003458700,-39.597018190
0.003662100,-39.608548587
0.003865600,-39.636080719
0.004069000,-39.647611115
0.004272500,-39.663143247
0.004475900,-39.686673643
0.004679400,-39.702205775
0.004882800,-39.713736171
0.005086300,-39.741268303
0.005289700,-39.752798700
0.005493200,-39.768330832
0.005696600,-39.783861228
0.005900100,-39.807393360
0.006103500,-39.818923756
0.006307000,-39.834455888
0.006510400,-39.857986285
0.006713900,-39.873518417
0.006917300,-39.889048813
0.007120800,-39.912580945
0.007324200,-39.928111341
0.007527700,-39.943643473
0.007731100,-39.967173869
0.007934600,-39.982706001
0.008138000,-39.994236398
0.008341500,-40.009768530
0.008544900,-40.037298926
0.008748400,-40.048831058
0.008951800,-40.064361454
0.009155300,-40.091893586
0.009358700,-40.103423982
0.009562200,-40.118956114
0.009765600,-40.146486511
0.009969100,-40.158018643
0.010172500,-40.173549039
0.010376000,-40.189081171
0.010579400,-40.212611567
0.010782900,-40.228143699
0.010986300,-40.243674096
0.011189800,-40.271206228
0.011393200,-40.282736624
0.011596700,-40.298268756
0.011800100,-40.325799152
0.012003600,-40.341331284
0.012207000,-40.352861680
0.012410500,-40.368393812
0.012613900,-40.395924209
0.012817400,-40.411456341
0.013020800,-40.422986737
0.013224300,-40.450518869
0.013427700,-40.466049265
0.013631200,-40.477581397
0.013834600,-40.505111793
0.014038100,-40.520643925
0.014241500,-40.536174322
0.014445000,-40.547706454
0.014648400,-40.575236850
0.014851900,-40.590768982
0.015055300,-40.602299378
0.015258800,-40.629831510
0.015462200,-40.645361907
0.015665700,-40.656894039
0.015869100,-40.684424435
0.016072600,-40.699956567
0.016276000,-40.711486963
0.016479500,-40.739019095
0.016682900,-40.750549491
0.016886400,-40.766081623
0.017089800,-40.781612020
0.017293300,-40.805144152
0.017496700,-40.816674548
0.017700200,-40.832206680
0.017903600,-40.855737076
0.018107100,-40.871269208
0.018310500,-40.882799604
0.018514000,-40.906331736
0.018717400,-40.921862133
0.018920900,-40.933394265
0.019124300,-40.948924661
0.019327800,-40.972456793
0.019531300,-40.983988925
0.019734700,-40.999519321
0.019938200,-41.019051453
0.020141600,-41.034581850
0.020345100,-41.046113981
0.020548500,-41.069644378
0.020752000,-41.081176510
0.020955400,-41.092706906
0.021158900,-41.104239038
0.021362300,-41.127769434
0.021565800,-41.139301566
0.021769200,-41.150831963
0.021972700,-41.174364095
0.022176100,-41.185894491
0.022379600,-41.197426623
0.022583000,-41.216957019
0.022786500,-41.228489151
0.022989900,-41.240019547
0.023193400,-41.251551679
0.023396800,-41.271082076
0.023600300,-41.282614208
0.023803700,-41.294144604
0.024007200,-41.313676736
0.024210600,-41.325207132
0.024414100,-41.336739264
0.024617500,-41.352269660
0.024821000,-41.363801792
0.025024400,-41.375332189
0.025227900,-41.394864321
0.025431300,-41.406394717
0.025634800,-41.413926849
0.025838200,-41.425457245
0.026041700,-41.444989377
0.026245100,-41.452519774
0.026448600,-41.464051906
0.026652000,-41.479582302
0.026855500,-41.491114434
0.027058900,-41.502644830
0.027262400,-41.518176962
0.027465800,-41.529707358
0.027669300,-41.537239490
0.027872700,-41.548769887
0.028076200,-41.564302019
0.028279600,-41.575832415
0.028483100,-41.587364547
0.028686500,-41.602894943
0.028890000,-41.610427075
0.029093400,-41.621957471
0.029296900,-41.637489603
0.029500300,-41.649020000
0.029703800,-41.656552132
0.029907200,-41.668082528
0.030110700,-41.683614660
0.030314100,-41.691145056
0.030517600,-41.702677188
0.030721000,-41.718207585
0.030924500,-41.725739717
0.031127900,-41.737270113
0.031331400,-41.752802245
0.031534800,-41.760332641
0.031738300,-41.771864773
0.031941700,-41.779395169
0.032145200,-41.794927301
0.032348600,-41.806457698
0.032552100,-41.813989830
0.032755500,-41.829520226
0.032959000,-41.841052358
0.033162400,-41.852582754
0.033365900,-41.868114886
0.033569300,-41.875645282
0.033772800,-41.887177414
0.033976200,-41.894707811
0.034179700,-41.910239943
0.034383100,-41.921770339
0.034586600,-41.929302471
0.034790000,-41.944832867
0.034993500,-41.956364999
0.035196900,-41.963895396
0.035400400,-41.979427528
0.035603800,-41.990957924
0.035807300,-41.998490056
0.036010700,-42.014020452
0.036214200,-42.025552584
0.036417600,-42.033082980
0.036621100,-42.044615112
0.036824500,-42.060145509
0.037028000,-42.067677641
0.037231400,-42.079208037
0.037434900,-42.094740169
0.037638300,-42.106270565
0.037841800,-42.113802697
0.038045200,-42.129333093
0.038248700,-42.140865225
0.038452100,-42.148395622
0.038655600,-42.159927754
0.038859000,-42.175458150
0.039062500,-42.182990282
0.039266000,-42.194522414
0.039469400,-42.210052810
0.039672900,-42.221584942
0.039876300,-42.229115339
0.040079800,-42.248647471
0.040283200,-42.256177867
0.040486700,-42.267709999
0.040690100,-42.275240395
0.040893600,-42.290772527
0.041097000,-42.302302923
0.041300500,-42.313835055
0.041503900,-42.329365452
0.041707400,-42.340897584
0.041910800,-42.348427980
0.042114300,-42.363960112
0.042317700,-42.375490508
0.042521200,-42.387022640
0.042724600,-42.394553036
0.042928100,-42.414085168
0.043131500,-42.421615565
0.043335000,-42.433147697
0.043538400,-42.448678093
0.043741900,-42.460210225
0.043945300,-42.471740621
0.044148800,-42.487272753
0.044352200,-42.498803150
0.044555700,-42.506335281
0.044759100,-42.525865678
0.044962600,-42.533397810
0.045166000,-42.544928206
0.045369500,-42.556460338
0.045572900,-42.571990734
0.045776400,-42.583522866
0.045979800,-42.595053263
0.046183300,-42.610585395
0.046386700,-42.622115791
0.046590200,-42.633647923
0.046793600,-42.649178319
0.046997100,-42.660710451
0.047200500,-42.672240847
0.047404000,-42.679772979
0.047607400,-42.699303376
0.047810900,-42.710835508
0.048014300,-42.718365904
0.048217800,-42.737898036
0.048421200,-42.749428432
0.048624700,-42.756960564
0.048828100,-42.776490961
0.049031600,-42.788023092
0.049235000,-42.795553489
0.049438500,-42.807085621
0.049641900,-42.826616017
0.049845400,-42.838148149
0.050048800,-42.845678545
0.050252300,-42.865210677
0.050455700,-42.876741074
0.050659200,-42.884273206
0.050862600,-42.903803602
0.051066100,-42.915335734
0.051269500,-42.926866130
0.051473000,-42.934398262
0.051676400,-42.953928658
0.051879900,-42.965460790
0.052083300,-42.972991187
0.052286800,-42.992523319
0.052490200,-43.000053715
0.052693700,-43.011585847
0.052897100,-43.031116243
0.053100600,-43.038648375
0.053304000,-43.050178771
0.053507500,-43.061710903
0.053710900,-43.077241300
0.053914400,-43.088773432
0.054117800,-43.096303828
0.054321300,-43.115835960
0.054524700,-43.123366356
0.054728200,-43.134898488
0.054931600,-43.150428885
0.055135100,-43.161961017
0.055338500,-43.173491413
0.055542000,-43.189023545
0.055745400,-43.196553941
0.055948900,-43.208086073
0.056152300,-43.215616469
0.056355800,-43.231148601
0.056559200,-43.242678998
0.056762700,-43.254211130
0.056966100,-43.269741526
0.057169600,-43.277273658
0.057373000,-43.288804054
0.057576500,-43.300336186
0.057779900,-43.311866582
0.057983400,-43.319398714
0.058186800,-43.330929111
0.058390300,-43.346461243
0.058593800,-43.353993375
0.058797200,-43.361523771
0.059000700,-43.377055903
0.059204100,-43.388586299
0.059407600,-43.396118431
0.059611000,-43.411648828
0.059814500,-43.419180960
0.060017900,-43.426711356
0.060221400,-43.438243488
0.060424800,-43.449773884
0.060628300,-43.461306016
0.060831700,-43.468836412
0.061035200,-43.484368544
0.061238600,-43.491898941
0.061442100,-43.499431073
0.061645500,-43.514961469
0.061849000,-43.522493601
0.062052400,-43.530023997
0.062255900,-43.537556129
0.062459300,-43.553086525
0.062662800,-43.560618657
0.062866200,-43.568149054
0.063069700,-43.583681186
0.063273100,-43.591211582
0.063476600,-43.598743714
0.063680000,-43.614274110
0.063883500,-43.621806242
0.064086900,-43.629336639
0.064290400,-43.644868771
0.064493800,-43.652399167
0.064697300,-43.659931299
0.064900700,-43.671461695
0.065104200,-43.682993827
0.065307600,-43.690524223
0.065511100,-43.702056355
0.065714500,-43.713586752
0.065918000,-43.721118884
0.066121400,-43.732649280
0.066324900,-43.744181412
0.066528300,-43.751711808
0.066731800,-43.763243940
0.066935200,-43.770774336
0.067138700,-43.782306468
0.067342100,-43.789836865
0.067545600,-43.801368997
0.067749000,-43.812899393
0.067952500,-43.820431525
0.068155900,-43.831961921
0.068359400,-43.843494053
0.068562800,-43.851024450
0.068766300,-43.862556582
0.068969700,-43.870086978
0.069173200,-43.881619110
0.069376600,-43.893149506
0.069580100,-43.900681638
0.069783500,-43.912212034
0.069987000,-43.923744166
0.070190400,-43.931274563
0.070393900,-43.942806695
0.070597300,-43.950337091
0.070800800,-43.961869223
0.071004200,-43.969399619
0.071207700,-43.980931751
0.071411100,-43.992462147
0.071614600,-43.999994279
0.071818000,-44.011524676
0.072021500,-44.019056808
0.072224900,-44.026587204
0.072428400,-44.042119336
0.072631800,-44.049649732
0.072835300,-44.057181864
0.073038700,-44.068712261
0.073242200,-44.076244392
0.073445600,-44.087774789
0.073649100,-44.095306921
0.073852500,-44.106837317
0.074056000,-44.114369449
0.074259400,-44.121899845
0.074462900,-44.133431977
0.074666300,-44.140962374
0.074869800,-44.148494506
0.075073200,-44.160024902
0.075276700,-44.167557034
0.075480100,-44.175087430
0.075683600,-44.182619562
0.075887000,-44.194149958
0.076090500,-44.201682090
0.076293900,-44.209212487
0.076497400,-44.220744619
0.076700800,-44.228275015
0.076904300,-44.235807147
0.077107700,-44.247337543
0.077311200,-44.254869675
