x (mm),altura (µm)
0.000000000,-1.540233604
0.000203500,-1.556447036
0.000406900,-1.580660362
0.000610400,-1.592873793
0.000813800,-1.613087120
0.001017300,-1.637300551
0.001220700,-1.649513878
0.001424200,-1.665727309
0.001627600,-1.677940636
0.001831100,-1.706154067
0.002034500,-1.722367393
0.002238000,-1.734580825
0.002441400,-1.758794151
0.002644900,-1.775007583
0.002848300,-1.791220909
0.003051800,-1.819434340
0.003255200,-1.831647667
0.003458700,-1.847861098
0.003662100,-1.860074425
0.003865600,-1.888287856
0.004069000,-1.904501183
0.004272500,-1.920714614
0.004475900,-1.944927940
0.004679400,-1.961141372
0.004882800,-1.973354698
0.005086300,-2.005568130
0.005289700,-2.017781456
0.005493200,-2.033994887
0.005696600,-2.050208214
0.005900100,-2.074421645
0.006103500,-2.090634972
0.006307000,-2.106848403
0.006510400,-2.131061730
0.006713900,-2.147275161
0.006917300,-2.163488487
0.007120800,-2.191701919
0.007324200,-2.207915245
0.007527700,-2.224128677
0.007731100,-2.248342003
0.007934600,-2.264555434
0.008138000,-2.280768761
0.008341500,-2.296982192
0.008544900,-2.325195519
0.008748400,-2.337408950
0.008951800,-2.353622277
0.009155300,-2.385835708
0.009358700,-2.398049034
0.009562200,-2.414262466
0.009765600,-2.442475792
0.009969100,-2.458689224
0.010172500,-2.474902550
0.010376000,-2.491115982
0.010579400,-2.515329308
0.010782900,-2.531542739
0.010986300,-2.551756066
0.011189800,-2.579969497
0.011393200,-2.592182824
0.011596700,-2.608396255
0.011800100,-2.640609582
0.012003600,-2.656823013
0.012207000,-2.669036339
0.012410500,-2.685249771
0.012613900,-2.713463097
0.012817400,-2.733676529
0.013020800,-2.745889855
0.013224300,-2.774103286
0.013427700,-2.790316613
0.013631200,-2.806530044
0.013834600,-2.834743371
0.014038100,-2.850956802
0.014241500,-2.867170129
0.014445000,-2.879383560
0.014648400,-2.911596886
0.014851900,-2.927810318
0.015055300,-2.940023644
0.015258800,-2.968237076
0.015462200,-2.988450402
0.015665700,-3.000663833
0.015869100,-3.028877160
0.016072600,-3.045090591
0.016276000,-3.061303918
0.016479500,-3.089517349
0.016682900,-3.101730676
0.016886400,-3.117944107
0.017089800,-3.138157433
0.017293300,-3.162370865
0.017496700,-3.174584191
0.017700200,-3.190797623
0.017903600,-3.219010949
0.018107100,-3.235224380
0.018310500,-3.247437707
0.018514000,-3.271651138
0.018717400,-3.291864465
0.018920900,-3.304077896
0.019124300,-3.320291223
0.019327800,-3.344504654
0.019531300,-3.360718085
0.019734700,-3.376931412
0.019938200,-3.397144843
0.020141600,-3.413358170
0.020345100,-3.429571601
0.020548500,-3.453784927
0.020752000,-3.465998359
0.020955400,-3.478211685
0.021158900,-3.494425117
0.021362300,-3.518638443
0.021565800,-3.530851874
0.021769200,-3.543065201
0.021972700,-3.571278632
0.022176100,-3.583491959
0.022379600,-3.595705390
0.022583000,-3.619918717
0.022786500,-3.632132148
0.022989900,-3.644345474
0.023193400,-3.656558906
0.023396800,-3.680772232
0.023600300,-3.692985664
0.023803700,-3.705198990
0.024007200,-3.725412422
0.024210600,-3.741625748
0.024414100,-3.753839179
0.024617500,-3.770052506
0.024821000,-3.786265937
0.025024400,-3.798479264
0.025227900,-3.818692695
0.025431300,-3.830906021
0.025634800,-3.843119453
0.025838200,-3.855332779
0.026041700,-3.875546211
0.026245100,-3.887759537
0.026448600,-3.899972969
0.026652000,-3.916186295
0.026855500,-3.928399726
0.027058900,-3.944613053
0.027262400,-3.960826484
0.027465800,-3.973039811
0.027669300,-3.985253242
0.027872700,-3.997466569
0.028076200,-4.013680000
0.028279600,-4.025893326
0.028483100,-4.042106758
0.028686500,-4.058320084
0.028890000,-4.066533516
0.029093400,-4.082746842
0.029296900,-4.098960273
0.029500300,-4.111173600
0.029703800,-4.119387031
