Parámetro,Valor
Ra (Promedio Aritmético),3.657 µm
Rq (RMS),4.864 µm
Rp (Pico Máximo),12.960 µm
Rv (Valle Máximo),-7.896 µm
Rt (Altura Total del Perfil),20.856 µm
Rz (ISO 4287:1997),9.503 µm
Rsk (Asimetría),0.837
Rku (Curtosis),3.254
RSm (Anchura Media de Elementos),278.093 µm
Rdq (Pendiente RMS),36.102 µm/mm
Rda (Pendiente Media Absoluta),26.150 µm/mm
Pc (Conteo de Picos),59.00 1/mm
Rpk (Altura de picos que se desgastan),3.101 µm
Rk (Profundidad del núcleo funcional),4.141 µm
Rvk (Profundidad de valles para lubricante),1.269 µm
Mr1 (%),35.88
Mr2 (%),81.68
