x (mm),altura (µm)
0.000000000,17.497306006
0.000203500,17.500467228
0.000406900,17.515630829
0.000610400,17.518792051
0.000813800,17.525955652
0.001017300,17.537116874
0.001220700,17.540280475
0.001424200,17.547441697
0.001627600,17.550605298
0.001831100,17.561766520
0.002034500,17.564930121
0.002238000,17.572091344
0.002441400,17.583254944
0.002644900,17.586416167
0.002848300,17.589579767
0.003051800,17.604740990
0.003255200,17.607904590
0.003458700,17.611065813
0.003662100,17.614229413
0.003865600,17.629390636
0.004069000,17.632554236
0.004272500,17.635715459
0.004475900,17.646879059
0.004679400,17.650040282
0.004882800,17.653203882
0.005086300,17.668365105
0.005289700,17.671528706
0.005493200,17.674689928
0.005696600,17.677853529
0.005900100,17.689014751
0.006103500,17.692178352
0.006307000,17.695339574
0.006510400,17.706503175
0.006713900,17.709664397
0.006917300,17.712827998
0.007120800,17.723989221
0.007324200,17.727152821
0.007527700,17.730314044
0.007731100,17.741477644
0.007934600,17.744638867
0.008138000,17.747802467
0.008341500,17.750963690
0.008544900,17.762127290
0.008748400,17.765288513
0.008951800,17.764452113
0.009155300,17.775613336
0.009358700,17.778776936
0.009562200,17.781938159
0.009765600,17.793101759
0.009969100,17.796262982
0.010172500,17.795426582
0.010376000,17.798587805
0.010579400,17.809751406
0.010782900,17.812912628
0.010986300,17.812076229
0.011189800,17.823237451
0.011393200,17.826401052
0.011596700,17.825562274
0.011800100,17.836725875
0.012003600,17.839887097
0.012207000,17.839050698
0.012410500,17.842211921
0.012613900,17.849375521
0.012817400,17.852536744
0.013020800,17.851700344
0.013224300,17.862861567
0.013427700,17.862025167
0.013631200,17.865186390
0.013834600,17.872349990
0.014038100,17.875511213
0.014241500,17.874674813
0.014445000,17.877836036
0.014648400,17.884999636
0.014851900,17.884160859
0.015055300,17.887324459
0.015258800,17.894485682
0.015462200,17.893649283
0.015665700,17.896810505
0.015869100,17.903974106
0.016072600,17.903135328
0.016276000,17.902298929
0.016479500,17.909460151
0.016682900,17.912623752
0.016886400,17.911784974
0.017089800,17.910948575
0.017293300,17.918109798
0.017496700,17.917273398
0.017700200,17.920434621
0.017903600,17.923598221
0.018107100,17.922759444
0.018310500,17.925923044
0.018514000,17.929084267
0.018717400,17.928247867
0.018920900,17.927409090
0.019124300,17.930572690
0.019327800,17.933733913
0.019531300,17.932895136
0.019734700,17.932058736
0.019938200,17.935219959
0.020141600,17.938383559
0.020345100,17.937544782
0.020548500,17.940708382
0.020752000,17.939869605
0.020955400,17.939033205
0.021158900,17.938194428
0.021362300,17.941358028
0.021565800,17.940519251
0.021769200,17.939682851
0.021972700,17.938844074
0.022176100,17.938007674
0.022379600,17.937168897
0.022583000,17.940332498
0.022786500,17.939493720
0.022989900,17.938657321
0.023193400,17.933818543
0.023396800,17.936982144
0.023600300,17.936143366
0.023803700,17.935306967
0.024007200,17.934468189
0.024210600,17.933631790
0.024414100,17.928793013
0.024617500,17.931956613
0.024821000,17.927117836
0.025024400,17.926281436
0.025227900,17.925442659
0.025431300,17.924606259
0.025634800,17.919767482
0.025838200,17.918931082
0.026041700,17.918092305
0.026245100,17.913255905
0.026448600,17.912417128
0.026652000,17.907580728
0.026855500,17.906741951
0.027058900,17.901905551
0.027262400,17.901066774
0.027465800,17.896230374
0.027669300,17.891391597
0.027872700,17.890555198
0.028076200,17.885716420
0.028279600,17.884880021
0.028483100,17.880041243
0.028686500,17.875204844
0.028890000,17.870366066
0.029093400,17.865529667
0.029296900,17.864690889
0.029500300,17.859854490
0.029703800,17.855015713
0.029907200,17.850179313
0.030110700,17.845340536
0.030314100,17.840504136
0.030517600,17.835665359
0.030721000,17.826828959
0.030924500,17.821990182
0.031127900,17.817153782
0.031331400,17.812315005
0.031534800,17.807478605
0.031738300,17.802639828
0.031941700,17.793803428
0.032145200,17.788964651
0.032348600,17.780128251
0.032552100,17.775289474
0.032755500,17.766453075
0.032959000,17.761614297
0.033162400,17.756777898
0.033365900,17.747939120
0.033569300,17.739102721
0.033772800,17.734263943
0.033976200,17.725427544
0.034179700,17.716588766
0.034383100,17.711752367
0.034586600,17.702913589
0.034790000,17.694077190
0.034993500,17.685238413
0.035196900,17.680402013
0.035400400,17.667563236
0.035603800,17.662726836
0.035807300,17.653888059
0.036010700,17.641051659
0.036214200,17.636212882
0.036417600,17.627376482
0.036621100,17.618537705
0.036824500,17.605701305
0.037028000,17.596862528
0.037231400,17.588026128
0.037434900,17.579187351
0.037638300,17.570350951
0.037841800,17.561512174
0.038045200,17.548675775
0.038248700,17.539836997
0.038452100,17.531000598
0.038655600,17.518161820
0.038859000,17.505325421
0.039062500,17.496486643
0.039266000,17.487647866
0.039469400,17.470811466
0.039672900,17.461972689
0.039876300,17.453136290
0.040079800,17.436297512
0.040283200,17.427461113
0.040486700,17.418622335
0.040690100,17.405785936
0.040893600,17.392947158
0.041097000,17.380110759
0.041300500,17.371271981
0.041503900,17.354435582
0.041707400,17.341596805
0.041910800,17.332760405
0.042114300,17.311921628
0.042317700,17.303085228
0.042521200,17.290246451
0.042724600,17.277410051
0.042928100,17.260571274
0.043131500,17.247734874
0.043335000,17.234896097
0.043538400,17.218059697
0.043741900,17.205220920
0.043945300,17.192384520
0.044148800,17.171545743
0.044352200,17.158709343
0.044555700,17.145870566
0.044759100,17.125034166
0.044962600,17.112195389
0.045166000,17.099358990
0.045369500,17.086520212
0.045572900,17.065683813
0.045776400,17.052845035
0.045979800,17.040008636
0.046183300,17.015169858
0.046386700,17.002333459
0.046590200,16.989494681
0.046793600,16.964658282
0.046997100,16.951819505
0.047200500,16.938983105
0.047404000,16.926144328
0.047607400,16.901307928
0.047810900,16.888469151
0.048014300,16.871632751
0.048217800,16.850793974
0.048421200,16.833957574
0.048624700,16.821118797
0.048828100,16.800282397
0.049031600,16.783443620
0.049235000,16.770607220
0.049438500,16.757768443
0.049641900,16.732932043
0.049845400,16.720093266
0.050048800,16.707256867
0.050252300,16.682418089
0.050455700,16.669581690
0.050659200,16.656742912
0.050862600,16.635906513
0.051066100,16.623067735
0.051269500,16.610231336
0.051473000,16.597392558
0.051676400,16.576556159
0.051879900,16.563717381
0.052083300,16.550880982
0.052286800,16.534042205
0.052490200,16.521205805
0.052693700,16.512367028
0.052897100,16.491530628
0.053100600,16.482691851
0.053304000,16.473855451
0.053507500,16.461016674
0.053710900,16.448180274
0.053914400,16.439341497
0.054117800,16.426505097
0.054321300,16.413666320
0.054524700,16.404829920
0.054728200,16.399991143
0.054931600,16.387154743
0.055135100,16.378315966
0.055338500,16.373479567
0.055542000,16.364640789
0.055745400,16.355804390
0.055948900,16.350965612
0.056152300,16.346129213
0.056355800,16.337290435
0.056559200,16.332454036
0.056762700,16.327615258
0.056966100,16.322778859
0.057169600,16.317940082
0.057373000,16.317103682
0.057576500,16.312264905
0.057779900,16.311428505
0.057983400,16.306589728
0.058186800,16.305753328
0.058390300,16.304914551
0.058593800,16.304075773
0.058797200,16.299239374
0.059000700,16.302400596
0.059204100,16.301564197
0.059407600,16.300725420
0.059611000,16.303889020
0.059814500,16.303050243
0.060017900,16.302213843
0.060221400,16.301375066
0.060424800,16.308538666
0.060628300,16.307699889
0.060831700,16.306863489
0.061035200,16.314024712
0.061238600,16.313188312
0.061442100,16.316349535
0.061645500,16.323513135
0.061849000,16.322674358
0.062052400,16.325837958
0.062255900,16.324999181
0.062459300,16.332162782
0.062662800,16.335324004
0.062866200,16.338487605
0.063069700,16.345648827
0.063273100,16.344812428
0.063476600,16.347973650
0.063680000,16.355137251
0.063883500,16.358298473
0.064086900,16.361462074
0.064290400,16.368623297
0.064493800,16.371786897
0.064697300,16.370948120
0.064900700,16.374111720
0.065104200,16.381272943
0.065307600,16.384436543
0.065511100,16.383597766
0.065714500,16.394761366
0.065918000,16.393922589
0.066121400,16.397086189
0.066324900,16.404247412
0.066528300,16.403411012
0.066731800,16.406572235
0.066935200,16.405735835
0.067138700,16.412897058
0.067342100,16.416060659
0.067545600,16.415221881
0.067749000,16.422385482
0.067952500,16.425546704
0.068155900,16.424710305
0.068359400,16.431871527
0.068562800,16.431035128
0.068766300,16.430196350
0.068969700,16.433359951
0.069173200,16.436521173
0.069376600,16.435684774
0.069580100,16.438845997
0.069783500,16.442009597
0.069987000,16.441170820
0.070190400,16.440334420
0.070393900,16.447495643
0.070597300,16.446659243
0.070800800,16.445820466
0.071004200,16.444984066
0.071207700,16.448145289
0.071411100,16.447308889
0.071614600,16.446470112
0.071818000,16.449633712
0.072021500,16.448794935
0.072224900,16.447958535
0.072428400,16.447119758
0.072631800,16.446283359
0.072835300,16.445444581
0.073038700,16.444608182
0.073242200,16.443769404
0.073445600,16.442933005
0.073649100,16.442094227
0.073852500,16.441257828
0.074056000,16.440419050
0.074259400,16.435582651
0.074462900,16.434743874
0.074666300,16.433907474
0.074869800,16.429068697
0.075073200,16.428232297
0.075276700,16.427393520
0.075480100,16.422557120
0.075683600,16.421718343
0.075887000,16.416881943
0.076090500,16.416043166
0.076293900,16.411206766
0.076497400,16.406367989
0.076700800,16.405531589
0.076904300,16.400692812
0.077107700,16.395856412
0.077311200,16.395017635
0.077514600,16.390181236
0.077718100,16.385342458
0.077921500,16.380506059
0.078125000,16.375667281
0.078328500,16.370828504
0.078531900,16.365992104
0.078735400,16.361153327
0.078938800,16.356316927
0.079142300,16.351478150
0.079345700,16.346641750
0.079549200,16.341802973
