x (mm),altura (µm)
0.000000000,-3.627267331
0.000262700,-3.627448119
0.000525500,-3.623628977
0.000788200,-3.623809766
0.001051000,-3.619990623
0.001313700,-3.616171412
0.001576500,-3.616352269
0.001839200,-3.616533058
0.002101900,-3.612713847
0.002364700,-3.608894704
0.002627400,-3.609075493
0.002890200,-3.609256351
0.003152900,-3.601437139
0.003415700,-3.601617997
0.003678400,-3.601798786
0.003941100,-3.593979574
0.004203900,-3.594160432
0.004466600,-3.594341220
0.004729400,-3.594522078
0.004992100,-3.586702867
0.005254900,-3.586883724
0.005517600,-3.587064513
0.005780300,-3.583245302
0.006043100,-3.579426159
0.006305800,-3.579606948
0.006568600,-3.575787805
0.006831300,-3.575968594
0.007094100,-3.572149452
0.007356800,-3.572330240
0.007619500,-3.568511029
0.007882300,-3.568691887
0.008145000,-3.564872675
0.008407800,-3.561053533
0.008670500,-3.561234321
0.008933300,-3.561415179
0.009196000,-3.553595968
0.009458700,-3.553776756
0.009721500,-3.553957614
0.009984200,-3.550138403
0.010247000,-3.546319260
0.010509700,-3.546500049
0.010772500,-3.546680906
0.011035200,-3.542861695
0.011298000,-3.539042553
0.011560700,-3.539223341
0.011823400,-3.535404130
0.012086200,-3.535584988
0.012348900,-3.531765776
0.012611700,-3.527946634
0.012874400,-3.528127422
0.013137200,-3.528308280
0.013399900,-3.524489069
0.013662600,-3.520669857
0.013925400,-3.520850715
0.014188100,-3.521031504
0.014450900,-3.517212361
0.014713600,-3.517393150
0.014976400,-3.517574007
0.015239100,-3.513754796
0.015501800,-3.509935585
0.015764600,-3.510116442
0.016027300,-3.510297231
0.016290100,-3.510478089
0.016552800,-3.506658877
0.016815600,-3.506839735
0.017078300,-3.503020523
0.017341000,-3.503201312
0.017603800,-3.503382170
0.017866500,-3.499562958
0.018129300,-3.499743816
0.018392000,-3.503924605
0.018654800,-3.500105462
0.018917500,-3.496286251
0.019180200,-3.500467040
0.019443000,-3.500647897
0.019705700,-3.492828686
0.019968500,-3.497009543
0.020231200,-3.497190332
0.020494000,-3.497371190
0.020756700,-3.493551978
0.021019400,-3.493732767
0.021282200,-3.493913624
0.021544900,-3.494094413
0.021807700,-3.494275271
0.022070400,-3.494456059
0.022333200,-3.494636917
0.022595900,-3.494817706
0.022858600,-3.494998494
0.023121400,-3.495179352
0.023384100,-3.495360141
0.023646900,-3.495540998
0.023909600,-3.491721787
0.024172400,-3.495902644
0.024435100,-3.496083433
0.024697800,-3.500264222
0.024960600,-3.496445079
0.025223300,-3.496625868
0.025486100,-3.500806725
0.025748800,-3.500987514
0.026011600,-3.501168372
0.026274300,-3.501349160
0.026537000,-3.501529949
0.026799800,-3.501710807
0.027062500,-3.505891595
0.027325300,-3.502072453
0.027588000,-3.506253242
0.027850800,-3.506434099
0.028113500,-3.510614888
0.028376200,-3.506795676
0.028639000,-3.506976534
0.028901700,-3.511157323
0.029164500,-3.511338180
0.029427200,-3.511518969
