x (mm),altura (µm)
0.000000000,1.111906754
0.000226400,1.114985503
0.000452800,1.122064253
0.000679200,1.125143002
0.000905600,1.128221751
0.001132000,1.135300500
0.001358400,1.138379250
0.001584900,1.141455825
0.001811300,1.140534574
0.002037700,1.151613324
0.002264100,1.154692073
0.002490500,1.157770822
0.002716900,1.164849571
0.002943300,1.167928321
0.003169700,1.171007070
0.003396100,1.178085819
0.003622500,1.181164568
0.003848900,1.184243318
0.004075300,1.187322067
0.004301800,1.198398642
0.004528200,1.201477392
0.004754600,1.200556141
0.004981000,1.211634890
0.005207400,1.214713639
0.005433800,1.217792389
0.005660200,1.228871138
0.005886600,1.231949887
0.006113000,1.235028636
0.006339400,1.234107386
0.006565800,1.245186135
0.006792200,1.248264884
0.007018700,1.251341460
0.007245100,1.262420209
0.007471500,1.265498958
0.007697900,1.268577708
0.007924300,1.279656457
0.008150700,1.282735206
0.008377100,1.285813955
0.008603500,1.296892705
0.008829900,1.295971454
0.009056300,1.299050203
0.009282700,1.302128952
0.009509100,1.313207702
0.009735600,1.316284277
0.009962000,1.319363026
0.010188400,1.330441776
0.010414800,1.333520525
0.010641200,1.336599274
0.010867600,1.347678023
0.011094000,1.350756773
0.011320400,1.353835522
0.011546800,1.356914271
0.011773200,1.367993020
0.011999600,1.371071770
0.012226000,1.374150519
0.012452500,1.385227094
0.012678900,1.388305844
0.012905300,1.387384593
0.013131700,1.398463342
0.013358100,1.401542091
0.013584500,1.404620841
0.013810900,1.407699590
0.014037300,1.418778339
0.014263700,1.421857088
0.014490100,1.424935838
0.014716500,1.432014587
0.014942900,1.435093336
0.015169400,1.438169912
0.015395800,1.449248661
0.015622200,1.452327410
0.015848600,1.451406159
0.016075000,1.454484909
0.016301400,1.465563658
0.016527800,1.468642407
0.016754200,1.471721157
0.016980600,1.478799906
0.017207000,1.481878655
0.017433400,1.484957404
0.017659800,1.492036154
0.017886300,1.495112729
0.018112700,1.498191478
0.018339100,1.505270228
0.018565500,1.508348977
0.018791900,1.511427726
0.019018300,1.514506475
0.019244700,1.521585225
0.019471100,1.524663974
0.019697500,1.527742723
0.019923900,1.534821472
0.020150300,1.537900222
0.020376700,1.536978971
0.020603200,1.548055546
0.020829600,1.547134296
0.021056000,1.550213045
0.021282400,1.553291794
0.021508800,1.560370543
0.021735200,1.563449293
0.021961600,1.562528042
0.022188000,1.569606791
0.022414400,1.572685540
0.022640800,1.575764290
0.022867200,1.582843039
0.023093600,1.581921788
0.023320100,1.584998364
0.023546500,1.584077113
0.023772900,1.595155862
0.023999300,1.594234611
0.024225700,1.597313361
0.024452100,1.604392110
0.024678500,1.603470859
0.024904900,1.606549608
0.025131300,1.613628358
0.025357700,1.612707107
0.025584100,1.611785856
0.025810500,1.614864605
0.026036900,1.621943355
0.026263400,1.621019930
0.026489800,1.624098680
0.026716200,1.627177429
0.026942600,1.630256178
0.027169000,1.629334927
0.027395400,1.636413677
0.027621800,1.635492426
0.027848200,1.634571175
0.028074600,1.641649924
0.028301000,1.640728674
0.028527400,1.643807423
0.028753800,1.642886172
0.028980300,1.645962748
0.029206700,1.649041497
0.029433100,1.648120246
0.029659500,1.651198995
0.029885900,1.654277745
0.030112300,1.653356494
0.030338700,1.656435243
0.030565100,1.655513992
0.030791500,1.654592742
0.031017900,1.657671491
0.031244300,1.660750240
0.031470700,1.659828989
0.031697200,1.658905565
0.031923600,1.661984314
