x (mm),altura (µm)
0.000000000,-2.093673010
0.000226400,-2.089839199
0.000452800,-2.078005388
0.000679200,-2.074171577
0.000905600,-2.070337766
0.001132000,-2.058503955
0.001358400,-2.054670144
0.001584900,-2.046836406
0.001811300,-2.047002595
0.002037700,-2.031168784
0.002264100,-2.027334973
0.002490500,-2.019501162
0.002716900,-2.011667351
0.002943300,-2.003833540
0.003169700,-1.999999729
0.003396100,-1.992165917
0.003622500,-1.984332106
0.003848900,-1.980498295
0.004075300,-1.972664484
0.004301800,-1.960830747
0.004528200,-1.952996936
0.004754600,-1.953163125
0.004981000,-1.937329314
0.005207400,-1.933495503
0.005433800,-1.929661691
0.005660200,-1.913827880
0.005886600,-1.909994069
0.006113000,-1.902160258
0.006339400,-1.902326447
0.006565800,-1.886492636
0.006792200,-1.882658825
0.007018700,-1.874825088
0.007245100,-1.862991277
0.007471500,-1.859157465
0.007697900,-1.851323654
0.007924300,-1.839489843
0.008150700,-1.831656032
0.008377100,-1.827822221
0.008603500,-1.811988410
0.008829900,-1.812154599
0.009056300,-1.804320788
0.009282700,-1.800486977
0.009509100,-1.788653166
0.009735600,-1.780819428
0.009962000,-1.776985617
0.010188400,-1.761151806
0.010414800,-1.757317995
0.010641200,-1.749484184
0.010867600,-1.737650373
0.011094000,-1.733816562
0.011320400,-1.725982751
0.011546800,-1.722148940
0.011773200,-1.706315129
0.011999600,-1.702481318
0.012226000,-1.694647507
0.012452500,-1.682813769
0.012678900,-1.674979958
0.012905300,-1.675146147
0.013131700,-1.663312336
0.013358100,-1.655478525
0.013584500,-1.651644714
0.013810900,-1.643810903
0.014037300,-1.631977092
0.014263700,-1.624143281
0.014490100,-1.620309470
0.014716500,-1.612475659
0.014942900,-1.604641848
0.015169400,-1.600808110
0.015395800,-1.584974299
0.015622200,-1.581140488
0.015848600,-1.577306677
0.016075000,-1.573472866
0.016301400,-1.557639055
0.016527800,-1.553805244
0.016754200,-1.549971433
0.016980600,-1.538137622
0.017207000,-1.534303811
0.017433400,-1.526470000
0.017659800,-1.518636189
0.017886300,-1.510802451
0.018112700,-1.506968640
0.018339100,-1.499134829
0.018565500,-1.491301018
0.018791900,-1.487467207
0.019018300,-1.479633396
0.019244700,-1.471799585
0.019471100,-1.463965774
0.019697500,-1.460131963
0.019923900,-1.452298151
0.020150300,-1.444464340
0.020376700,-1.444630529
0.020603200,-1.428796792
0.020829600,-1.428962981
0.021056000,-1.421129170
0.021282400,-1.417295359
0.021508800,-1.409461548
0.021735200,-1.401627736
0.021961600,-1.401793925
0.022188000,-1.389960114
0.022414400,-1.386126303
0.022640800,-1.378292492
0.022867200,-1.370458681
0.023093600,-1.370624870
0.023320100,-1.362791133
0.023546500,-1.362957322
0.023772900,-1.347123510
0.023999300,-1.347289699
0.024225700,-1.339455888
0.024452100,-1.331622077
0.024678500,-1.331788266
0.024904900,-1.323954455
0.025131300,-1.316120644
0.025357700,-1.312286833
0.025584100,-1.312453022
0.025810500,-1.304619211
0.026036900,-1.296785400
0.026263400,-1.296951662
0.026489800,-1.289117851
0.026716200,-1.285284040
0.026942600,-1.277450229
0.027169000,-1.277616418
0.027395400,-1.265782607
0.027621800,-1.265948796
0.027848200,-1.266114985
0.028074600,-1.254281174
0.028301000,-1.254447363
0.028527400,-1.246613552
0.028753800,-1.246779741
0.028980300,-1.238946003
0.029206700,-1.235112192
0.029433100,-1.235278381
0.029659500,-1.227444570
0.029885900,-1.223610759
0.030112300,-1.219776948
0.030338700,-1.215943137
0.030565100,-1.212109326
0.030791500,-1.212275515
0.031017900,-1.208441704
0.031244300,-1.200607893
0.031470700,-1.200774082
0.031697200,-1.196940344
0.031923600,-1.193106533
0.032150000,-1.193272722
0.032376400,-1.185438911
0.032602800,-1.181605100
0.032829200,-1.177771289
0.033055600,-1.177937478
0.033282000,-1.174103667
0.033508400,-1.170269856
0.033734800,-1.170436045
0.033961200,-1.166602234
0.034187600,-1.162768423
0.034414100,-1.158934685
0.034640500,-1.159100874
0.034866900,-1.151267063
0.035093300,-1.151433252
0.035319700,-1.151599441
0.035546100,-1.147765630
0.035772500,-1.143931819
0.035998900,-1.144098008
0.036225300,-1.144264196
0.036451700,-1.140430385
0.036678100,-1.136596574
0.036904500,-1.136762763
0.037131000,-1.128929026
0.037357400,-1.129095215
0.037583800,-1.125261404
0.037810200,-1.129427593
0.038036600,-1.125593782
0.038263000,-1.121759970
0.038489400,-1.121926159
0.038715800,-1.114092348
0.038942200,-1.118258537
0.039168600,-1.118424726
0.039395000,-1.110590915
0.039621400,-1.110757104
0.039847900,-1.106923367
0.040074300,-1.107089555
0.040300700,-1.103255744
0.040527100,-1.103421933
0.040753500,-1.103588122
0.040979900,-1.099754311
0.041206300,-1.099920500
0.041432700,-1.096086689
0.041659100,-1.096252878
0.041885500,-1.096419067
0.042111900,-1.092585256
0.042338300,-1.088751445
0.042564800,-1.088917707
0.042791200,-1.089083896
0.043017600,-1.089250085
0.043244000,-1.085416274
0.043470400,-1.085582463
0.043696800,-1.081748652
0.043923200,-1.077914841
0.044149600,-1.082081030
0.044376000,-1.078247219
0.044602400,-1.074413408
0.044828800,-1.074579597
0.045055200,-1.074745786
0.045281700,-1.070912048
0.045508100,-1.071078237
0.045734500,-1.071244426
0.045960900,-1.067410615
0.046187300,-1.067576804
0.046413700,-1.063742993
0.046640100,-1.063909182
0.046866500,-1.064075371
0.047092900,-1.060241560
0.047319300,-1.064407749
0.047545700,-1.060573938
0.047772100,-1.060740127
0.047998600,-1.060906389
0.048225000,-1.057072578
0.048451400,-1.057238767
0.048677800,-1.053404956
0.048904200,-1.057571145
0.049130600,-1.053737334
0.049357000,-1.053903523
0.049583400,-1.054069712
0.049809800,-1.050235901
