Parámetro,Valor
Ra (Promedio Aritmético),1.924 µm
Rq (RMS),2.378 µm
Rp (Pico Máximo),5.428 µm
Rv (Valle Máximo),-6.692 µm
Rt (Altura Total del Perfil),12.120 µm
Rz (ISO 4287:1997),7.016 µm
Rsk (Asimetría),-0.231
Rku (Curtosis),2.732
RSm (Anchura Media de Elementos),176.783 µm
Rdq (Pendiente RMS),30.621 µm/mm
Rda (Pendiente Media Absoluta),23.739 µm/mm
Pc (Conteo de Picos),77.60 1/mm
Rpk (Altura de picos que se desgastan),0.501 µm
Rk (Profundidad del núcleo funcional),1.864 µm
Rvk (Profundidad de valles para lubricante),0.867 µm
Mr1 (%),28.24
Mr2 (%),60.60
