x (mm),altura (µm)
0.000000000,3.754148861
0.000203500,3.746171608
0.000406900,3.726194344
0.000610400,3.714217091
0.000813800,3.710239826
0.001017300,3.686262573
0.001220700,3.678285309
0.001424200,3.666308055
0.001627600,3.658330791
0.001831100,3.638353538
0.002034500,3.630376273
0.002238000,3.618399020
0.002441400,3.598421756
0.002644900,3.586444503
0.002848300,3.582467238
0.003051800,3.558489985
0.003255200,3.546512721
0.003458700,3.538535467
0.003662100,3.526558203
0.003865600,3.506580950
0.004069000,3.494603685
0.004272500,3.486626432
0.004475900,3.462649168
0.004679400,3.454671915
0.004882800,3.442694650
0.005086300,3.426717397
0.005289700,3.414740133
0.005493200,3.406762879
0.005696600,3.394785615
0.005900100,3.374808362
0.006103500,3.362831097
0.006307000,3.354853844
0.006510400,3.330876580
0.006713900,3.322899327
0.006917300,3.314922062
0.007120800,3.294944809
0.007324200,3.282967545
0.007527700,3.274990292
0.007731100,3.255013027
0.007934600,3.243035774
0.008138000,3.235058510
0.008341500,3.223081256
0.008544900,3.207103992
0.008748400,3.195126739
0.008951800,3.191149474
0.009155300,3.167172221
0.009358700,3.163194957
0.009562200,3.151217704
0.009765600,3.135240439
0.009969100,3.127263186
0.010172500,3.119285922
0.010376000,3.111308668
0.010579400,3.095331404
0.010782900,3.087354151
0.010986300,3.079376886
0.011189800,3.063399633
0.011393200,3.059422369
0.011596700,3.047445116
0.011800100,3.035467851
0.012003600,3.027490598
0.012207000,3.023513334
0.012410500,3.015536080
0.012613900,3.003558816
0.012817400,2.995581563
0.013020800,2.987604299
0.013224300,2.975627045
0.013427700,2.967649781
0.013631200,2.963672528
0.013834600,2.951695263
0.014038100,2.947718010
0.014241500,2.939740746
0.014445000,2.935763493
0.014648400,2.923786228
0.014851900,2.923808975
0.015055300,2.915831711
0.015258800,2.907854457
0.015462200,2.899877193
0.015665700,2.899899940
0.015869100,2.887922675
0.016072600,2.887945422
0.016276000,2.879968158
0.016479500,2.875990905
0.016682900,2.868013640
0.016886400,2.868036387
0.017089800,2.864059123
0.017293300,2.856081869
0.017496700,2.852104605
0.017700200,2.852127352
0.017903600,2.844150087
0.018107100,2.844172834
0.018310500,2.840195570
0.018514000,2.836218317
0.018717400,2.832241052
0.018920900,2.828263799
0.019124300,2.828286535
0.019327800,2.820309282
0.019531300,2.820332028
0.019734700,2.816354764
0.019938200,2.812377511
0.020141600,2.808400246
0.020345100,2.808422993
0.020548500,2.804445729
0.020752000,2.804468476
0.020955400,2.800491211
0.021158900,2.800513958
0.021362300,2.796536694
0.021565800,2.796559440
0.021769200,2.792582176
0.021972700,2.792604923
0.022176100,2.788627658
0.022379600,2.792650405
0.022583000,2.784673141
0.022786500,2.788695888
0.022989900,2.784718623
0.023193400,2.784741370
0.023396800,2.780764106
0.023600300,2.784786852
0.023803700,2.780809588
0.024007200,2.780832335
0.024210600,2.776855070
0.024414100,2.780877817
0.024617500,2.776900553
0.024821000,2.776923300
0.025024400,2.776946035
0.025227900,2.776968782
0.025431300,2.776991518
0.025634800,2.777014264
0.025838200,2.777037000
0.026041700,2.777059747
0.026245100,2.773082483
0.026448600,2.777105229
0.026652000,2.773127965
0.026855500,2.773150712
0.027058900,2.773173447
0.027262400,2.773196194
0.027465800,2.773218930
0.027669300,2.773241677
0.027872700,2.777264412
0.028076200,2.773287159
0.028279600,2.773309895
0.028483100,2.773332641
0.028686500,2.773355377
0.028890000,2.773378124
0.029093400,2.777400859
0.029296900,2.773423606
0.029500300,2.777446342
0.029703800,2.773469089
0.029907200,2.777491824
0.030110700,2.773514571
0.030314100,2.777537307
0.030517600,2.777560053
0.030721000,2.777582789
0.030924500,2.777605536
0.031127900,2.777628271
0.031331400,2.777651018
0.031534800,2.777673754
0.031738300,2.777696501
0.031941700,2.781719236
0.032145200,2.777741983
0.032348600,2.781764719
0.032552100,2.777787466
0.032755500,2.777810201
0.032959000,2.777832948
0.033162400,2.781855684
0.033365900,2.777878430
0.033569300,2.777901166
0.033772800,2.777923913
0.033976200,2.777946648
0.034179700,2.777969395
0.034383100,2.777992131
0.034586600,2.778014878
0.034790000,2.778037613
0.034993500,2.774060360
0.035196900,2.778083096
