x (mm),altura (µm)
0.000000000,16.370575343
0.000203500,16.368283292
0.000406900,16.365992367
0.000610400,16.363700315
0.000813800,16.361409390
0.001017300,16.363117339
0.001220700,16.360826414
0.001424200,16.358534362
0.001627600,16.356243437
0.001831100,16.353951386
0.002034500,16.351660461
0.002238000,16.349368410
0.002441400,16.347077484
0.002644900,16.340785433
0.002848300,16.338494508
0.003051800,16.336202457
0.003255200,16.333911532
0.003458700,16.331619480
0.003662100,16.325328555
0.003865600,16.323036504
0.004069000,16.320745579
0.004272500,16.314453527
0.004475900,16.308162602
0.004679400,16.305870551
0.004882800,16.303579626
0.005086300,16.297287575
0.005289700,16.290996650
0.005493200,16.288704598
0.005696600,16.282413673
0.005900100,16.276121622
0.006103500,16.269830697
0.006307000,16.263538645
0.006510400,16.257247720
0.006713900,16.250955669
0.006917300,16.244664744
0.007120800,16.234372692
0.007324200,16.228081767
0.007527700,16.221789716
0.007731100,16.211498791
0.007934600,16.205206740
0.008138000,16.198915815
0.008341500,16.192623763
0.008544900,16.178332838
0.008748400,16.172040787
0.008951800,16.161749862
0.009155300,16.147457810
0.009358700,16.141166885
0.009562200,16.130874834
0.009765600,16.116583909
0.009969100,16.106291857
0.010172500,16.096000932
0.010376000,16.085708881
0.010579400,16.067417956
0.010782900,16.057125905
0.010986300,16.046834980
0.011189800,16.028542928
0.011393200,16.018252003
0.011596700,16.007959952
0.011800100,15.985669027
0.012003600,15.971376975
0.012207000,15.961086050
0.012410500,15.946793999
0.012613900,15.924503074
0.012817400,15.910211022
0.013020800,15.895920097
0.013224300,15.873628046
0.013427700,15.859337121
0.013631200,15.845045070
0.013834600,15.818754145
0.014038100,15.800462093
0.014241500,15.786171168
0.014445000,15.771879117
0.014648400,15.741588192
0.014851900,15.727296140
0.015055300,15.713005215
0.015258800,15.682713164
0.015462200,15.664422239
0.015665700,15.650130187
0.015869100,15.615839262
0.016072600,15.601547211
0.016276000,15.583256286
0.016479500,15.552964235
0.016682900,15.534673310
0.016886400,15.516381258
0.017089800,15.498090333
0.017293300,15.467798282
0.017496700,15.449507357
0.017700200,15.431215305
0.017903600,15.396924380
0.018107100,15.378632329
0.018310500,15.364341404
0.018514000,15.330049353
0.018717400,15.311758427
0.018920900,15.293466376
0.019124300,15.275175451
0.019327800,15.244883400
0.019531300,15.226591348
0.019734700,15.208300423
0.019938200,15.178008372
0.020141600,15.159717447
0.020345100,15.145425395
0.020548500,15.115134470
0.020752000,15.096842419
0.020955400,15.082551494
0.021158900,15.064259443
0.021362300,15.037968518
0.021565800,15.019676466
0.021769200,15.005385541
0.021972700,14.979093490
0.022176100,14.964802565
0.022379600,14.950510513
0.022583000,14.924219588
0.022786500,14.909927537
0.022989900,14.899636612
0.023193400,14.885344560
0.023396800,14.863053635
0.023600300,14.848761584
0.023803700,14.838470659
0.024007200,14.816178608
0.024210600,14.805887683
0.024414100,14.791595631
0.024617500,14.773304706
0.024821000,14.763012655
0.025024400,14.752721730
0.025227900,14.738429678
0.025431300,14.728138753
0.025634800,14.717846702
0.025838200,14.711555777
0.026041700,14.697263725
0.026245100,14.686972800
0.026448600,14.680680749
0.026652000,14.666389824
0.026855500,14.660097773
0.027058900,14.653806848
0.027262400,14.643514796
0.027465800,14.637223871
0.027669300,14.630931820
0.027872700,14.624640895
0.028076200,14.614348843
0.028279600,14.608057918
0.028483100,14.605765867
0.028686500,14.595474942
0.028890000,14.593182890
0.029093400,14.586891965
0.029296900,14.580599914
0.029500300,14.578308989
0.029703800,14.576016938
0.029907200,14.569726013
0.030110700,14.567433961
0.030314100,14.561143036
0.030517600,14.558850985
0.030721000,14.556560060
0.030924500,14.554268008
0.031127900,14.551977083
0.031331400,14.549685032
0.031534800,14.547394107
0.031738300,14.545102056
0.031941700,14.542811130
0.032145200,14.540519079
0.032348600,14.538228154
0.032552100,14.539936103
0.032755500,14.537645178
0.032959000,14.535353126
0.033162400,14.537062201
0.033365900,14.534770150
0.033569300,14.536479225
0.033772800,14.534187173
0.033976200,14.535896248
0.034179700,14.537604197
0.034383100,14.535313272
0.034586600,14.537021221
0.034790000,14.538730295
0.034993500,14.536438244
0.035196900,14.538147319
0.035400400,14.539855268
0.035603800,14.541564343
0.035807300,14.543272291
0.036010700,14.544981366
0.036214200,14.546689315
0.036417600,14.548398390
0.036621100,14.550106338
0.036824500,14.555815413
0.037028000,14.553523362
0.037231400,14.555232437
0.037434900,14.560940386
0.037638300,14.562649461
0.037841800,14.564357409
0.038045200,14.570066484
0.038248700,14.571774433
0.038452100,14.573483508
0.038655600,14.579191456
0.038859000,14.584900531
0.039062500,14.586608480
0.039266000,14.588316428
0.039469400,14.594025503
0.039672900,14.599733452
0.039876300,14.601442527
0.040079800,14.607150476
0.040283200,14.612859551
0.040486700,14.614567499
0.040690100,14.616276574
0.040893600,14.625984523
0.041097000,14.627693598
0.041300500,14.629401546
0.041503900,14.639110621
0.041707400,14.640818570
0.041910800,14.642527645
0.042114300,14.652235594
0.042317700,14.653944668
0.042521200,14.659652617
0.042724600,14.661361692
0.042928100,14.671069641
0.043131500,14.672778716
0.043335000,14.674486664
0.043538400,14.684195739
0.043741900,14.685903688
0.043945300,14.691612763
0.044148800,14.697320711
0.044352200,14.703029786
0.044555700,14.704737735
0.044759100,14.714446810
0.044962600,14.716154759
0.045166000,14.717863833
0.045369500,14.723571782
0.045572900,14.729280857
0.045776400,14.730988806
0.045979800,14.736697881
0.046183300,14.742405829
0.046386700,14.748114904
0.046590200,14.749822853
0.046793600,14.755531928
0.046997100,14.761239876
0.047200500,14.762948951
0.047404000,14.764656900
0.047607400,14.774365975
0.047810900,14.776073924
0.048014300,14.777782998
0.048217800,14.787490947
0.048421200,14.789200022
0.048624700,14.794907971
0.048828100,14.800617046
0.049031600,14.802324994
0.049235000,14.808034069
0.049438500,14.809742018
0.049641900,14.819451093
0.049845400,14.821159041
0.050048800,14.822868116
0.050252300,14.832576065
0.050455700,14.834285140
0.050659200,14.835993089
0.050862600,14.845702164
0.051066100,14.847410112
0.051269500,14.853119187
0.051473000,14.854827136
0.051676400,14.864536211
0.051879900,14.866244159
0.052083300,14.871953234
0.052286800,14.877661183
0.052490200,14.883370258
0.052693700,14.885078206
0.052897100,14.894787281
0.053100600,14.900495230
0.053304000,14.902204305
0.053507500,14.903912254
0.053710900,14.913621329
0.053914400,14.919329277
0.054117800,14.921038352
0.054321300,14.930746301
0.054524700,14.936455376
0.054728200,14.938163324
0.054931600,14.947872399
0.055135100,14.953580348
0.055338500,14.955289423
0.055542000,14.964997371
0.055745400,14.970706446
0.055948900,14.972414395
0.056152300,14.978123470
0.056355800,14.987831419
0.056559200,14.993540494
0.056762700,14.995248442
0.056966100,15.004957517
0.057169600,15.010665466
0.057373000,15.016374541
0.057576500,15.026082489
0.057779900,15.027791564
0.057983400,15.033499513
0.058186800,15.039208588
0.058390300,15.048916536
0.058593800,15.050624485
0.058797200,15.056333560
0.059000700,15.066041509
0.059204100,15.071750584
0.059407600,15.073458532
0.059611000,15.087167607
0.059814500,15.088875556
0.060017900,15.094584631
0.060221400,15.096292579
0.060424800,15.106001654
0.060628300,15.111709603
0.060831700,15.117418678
0.061035200,15.127126627
0.061238600,15.128835701
0.061442100,15.134543650
0.061645500,15.144252725
0.061849000,15.149960674
0.062052400,15.151669749
0.062255900,15.157377697
0.062459300,15.167086772
0.062662800,15.168794721
0.062866200,15.174503796
0.063069700,15.184211744
0.063273100,15.185920819
0.063476600,15.191628768
0.063680000,15.197337843
0.063883500,15.203045792
0.064086900,15.204754867
0.064290400,15.214462815
0.064493800,15.220171890
0.064697300,15.221879839
0.064900700,15.223588914
0.065104200,15.233296862
0.065307600,15.239005937
0.065511100,15.240713886
0.065714500,15.250422961
0.065918000,15.252130909
0.066121400,15.253839984
0.066324900,15.263547933
0.066528300,15.265257008
0.066731800,15.266964957
0.066935200,15.272674032
0.067138700,15.278381980
0.067342100,15.284091055
0.067545600,15.285799004
0.067749000,15.291508079
0.067952500,15.293216027
0.068155900,15.298925102
0.068359400,15.304633051
0.068562800,15.306342126
0.068766300,15.308050074
0.068969700,15.313759149
0.069173200,15.319467098
0.069376600,15.321176173
0.069580100,15.322884122
0.069783500,15.328593197
0.069987000,15.330301145
0.070190400,15.336010220
0.070393900,15.341718169
0.070597300,15.343427244
0.070800800,15.345135192
0.071004200,15.346844267
0.071207700,15.352552216
0.071411100,15.354261291
0.071614600,15.355969239
0.071818000,15.361678314
0.072021500,15.363386263
0.072224900,15.365095338
0.072428400,15.370803287
0.072631800,15.372512362
0.072835300,15.374220310
0.073038700,15.379929385
0.073242200,15.381637334
0.073445600,15.383346409
0.073649100,15.381054357
0.073852500,15.386763432
0.074056000,15.388471381
0.074259400,15.390180456
0.074462900,15.395888404
0.074666300,15.397597479
0.074869800,15.395305428
0.075073200,15.401014503
0.075276700,15.402722452
0.075480100,15.404431527
0.075683600,15.402139475
0.075887000,15.407848550
0.076090500,15.409556499
0.076293900,15.411265574
0.076497400,15.412973522
0.076700800,15.414682597
0.076904300,15.416390546
0.077107700,15.418099621
0.077311200,15.419807570
0.077514600,15.417516644
0.077718100,15.419224593
0.077921500,15.424933668
0.078125000,15.422641617
0.078328500,15.424349565
0.078531900,15.426058640
0.078735400,15.427766589
0.078938800,15.425475664
0.079142300,15.431183612
0.079345700,15.428892687
0.079549200,15.430600636
0.079752600,15.432309711
0.079956100,15.434017660
0.080159500,15.431726735
0.080363000,15.433434683
0.080566400,15.435143758
0.080769900,15.436851707
0.080973300,15.434560782
0.081176800,15.436268730
0.081380200,15.437977805
0.081583700,15.435685754
0.081787100,15.437394829
0.081990600,15.439102777
0.082194000,15.436811852
0.082397500,15.438519801
0.082600900,15.440228876
0.082804400,15.437936825
0.083007800,15.439645900
0.083211300,15.437353848
0.083414700,15.439062923
0.083618200,15.436770872
0.083821600,15.438479947
0.084025100,15.436187895
0.084228500,15.437896970
0.084432000,15.435604919
0.084635400,15.437313994
0.084838900,15.435021942
0.085042300,15.436731017
0.085245800,15.434438966
0.085449200,15.436148041
0.085652700,15.433855990
0.085856100,15.431565065
0.086059600,15.433273013
0.086263000,15.430982088
0.086466500,15.428690037
0.086669900,15.430399112
0.086873400,15.428107060
0.087076800,15.425816135
0.087280300,15.427524084
0.087483700,15.425233159
0.087687200,15.422941108
0.087890600,15.420650182
0.088094100,15.422358131
0.088297500,15.420067206
0.088501000,15.417775155
0.088704400,15.415484230
0.088907900,15.413192178
0.089111300,15.410901253
0.089314800,15.408609202
0.089518200,15.406318277
0.089721700,15.404026225
0.089925100,15.405735300
0.090128600,15.403443249
0.090332000,15.401152324
0.090535500,15.398860273
0.090738900,15.396569347
0.090942400,15.394277296
0.091145800,15.391986371
0.091349300,15.385694320
0.091552700,15.383403395
0.091756200,15.381111343
0.091959600,15.378820418
0.092163100,15.376528367
0.092366500,15.374237442
0.092570000,15.371945390
0.092773400,15.369654465
0.092976900,15.367362414
0.093180300,15.361071489
0.093383800,15.358779438
0.093587200,15.356488512
0.093790700,15.354196461
0.093994100,15.351905536
0.094197600,15.345613485
0.094401000,15.343322560
0.094604500,15.341030508
0.094807900,15.338739583
0.095011400,15.332447532
0.095214800,15.330156607
0.095418300,15.327864555
0.095621700,15.325573630
0.095825200,15.319281579
0.096028600,15.316990654
0.096232100,15.314698603
0.096435500,15.308407678
0.096639000,15.306115626
0.096842400,15.303824701
0.097045900,15.297532650
0.097249300,15.295241725
0.097452800,15.292949673
0.097656200,15.286658748
0.097859700,15.284366697
0.098063200,15.282074645
0.098266600,15.275783720
0.098470100,15.273491669
0.098673500,15.271200744
0.098877000,15.264908693
0.099080400,15.262617768
0.099283900,15.260325716
0.099487300,15.254034791
0.099690800,15.251742740
0.099894200,15.249451815
0.100097700,15.243159763
0.100301100,15.240868838
0.100504600,15.234576787
0.100708000,15.232285862
0.100911500,15.229993811
0.101114900,15.223702885
0.101318400,15.221410834
0.101521800,15.215119909
0.101725300,15.212827858
0.101928700,15.210536933
0.102132200,15.204244881
0.102335600,15.201953956
0.102539100,15.195661905
0.102742500,15.193370980
0.102946000,15.187078928
0.103149400,15.184788003
0.103352900,15.178495952
0.103556300,15.176205027
0.103759800,15.169912976
0.103963200,15.167622050
0.104166700,15.161329999
0.104370100,15.159039074
0.104573600,15.152747023
0.104777000,15.146456098
0.104980500,15.144164046
0.105183900,15.137873121
0.105387400,15.131581070
0.105590800,15.129290145
0.105794300,15.122998093
0.105997700,15.120707168
0.106201200,15.114415117
0.106404600,15.108124192
0.106608100,15.105832141
0.106811500,15.099541215
0.107015000,15.093249164
0.107218400,15.090958239
0.107421900,15.080666188
0.107625300,15.078375263
0.107828800,15.072083211
0.108032200,15.065792286
0.108235700,15.059500235
0.108439100,15.053209310
0.108642600,15.050917258
0.108846000,15.040626333
0.109049500,15.038334282
0.109252900,15.032043357
0.109456400,15.021751306
0.109659800,15.019460381
0.109863300,15.013168329
0.110066700,15.006877404
0.110270200,14.996585353
0.110473600,14.994294428
0.110677100,14.988002376
0.110880500,14.977711451
0.111084000,14.971419400
0.111287400,14.965128475
0.111490900,14.958836423
0.111694300,14.952545498
0.111897800,14.946253447
0.112101200,14.935962522
0.112304700,14.929670471
0.112508100,14.923379546
0.112711600,14.917087494
0.112915000,14.906796569
0.113118500,14.900504518
0.113321900,14.894213593
0.113525400,14.883921541
0.113728800,14.877630616
0.113932300,14.871338565
0.114135700,14.861047640
0.114339200,14.854755588
0.114542600,14.848464663
0.114746100,14.842172612
0.114949500,14.831881687
0.115153000,14.825589636
0.115356400,14.819298711
0.115559900,14.809006659
0.115763300,14.802715734
0.115966800,14.796423683
0.116170200,14.786132758
0.116373700,14.779840706
0.116577100,14.773549781
0.116780600,14.767257730
0.116984000,14.760966805
0.117187500,14.754674753
0.117391000,14.748382702
0.117594400,14.738091777
0.117797900,14.731799726
0.118001300,14.725508801
0.118204800,14.715216749
0.118408200,14.712925824
0.118611700,14.706633773
0.118815100,14.700342848
0.119018600,14.690050796
0.119222000,14.687759871
0.119425500,14.681467820
0.119628900,14.675176895
0.119832400,14.668884844
0.120035800,14.662593918
0.120239300,14.656301867
0.120442700,14.650010942
0.120646200,14.647718891
0.120849600,14.641427966
0.121053100,14.635135914
0.121256500,14.628844989
0.121460000,14.626552938
0.121663400,14.620262013
0.121866900,14.617969961
0.122070300,14.611679036
0.122273800,14.605386985
0.122477200,14.603096060
0.122680700,14.600804009
