x (mm),altura (µm)
0.000000000,1.442716837
0.000203500,1.442746832
0.000406900,1.442776812
0.000610400,1.442806807
0.000813800,1.442836786
0.001017300,1.450866781
0.001220700,1.450896761
0.001424200,1.450926756
0.001627600,1.450956736
0.001831100,1.450986731
0.002034500,1.451016711
0.002238000,1.451046705
0.002441400,1.455076685
0.002644900,1.451106680
0.002848300,1.451136660
0.003051800,1.451166655
0.003255200,1.451196635
0.003458700,1.451226629
0.003662100,1.447256609
0.003865600,1.451286604
0.004069000,1.451316584
0.004272500,1.447346579
0.004475900,1.443376559
0.004679400,1.443406553
0.004882800,1.443436533
0.005086300,1.443466528
0.005289700,1.439496508
0.005493200,1.439526503
0.005696600,1.435556483
0.005900100,1.431586477
0.006103500,1.427616457
0.006307000,1.423646452
0.006510400,1.423676432
0.006713900,1.419706427
0.006917300,1.415736407
0.007120800,1.407766401
0.007324200,1.403796381
0.007527700,1.399826376
0.007731100,1.391856356
0.007934600,1.391886351
0.008138000,1.387916331
0.008341500,1.383946325
0.008544900,1.371976305
0.008748400,1.368006300
0.008951800,1.360036280
0.009155300,1.348066275
0.009358700,1.348096255
0.009562200,1.340126249
0.009765600,1.328156229
0.009969100,1.320186224
0.010172500,1.312216204
0.010376000,1.304246199
0.010579400,1.288276179
0.010782900,1.284306173
0.010986300,1.276336153
0.011189800,1.260366148
0.011393200,1.252396128
0.011596700,1.244426123
0.011800100,1.224456103
0.012003600,1.216486097
0.012207000,1.208516077
0.012410500,1.196546072
0.012613900,1.176576052
0.012817400,1.164606047
0.013020800,1.152636027
0.013224300,1.132666021
0.013427700,1.124696001
0.013631200,1.112725996
0.013834600,1.088755976
0.014038100,1.072785971
0.014241500,1.060815951
0.014445000,1.048845945
0.014648400,1.020875925
0.014851900,1.012905920
0.015055300,1.000935900
0.015258800,0.972965895
0.015462200,0.956995875
0.015665700,0.945025869
0.015869100,0.913055849
0.016072600,0.905085844
0.016276000,0.889115824
0.016479500,0.861145819
0.016682900,0.845175799
0.016886400,0.829205794
0.017089800,0.813235773
0.017293300,0.785265768
0.017496700,0.773295748
0.017700200,0.757325743
0.017903600,0.725355723
0.018107100,0.709385718
0.018310500,0.697415697
0.018514000,0.665445692
0.018717400,0.649475672
0.018920900,0.637505667
0.019124300,0.621535647
0.019327800,0.593565642
0.019531300,0.577595636
0.019734700,0.561625616
0.019938200,0.533655611
0.020141600,0.521685591
0.020345100,0.509715586
0.020548500,0.481745566
0.020752000,0.465775560
0.020955400,0.453805540
0.021158900,0.437835535
0.021362300,0.413865515
0.021565800,0.401895510
0.021769200,0.389925490
0.021972700,0.365955484
0.022176100,0.353985464
0.022379600,0.342015459
0.022583000,0.318045439
0.022786500,0.306075434
0.022989900,0.302105414
0.023193400,0.290135408
0.023396800,0.270165388
0.023600300,0.258195383
0.023803700,0.250225363
0.024007200,0.230255358
0.024210600,0.226285338
0.024414100,0.214315332
0.024617500,0.198345312
0.024821000,0.190375307
0.025024400,0.182405287
0.025227900,0.170435282
0.025431300,0.162465262
0.025634800,0.158495256
0.025838200,0.154525236
0.026041700,0.142555231
0.026245100,0.134585211
0.026448600,0.130615206
0.026652000,0.118645186
0.026855500,0.118675180
0.027058900,0.114705160
0.027262400,0.106735155
0.027465800,0.102765135
0.027669300,0.098795130
0.027872700,0.094825110
0.028076200,0.086855104
0.028279600,0.086885084
0.028483100,0.086915079
0.028686500,0.078945059
0.028890000,0.078975054
0.029093400,0.075005034
0.029296900,0.071035028
0.029500300,0.075065008
0.029703800,0.075095003
0.029907200,0.071124983
0.030110700,0.071154978
0.030314100,0.067184958
0.030517600,0.067214952
0.030721000,0.067244932
0.030924500,0.071274927
0.031127900,0.071304907
0.031331400,0.071334902
0.031534800,0.071364882
0.031738300,0.071394876
