Parámetro,Valor
Ra (Promedio Aritmético),3.537 µm
Rq (RMS),4.360 µm
Rp (Pico Máximo),12.736 µm
Rv (Valle Máximo),-11.100 µm
Rt (Altura Total del Perfil),23.836 µm
Rz (ISO 4287:1997),12.103 µm
Rsk (Asimetría),0.324
Rku (Curtosis),2.923
RSm (Anchura Media de Elementos),230.500 µm
Rdq (Pendiente RMS),43.601 µm/mm
Rda (Pendiente Media Absoluta),32.527 µm/mm
Pc (Conteo de Picos),52.00 1/mm
Rpk (Altura de picos que se desgastan),1.547 µm
Rk (Profundidad del núcleo funcional),10.595 µm
Rvk (Profundidad de valles para lubricante),0.488 µm
Mr1 (%),9.50
Mr2 (%),86.83
