x (mm),altura (µm)
0.000000000,27.797245675
0.000203500,27.789526046
0.000406900,27.781808246
0.000610400,27.778088617
0.000813800,27.770370817
0.001017300,27.762651188
0.001220700,27.758933388
0.001424200,27.751213759
0.001627600,27.747495959
0.001831100,27.739776330
0.002034500,27.736058530
0.002238000,27.728338901
0.002441400,27.720621101
0.002644900,27.716901472
0.002848300,27.709183672
0.003051800,27.701464043
0.003255200,27.697746243
0.003458700,27.690026614
0.003662100,27.686308814
0.003865600,27.674589185
0.004069000,27.670871385
0.004272500,27.663151756
0.004475900,27.655433956
0.004679400,27.647714327
0.004882800,27.639996527
0.005086300,27.632276898
0.005289700,27.624559098
0.005493200,27.616839469
0.005696600,27.609121669
0.005900100,27.601402040
0.006103500,27.593684240
0.006307000,27.585964611
0.006510400,27.574246811
0.006713900,27.566527182
0.006917300,27.558809382
0.007120800,27.543089753
0.007324200,27.535371953
0.007527700,27.527652324
0.007731100,27.515934524
0.007934600,27.504214895
0.008138000,27.496497095
0.008341500,27.488777467
0.008544900,27.473059666
0.008748400,27.465340038
0.008951800,27.453622237
0.009155300,27.437902609
0.009358700,27.430184808
0.009562200,27.418465180
0.009765600,27.402747379
0.009969100,27.391027751
0.010172500,27.383309950
0.010376000,27.371590322
0.010579400,27.351872521
0.010782900,27.344152893
0.010986300,27.332435092
0.011189800,27.312715464
0.011393200,27.300997663
0.011596700,27.289278035
0.011800100,27.273560234
0.012003600,27.261840606
0.012207000,27.250122805
0.012410500,27.238403177
0.012613900,27.218685376
0.012817400,27.206965748
0.013020800,27.191247947
0.013224300,27.171528319
0.013427700,27.159810518
0.013631200,27.148090890
0.013834600,27.128373089
0.014038100,27.116653461
0.014241500,27.100935660
0.014445000,27.089216032
0.014648400,27.069498231
0.014851900,27.057778603
0.015055300,27.042060802
0.015258800,27.022341174
0.015462200,27.010623373
0.015665700,26.998903745
0.015869100,26.975185944
0.016072600,26.963466316
0.016276000,26.951748515
0.016479500,26.928028887
0.016682900,26.916311086
0.016886400,26.904591458
0.017089800,26.888873657
0.017293300,26.869154029
0.017496700,26.857436228
0.017700200,26.841716600
0.017903600,26.821998799
0.018107100,26.810279171
0.018310500,26.798561370
0.018514000,26.774841742
0.018717400,26.763123941
0.018920900,26.751404313
0.019124300,26.739686512
0.019327800,26.715966884
0.019531300,26.704247256
0.019734700,26.692529455
0.019938200,26.672809827
0.020141600,26.657092026
0.020345100,26.645372398
0.020548500,26.625654597
0.020752000,26.613934969
0.020955400,26.602217168
0.021158900,26.590497540
0.021362300,26.570779739
0.021565800,26.559060111
0.021769200,26.547342310
0.021972700,26.527622682
0.022176100,26.515904881
0.022379600,26.504185253
0.022583000,26.484467452
0.022786500,26.472747824
0.022989900,26.461030023
0.023193400,26.449310395
0.023396800,26.429592594
0.023600300,26.417872966
0.023803700,26.406155165
0.024007200,26.386435537
0.024210600,26.374717736
0.024414100,26.362998108
0.024617500,26.347280307
0.024821000,26.335560679
0.025024400,26.323842878
0.025227900,26.304123250
0.025431300,26.296405449
0.025634800,26.284685821
0.025838200,26.272968020
0.026041700,26.257248392
0.026245100,26.245530591
0.026448600,26.233810963
0.026652000,26.218093162
0.026855500,26.206373534
0.027058900,26.194655733
0.027262400,26.178936105
0.027465800,26.167218304
0.027669300,26.159498676
0.027872700,26.147780875
0.028076200,26.132061247
0.028279600,26.120343447
0.028483100,26.112623818
0.028686500,26.092906018
0.028890000,26.085186389
0.029093400,26.073468589
0.029296900,26.057748960
0.029500300,26.050031160
0.029703800,26.038311531
0.029907200,26.030593731
0.030110700,26.014874102
0.030314100,26.007156302
0.030517600,25.999436673
0.030721000,25.983718873
0.030924500,25.975999244
0.031127900,25.964281444
0.031331400,25.952561815
0.031534800,25.944844015
0.031738300,25.933124386
0.031941700,25.925406586
0.032145200,25.913686957
0.032348600,25.905969157
0.032552100,25.898249528
0.032755500,25.886531728
0.032959000,25.878812099
0.033162400,25.871094299
0.033365900,25.859374670
0.033569300,25.851656870
0.033772800,25.843937241
0.033976200,25.836219441
0.034179700,25.824499812
0.034383100,25.820782012
0.034586600,25.813062383
0.034790000,25.805344583
0.034993500,25.797624954
0.035196900,25.789907154
0.035400400,25.782187525
0.035603800,25.778469725
0.035807300,25.770750096
0.036010700,25.763032296
0.036214200,25.759312667
0.036417600,25.751594867
0.036621100,25.747875239
0.036824500,25.740157438
0.037028000,25.736437810
0.037231400,25.732720009
0.037434900,25.725000381
0.037638300,25.721282580
0.037841800,25.717562952
0.038045200,25.713845151
0.038248700,25.710125523
0.038452100,25.706407722
0.038655600,25.702688094
0.038859000,25.698970293
0.039062500,25.695250665
0.039266000,25.691531036
0.039469400,25.691813236
0.039672900,25.688093607
0.039876300,25.684375807
0.040079800,25.680656178
0.040283200,25.680938378
0.040486700,25.677218749
0.040690100,25.673500949
0.040893600,25.673781320
0.041097000,25.674063520
0.041300500,25.670343891
0.041503900,25.670626091
0.041707400,25.666906462
0.041910800,25.667188662
0.042114300,25.667469033
0.042317700,25.667751233
0.042521200,25.664031604
0.042724600,25.664313804
0.042928100,25.664594175
0.043131500,25.664876375
0.043335000,25.661156746
0.043538400,25.665438946
0.043741900,25.661719317
0.043945300,25.662001517
0.044148800,25.662281888
0.044352200,25.662564088
0.044555700,25.662844459
0.044759100,25.663126659
0.044962600,25.663407031
0.045166000,25.663689230
0.045369500,25.663969602
0.045572900,25.664251801
0.045776400,25.664532173
0.045979800,25.660814372
0.046183300,25.665094744
0.046386700,25.665376943
0.046590200,25.661657315
0.046793600,25.665939514
0.046997100,25.662219886
0.047200500,25.662502085
0.047404000,25.662782457
0.047607400,25.663064656
0.047810900,25.663345028
0.048014300,25.659627227
0.048217800,25.663907599
0.048421200,25.660189798
0.048624700,25.660470170
0.048828100,25.660752369
0.049031600,25.657032741
0.049235000,25.657314940
0.049438500,25.653595312
0.049641900,25.653877511
0.049845400,25.654157883
0.050048800,25.650440082
0.050252300,25.650720454
0.050455700,25.647002653
0.050659200,25.647283025
0.050862600,25.643565224
0.051066100,25.639845596
0.051269500,25.640127795
0.051473000,25.636408167
0.051676400,25.632690366
0.051879900,25.628970738
0.052083300,25.625252937
0.052286800,25.621533309
0.052490200,25.617815508
0.052693700,25.614095880
0.052897100,25.610378079
0.053100600,25.606658451
0.053304000,25.602940650
0.053507500,25.595221022
0.053710900,25.591503221
0.053914400,25.587783593
0.054117800,25.580065792
0.054321300,25.572346164
0.054524700,25.568628363
0.054728200,25.564908735
0.054931600,25.557190934
0.055135100,25.549471306
0.055338500,25.545753505
0.055542000,25.534033877
0.055745400,25.530316076
0.055948900,25.522596448
0.056152300,25.514878647
0.056355800,25.507159019
0.056559200,25.499441218
0.056762700,25.491721590
0.056966100,25.484003790
0.057169600,25.476284161
0.057373000,25.468566361
0.057576500,25.456846732
0.057779900,25.449128932
0.057983400,25.441409303
0.058186800,25.433691503
0.058390300,25.421971874
0.058593800,25.414252246
0.058797200,25.406534445
0.059000700,25.394814817
0.059204100,25.387097016
0.059407600,25.379377388
0.059611000,25.367659587
0.059814500,25.359939959
0.060017900,25.352222158
0.060221400,25.340502530
0.060424800,25.328784729
0.060628300,25.321065101
0.060831700,25.313347300
0.061035200,25.301627672
0.061238600,25.293909871
0.061442100,25.286190243
0.061645500,25.274472442
0.061849000,25.266752814
0.062052400,25.259035013
0.062255900,25.251315385
0.062459300,25.239597584
0.062662800,25.231877956
0.062866200,25.224160155
0.063069700,25.212440527
0.063273100,25.204722726
0.063476600,25.197003098
0.063680000,25.189285297
0.063883500,25.181565669
0.064086900,25.173847868
