Parámetro,Valor
Ra (Promedio Aritmético),3.728 µm
Rq (RMS),4.517 µm
Rp (Pico Máximo),8.900 µm
Rv (Valle Máximo),-9.928 µm
Rt (Altura Total del Perfil),18.828 µm
Rz (ISO 4287:1997),13.446 µm
Rsk (Asimetría),-0.060
Rku (Curtosis),2.283
RSm (Anchura Media de Elementos),297.245 µm
Rdq (Pendiente RMS),39.056 µm/mm
Rda (Pendiente Media Absoluta),29.439 µm/mm
Pc (Conteo de Picos),75.40 1/mm
Rpk (Altura de picos que se desgastan),1.245 µm
Rk (Profundidad del núcleo funcional),3.858 µm
Rvk (Profundidad de valles para lubricante),1.603 µm
Mr1 (%),42.17
Mr2 (%),76.50
