x (mm),altura (µm)
0.000000000,-2.571522532
0.000203500,-2.575429803
0.000406900,-2.587337120
0.000610400,-2.591244392
0.000813800,-2.591151708
0.001017300,-2.599058980
0.001220700,-2.602966297
0.001424200,-2.610873568
0.001627600,-2.610780885
0.001831100,-2.618688156
0.002034500,-2.622595473
0.002238000,-2.626502744
0.002441400,-2.630410061
0.002644900,-2.638317333
0.002848300,-2.642224650
0.003051800,-2.650131921
0.003255200,-2.650039238
0.003458700,-2.653946509
0.003662100,-2.657853826
0.003865600,-2.665761097
0.004069000,-2.669668414
0.004272500,-2.673575685
0.004475900,-2.681483002
0.004679400,-2.681390274
0.004882800,-2.689297591
0.005086300,-2.697204862
0.005289700,-2.701112179
0.005493200,-2.701019450
0.005696600,-2.704926767
0.005900100,-2.712834038
0.006103500,-2.720741355
0.006307000,-2.724648627
0.006510400,-2.728555943
0.006713900,-2.732463215
0.006917300,-2.736370532
0.007120800,-2.744277803
0.007324200,-2.748185120
0.007527700,-2.752092391
0.007731100,-2.759999708
0.007934600,-2.763906979
0.008138000,-2.767814296
0.008341500,-2.775721568
0.008544900,-2.779628885
0.008748400,-2.783536156
0.008951800,-2.787443473
0.009155300,-2.795350744
0.009358700,-2.803258061
0.009562200,-2.807165332
0.009765600,-2.815072649
0.009969100,-2.818979920
0.010172500,-2.822887237
0.010376000,-2.826794509
0.010579400,-2.838701826
0.010782900,-2.842609097
0.010986300,-2.846516414
0.011189800,-2.854423685
0.011393200,-2.858331002
0.011596700,-2.866238273
0.011800100,-2.874145590
0.012003600,-2.878052862
0.012207000,-2.881960178
0.012410500,-2.885867450
0.012613900,-2.893774767
0.012817400,-2.901682038
0.013020800,-2.905589355
0.013224300,-2.913496626
0.013427700,-2.917403943
0.013631200,-2.925311214
0.013834600,-2.933218531
0.014038100,-2.941125803
0.014241500,-2.945033119
0.014445000,-2.948940391
0.014648400,-2.956847708
0.014851900,-2.960754979
0.015055300,-2.972662296
0.015258800,-2.980569567
0.015462200,-2.984476884
0.015665700,-2.988384155
0.015869100,-2.996291472
0.016072600,-3.004198744
0.016276000,-3.012106061
0.016479500,-3.020013332
0.016682900,-3.023920649
0.016886400,-3.027827920
0.017089800,-3.031735237
0.017293300,-3.047642508
0.017496700,-3.051549825
0.017700200,-3.055457097
0.017903600,-3.067364413
0.018107100,-3.071271685
0.018310500,-3.075179002
0.018514000,-3.087086273
0.018717400,-3.090993590
0.018920900,-3.098900861
0.019124300,-3.102808178
0.019327800,-3.110715449
0.019531300,-3.118622721
0.019734700,-3.122530038
0.019938200,-3.134437309
0.020141600,-3.138344626
0.020345100,-3.142251897
0.020548500,-3.154159214
0.020752000,-3.162066485
0.020955400,-3.165973802
0.021158900,-3.169881074
0.021362300,-3.181788390
0.021565800,-3.185695662
0.021769200,-3.193602979
0.021972700,-3.201510250
0.022176100,-3.209417567
0.022379600,-3.213324838
0.022583000,-3.221232155
0.022786500,-3.229139426
0.022989900,-3.237046743
0.023193400,-3.240954015
0.023396800,-3.248861331
0.023600300,-3.256768603
0.023803700,-3.260675920
0.024007200,-3.272583191
0.024210600,-3.280490508
0.024414100,-3.284397779
0.024617500,-3.292305096
0.024821000,-3.300212367
0.025024400,-3.304119684
0.025227900,-3.316026956
0.025431300,-3.323934273
0.025634800,-3.327841544
0.025838200,-3.331748861
0.026041700,-3.343656132
0.026245100,-3.351563449
0.026448600,-3.355470720
0.026652000,-3.367378037
0.026855500,-3.371285309
0.027058900,-3.379192625
0.027262400,-3.387099897
0.027465800,-3.399007214
0.027669300,-3.402914485
0.027872700,-3.406821802
0.028076200,-3.418729073
0.028279600,-3.422636390
0.028483100,-3.434543661
0.028686500,-3.442450978
0.028890000,-3.450358250
0.029093400,-3.454265566
0.029296900,-3.466172838
0.029500300,-3.474080155
0.029703800,-3.477987426
0.029907200,-3.485894743
0.030110700,-3.497802014
0.030314100,-3.501709331
0.030517600,-3.505616602
0.030721000,-3.521523919
0.030924500,-3.529431191
0.031127900,-3.533338508
0.031331400,-3.545245779
0.031534800,-3.549153096
0.031738300,-3.561060367
