Parámetro,Valor
Ra (Promedio Aritmético),2.778 µm
Rq (RMS),3.549 µm
Rp (Pico Máximo),7.400 µm
Rv (Valle Máximo),-6.900 µm
Rt (Altura Total del Perfil),14.300 µm
Rz (ISO 4287:1997),8.514 µm
Rsk (Asimetría),0.189
Rku (Curtosis),2.504
RSm (Anchura Media de Elementos),261.152 µm
Rdq (Pendiente RMS),30.215 µm/mm
Rda (Pendiente Media Absoluta),21.634 µm/mm
Pc (Conteo de Picos),63.60 1/mm
Rpk (Altura de picos que se desgastan),1.767 µm
Rk (Profundidad del núcleo funcional),1.910 µm
Rvk (Profundidad de valles para lubricante),1.199 µm
Mr1 (%),40.97
Mr2 (%),69.33
