x (mm),altura (µm)
0.000000000,0.165987369
0.000203500,0.161915847
0.000406900,0.157844361
0.000610400,0.157772839
0.000813800,0.153701353
0.001017300,0.149629831
0.001220700,0.145558345
0.001424200,0.141486823
0.001627600,0.137415337
0.001831100,0.133343815
0.002034500,0.133272329
0.002238000,0.129200807
0.002441400,0.125129321
0.002644900,0.121057799
0.002848300,0.120986313
0.003051800,0.116914791
0.003255200,0.112843305
0.003458700,0.108771783
0.003662100,0.108700297
0.003865600,0.100628775
0.004069000,0.096557288
0.004272500,0.092485767
0.004475900,0.088414280
0.004679400,0.084342759
0.004882800,0.084271272
0.005086300,0.076199751
0.005289700,0.076128264
0.005493200,0.072056743
0.005696600,0.067985256
0.005900100,0.063913735
0.006103500,0.059842248
0.006307000,0.055770727
0.006510400,0.047699240
0.006713900,0.043627719
0.006917300,0.043556232
0.007120800,0.035484710
0.007324200,0.031413224
0.007527700,0.031341702
0.007731100,0.023270216
0.007934600,0.019198694
0.008138000,0.019127208
0.008341500,0.015055686
0.008544900,0.006984200
0.008748400,0.002912678
0.008951800,-0.001158808
0.009155300,-0.009230330
0.009358700,-0.013301816
0.009562200,-0.017373338
0.009765600,-0.021444824
0.009969100,-0.025516346
0.010172500,-0.029587832
0.010376000,-0.033659354
0.010579400,-0.041730840
0.010782900,-0.045802362
0.010986300,-0.045873849
0.011189800,-0.053945370
0.011393200,-0.062016857
0.011596700,-0.066088378
0.011800100,-0.074159865
0.012003600,-0.078231386
0.012207000,-0.082302873
0.012410500,-0.086374394
0.012613900,-0.094445881
0.012817400,-0.094517402
0.013020800,-0.098588889
0.013224300,-0.106660410
0.013427700,-0.110731897
0.013631200,-0.114803418
0.013834600,-0.122874905
0.014038100,-0.130946427
0.014241500,-0.135017913
0.014445000,-0.139089435
0.014648400,-0.147160921
0.014851900,-0.151232443
0.015055300,-0.155303929
0.015258800,-0.167375451
0.015462200,-0.171446937
0.015665700,-0.175518459
0.015869100,-0.183589945
0.016072600,-0.187661467
0.016276000,-0.191732953
0.016479500,-0.203804475
0.016682900,-0.207875961
0.016886400,-0.211947483
0.017089800,-0.220018969
0.017293300,-0.228090491
0.017496700,-0.232161977
0.017700200,-0.236233499
0.017903600,-0.244304985
0.018107100,-0.252376507
0.018310500,-0.256447994
0.018514000,-0.264519515
0.018717400,-0.268591002
0.018920900,-0.276662523
0.019124300,-0.284734010
0.019327800,-0.292805531
0.019531300,-0.296877053
0.019734700,-0.300948539
0.019938200,-0.313020061
0.020141600,-0.317091547
0.020345100,-0.321163069
0.020548500,-0.333234555
0.020752000,-0.337306077
0.020955400,-0.341377563
0.021158900,-0.349449085
0.021362300,-0.361520572
0.021565800,-0.365592093
0.021769200,-0.373663580
0.021972700,-0.381735101
0.022176100,-0.389806588
0.022379600,-0.393878109
0.022583000,-0.405949596
0.022786500,-0.410021117
0.022989900,-0.414092604
0.023193400,-0.422164125
0.023396800,-0.430235612
0.023600300,-0.438307133
0.023803700,-0.442378620
0.024007200,-0.458450141
0.024210600,-0.462521628
0.024414100,-0.470593150
0.024617500,-0.482664636
0.024821000,-0.486736158
0.025024400,-0.494807644
0.025227900,-0.502879166
0.025431300,-0.510950652
0.025634800,-0.515022174
0.025838200,-0.523093660
0.026041700,-0.535165182
0.026245100,-0.539236668
0.026448600,-0.551308190
0.026652000,-0.563379676
0.026855500,-0.571451198
0.027058900,-0.575522684
0.027262400,-0.587594206
0.027465800,-0.595665692
0.027669300,-0.603737214
0.027872700,-0.607808700
0.028076200,-0.619880222
0.028279600,-0.627951709
0.028483100,-0.636023230
0.028686500,-0.648094717
0.028890000,-0.660166238
0.029093400,-0.668237725
0.029296900,-0.680309246
0.029500300,-0.688380733
0.029703800,-0.696452254
0.029907200,-0.700523741
0.030110700,-0.716595262
0.030314100,-0.724666749
0.030517600,-0.732738270
0.030721000,-0.744809757
0.030924500,-0.752881278
0.031127900,-0.760952765
0.031331400,-0.781024287
0.031534800,-0.789095773
0.031738300,-0.797167295
0.031941700,-0.801238781
0.032145200,-0.817310303
0.032348600,-0.825381789
0.032552100,-0.833453311
0.032755500,-0.849524797
0.032959000,-0.857596319
0.033162400,-0.865667805
0.033365900,-0.881739327
0.033569300,-0.889810813
0.033772800,-0.901882335
0.033976200,-0.909953821
0.034179700,-0.930025343
0.034383100,-0.938096829
0.034586600,-0.946168351
0.034790000,-0.962239837
0.034993500,-0.970311359
0.035196900,-0.978382846
0.035400400,-0.994454367
0.035603800,-1.006525854
0.035807300,-1.014597375
0.036010700,-1.030668862
0.036214200,-1.042740383
0.036417600,-1.054811870
0.036621100,-1.062883391
0.036824500,-1.078954878
0.037028000,-1.091026399
0.037231400,-1.099097886
0.037434900,-1.115169407
0.037638300,-1.127240894
0.037841800,-1.135312415
0.038045200,-1.151383902
0.038248700,-1.163455424
0.038452100,-1.171526910
0.038655600,-1.183598432
0.038859000,-1.203669918
0.039062500,-1.211741440
0.039266000,-1.223812961
0.039469400,-1.239884448
0.039672900,-1.251955969
0.039876300,-1.260027456
0.040079800,-1.280098977
0.040283200,-1.288170464
0.040486700,-1.300241985
0.040690100,-1.308313472
0.040893600,-1.332384993
0.041097000,-1.344456480
0.041300500,-1.352528002
0.041503900,-1.372599488
0.041707400,-1.384671010
0.041910800,-1.392742496
0.042114300,-1.412814018
0.042317700,-1.424885504
0.042521200,-1.432957026
0.042724600,-1.445028512
0.042928100,-1.465100034
0.043131500,-1.477171520
0.043335000,-1.489243042
0.043538400,-1.513314528
0.043741900,-1.521386050
0.043945300,-1.533457536
0.044148800,-1.553529058
0.044352200,-1.565600544
0.044555700,-1.573672066
0.044759100,-1.597743552
0.044962600,-1.609815074
0.045166000,-1.617886560
0.045369500,-1.629958082
0.045572900,-1.650029569
0.045776400,-1.666101090
0.045979800,-1.678172577
0.046183300,-1.698244098
0.046386700,-1.710315585
0.046590200,-1.722387106
0.046793600,-1.742458593
0.046997100,-1.754530114
0.047200500,-1.766601601
0.047404000,-1.778673122
0.047607400,-1.798744609
0.047810900,-1.810816130
0.048014300,-1.818887617
0.048217800,-1.846959138
0.048421200,-1.855030625
0.048624700,-1.867102147
0.048828100,-1.887173633
0.049031600,-1.895245155
0.049235000,-1.907316641
0.049438500,-1.915388163
0.049641900,-1.935459649
0.049845400,-1.947531171
0.050048800,-1.955602657
0.050252300,-1.975674179
0.050455700,-1.983745665
0.050659200,-1.995817187
0.050862600,-2.011888673
0.051066100,-2.019960195
0.051269500,-2.028031681
0.051473000,-2.036103203
0.051676400,-2.052174689
0.051879900,-2.060246211
0.052083300,-2.064317697
0.052286800,-2.076389219
0.052490200,-2.084460706
0.052693700,-2.088532227
0.052897100,-2.104603714
0.053100600,-2.108675235
0.053304000,-2.112746722
0.053507500,-2.116818243
0.053710900,-2.124889730
0.053914400,-2.128961251
0.054117800,-2.133032738
0.054321300,-2.137104259
0.054524700,-2.137175746
0.054728200,-2.141247267
0.054931600,-2.141318754
0.055135100,-2.141390275
0.055338500,-2.149461762
0.055542000,-2.149533284
0.055745400,-2.145604770
0.055948900,-2.145676292
0.056152300,-2.145747778
0.056355800,-2.141819300
0.056559200,-2.137890786
0.056762700,-2.137962308
0.056966100,-2.130033794
0.057169600,-2.126105316
0.057373000,-2.122176802
0.057576500,-2.118248324
0.057779900,-2.114319810
0.057983400,-2.110391332
0.058186800,-2.106462818
0.058390300,-2.094534340
0.058593800,-2.086605862
0.058797200,-2.082677348
0.059000700,-2.066748870
0.059204100,-2.058820356
0.059407600,-2.054891878
0.059611000,-2.038963364
0.059814500,-2.031034886
0.060017900,-2.027106372
0.060221400,-2.019177894
0.060424800,-1.999249380
0.060628300,-1.991320902
0.060831700,-1.983392388
0.061035200,-1.963463910
0.061238600,-1.955535396
0.061442100,-1.947606918
0.061645500,-1.927678404
0.061849000,-1.915749926
0.062052400,-1.907821412
0.062255900,-1.895892934
0.062459300,-1.879964421
0.062662800,-1.872035942
0.062866200,-1.860107429
0.063069700,-1.840178950
0.063273100,-1.828250437
0.063476600,-1.816321958
0.063680000,-1.796393445
0.063883500,-1.784464966
0.064086900,-1.776536453
0.064290400,-1.752607974
0.064493800,-1.740679461
0.064697300,-1.736750982
0.064900700,-1.724822469
0.065104200,-1.704893990
0.065307600,-1.692965477
0.065511100,-1.681036999
0.065714500,-1.661108485
0.065918000,-1.649180007
0.066121400,-1.637251493
0.066324900,-1.617323015
0.066528300,-1.605394501
0.066731800,-1.593466023
0.066935200,-1.585537509
0.067138700,-1.565609031
0.067342100,-1.557680517
0.067545600,-1.545752039
0.067749000,-1.525823525
0.067952500,-1.513895047
0.068155900,-1.501966533
0.068359400,-1.482038055
0.068562800,-1.470109541
0.068766300,-1.462181063
0.068969700,-1.450252549
0.069173200,-1.430324071
0.069376600,-1.422395557
0.069580100,-1.414467079
0.069783500,-1.394538566
0.069987000,-1.382610087
0.070190400,-1.374681574
0.070393900,-1.350753095
0.070597300,-1.342824582
0.070800800,-1.330896103
0.071004200,-1.322967590
0.071207700,-1.303039111
0.071411100,-1.291110598
0.071614600,-1.287182119
0.071818000,-1.267253606
0.072021500,-1.255325127
0.072224900,-1.247396614
0.072428400,-1.227468135
0.072631800,-1.215539622
0.072835300,-1.207611144
0.073038700,-1.187682630
0.073242200,-1.175754152
0.073445600,-1.167825638
0.073649100,-1.159897160
0.073852500,-1.139968646
0.074056000,-1.132040168
0.074259400,-1.124111654
0.074462900,-1.104183176
0.074666300,-1.092254662
0.074869800,-1.084326184
0.075073200,-1.064397670
0.075276700,-1.056469192
0.075480100,-1.044540678
0.075683600,-1.036612200
0.075887000,-1.016683686
0.076090500,-1.008755208
0.076293900,-1.000826694
0.076497400,-0.984898216
0.076700800,-0.972969703
0.076904300,-0.965041224
0.077107700,-0.945112711
0.077311200,-0.937184232
0.077514600,-0.929255719
0.077718100,-0.917327240
0.077921500,-0.901398727
0.078125000,-0.889470248
0.078328500,-0.881541770
0.078531900,-0.865613256
0.078735400,-0.857684778
0.078938800,-0.849756264
0.079142300,-0.829827786
0.079345700,-0.821899272
0.079549200,-0.813970794
0.079752600,-0.802042281
0.079956100,-0.786113802
0.080159500,-0.778185289
0.080363000,-0.766256810
0.080566400,-0.750328297
0.080769900,-0.742399818
0.080973300,-0.738471305
0.081176800,-0.718542826
0.081380200,-0.710614313
0.081583700,-0.702685834
0.081787100,-0.694757321
0.081990600,-0.674828842
0.082194000,-0.666900329
0.082397500,-0.658971850
0.082600900,-0.643043337
0.082804400,-0.635114859
0.083007800,-0.623186345
0.083211300,-0.611257867
0.083414700,-0.603329353
0.083618200,-0.595400875
0.083821600,-0.579472361
0.084025100,-0.571543883
0.084228500,-0.563615369
0.084432000,-0.555686891
0.084635400,-0.539758377
0.084838900,-0.531829899
0.085042300,-0.523901385
0.085245800,-0.507972907
0.085449200,-0.504044393
0.085652700,-0.496115915
0.085856100,-0.480187401
0.086059600,-0.472258923
0.086263000,-0.464330409
0.086466500,-0.456401931
0.086669900,-0.440473418
0.086873400,-0.432544939
0.087076800,-0.424616426
0.087280300,-0.412687947
0.087483700,-0.404759434
0.087687200,-0.400830955
0.087890600,-0.384902442
0.088094100,-0.376973963
0.088297500,-0.369045450
0.088501000,-0.365116971
0.088704400,-0.349188458
0.088907900,-0.341259979
0.089111300,-0.333331466
0.089314800,-0.321402987
0.089518200,-0.313474474
0.089721700,-0.305545996
0.089925100,-0.293617482
0.090128600,-0.289689004
0.090332000,-0.281760490
0.090535500,-0.273832012
0.090738900,-0.261903498
0.090942400,-0.253975020
0.091145800,-0.250046506
0.091349300,-0.234118028
0.091552700,-0.226189514
0.091756200,-0.222261036
0.091959600,-0.206332522
0.092163100,-0.202404044
0.092366500,-0.198475530
0.092570000,-0.186547052
0.092773400,-0.178618538
0.092976900,-0.170690060
0.093180300,-0.166761546
0.093383800,-0.150833068
0.093587200,-0.146904554
0.093790700,-0.138976076
0.093994100,-0.127047563
0.094197600,-0.119119084
0.094401000,-0.115190571
0.094604500,-0.103262092
0.094807900,-0.099333579
0.095011400,-0.091405100
0.095214800,-0.087476587
0.095418300,-0.075548108
0.095621700,-0.067619595
0.095825200,-0.059691116
0.096028600,-0.047762603
0.096232100,-0.043834124
0.096435500,-0.035905611
0.096639000,-0.023977132
0.096842400,-0.024048619
0.097045900,-0.016120141
0.097249300,-0.012191627
0.097452800,-0.000263149
0.097656200,0.007665365
0.097859700,0.011593843
0.098063200,0.023522322
0.098266600,0.027450835
0.098470100,0.035379314
0.098673500,0.047307827
0.098877000,0.051236306
0.099080400,0.055164819
0.099283900,0.059093298
0.099487300,0.071021811
0.099690800,0.074950290
0.099894200,0.082878803
0.100097700,0.090807281
0.100301100,0.094735795
0.100504600,0.098664273
0.100708000,0.110592787
0.100911500,0.114521265
0.101114900,0.122449779
0.101318400,0.126378257
0.101521800,0.134306771
0.101725300,0.138235249
0.101928700,0.142163763
0.102132200,0.154092241
0.102335600,0.158020755
0.102539100,0.165949233
0.102742500,0.173877747
0.102946000,0.181806225
0.103149400,0.185734739
0.103352900,0.197663217
0.103556300,0.197591731
0.103759800,0.201520209
0.103963200,0.205448722
0.104166700,0.217377201
0.104370100,0.221305714
0.104573600,0.229234193
0.104777000,0.237162706
0.104980500,0.245091185
0.105183900,0.249019698
0.105387400,0.256948177
0.105590800,0.264876690
0.105794300,0.264805169
0.105997700,0.268733682
0.106201200,0.280662161
0.106404600,0.284590674
0.106608100,0.288519153
0.106811500,0.300447666
0.107015000,0.304376144
0.107218400,0.312304658
0.107421900,0.320233136
0.107625300,0.324161650
0.107828800,0.332090128
0.108032200,0.332018642
0.108235700,0.343947120
0.108439100,0.347875634
0.108642600,0.351804112
0.108846000,0.363732626
0.109049500,0.367661104
0.109252900,0.371589618
0.109456400,0.383518096
0.109659800,0.387446610
0.109863300,0.395375088
0.110066700,0.399303602
0.110270200,0.407232080
0.110473600,0.411160594
0.110677100,0.415089072
0.110880500,0.427017585
0.111084000,0.430946064
0.111287400,0.434874577
0.111490900,0.446803056
0.111694300,0.450731569
0.111897800,0.458660048
0.112101200,0.466588561
0.112304700,0.474517040
0.112508100,0.474445553
0.112711600,0.478374032
0.112915000,0.490302545
0.113118500,0.494231024
0.113321900,0.498159537
0.113525400,0.510088016
0.113728800,0.514016529
0.113932300,0.521945007
0.114135700,0.529873521
0.114339200,0.537801999
0.114542600,0.541730513
0.114746100,0.541658991
0.114949500,0.553587505
0.115153000,0.557515983
0.115356400,0.561444497
0.115559900,0.573372975
0.115763300,0.577301489
0.115966800,0.585229967
0.116170200,0.593158481
0.116373700,0.597086959
0.116577100,0.605015473
0.116780600,0.604943951
0.116984000,0.616872465
0.117187500,0.620800943
0.117391000,0.624729421
0.117594400,0.636657935
0.117797900,0.640586413
0.118001300,0.644514927
0.118204800,0.656443405
0.118408200,0.660371919
0.118611700,0.664300397
0.118815100,0.668228911
0.119018600,0.676157389
0.119222000,0.680085903
0.119425500,0.684014381
0.119628900,0.695942895
0.119832400,0.699871373
0.120035800,0.703799887
0.120239300,0.715728365
0.120442700,0.719656879
0.120646200,0.723585357
0.120849600,0.731513871
0.121053100,0.739442349
0.121256500,0.739370862
