x (mm),altura (µm)
0.000000000,-3.406320926
0.000203500,-3.403100073
0.000406900,-3.395878836
0.000610400,-3.392657983
0.000813800,-3.389436747
0.001017300,-3.378215894
0.001220700,-3.374994657
0.001424200,-3.371773804
0.001627600,-3.364552568
0.001831100,-3.353331715
0.002034500,-3.350110478
0.002238000,-3.342889625
0.002441400,-3.327668389
0.002644900,-3.324447536
0.002848300,-3.317226299
0.003051800,-3.302005446
0.003255200,-3.294784210
0.003458700,-3.287563357
0.003662100,-3.280342121
0.003865600,-3.261121267
0.004069000,-3.253900031
0.004272500,-3.246679178
0.004475900,-3.227457942
0.004679400,-3.220237088
0.004882800,-3.213015852
0.005086300,-3.193794999
0.005289700,-3.182573763
0.005493200,-3.175352909
0.005696600,-3.164131673
0.005900100,-3.144910820
0.006103500,-3.133689584
0.006307000,-3.126468730
0.006510400,-3.103247494
0.006713900,-3.096026641
0.006917300,-3.084805405
0.007120800,-3.061584551
0.007324200,-3.054363315
0.007527700,-3.043142462
0.007731100,-3.019921226
0.007934600,-3.008700372
0.008138000,-3.001479136
0.008341500,-2.990258283
0.008544900,-2.967037047
0.008748400,-2.955816194
0.008951800,-2.948594957
0.009155300,-2.925374104
0.009358700,-2.914152868
0.009562200,-2.902932015
0.009765600,-2.883710778
0.009969100,-2.872489925
0.010172500,-2.861268689
0.010376000,-2.850047836
0.010579400,-2.830826599
0.010782900,-2.819605746
0.010986300,-2.808384510
0.011189800,-2.789163657
0.011393200,-2.777942421
0.011596700,-2.766721567
0.011800100,-2.747500331
0.012003600,-2.736279478
0.012207000,-2.725058242
0.012410500,-2.717837388
0.012613900,-2.694616152
0.012817400,-2.687395299
0.013020800,-2.676174063
0.013224300,-2.656953209
0.013427700,-2.649731973
0.013631200,-2.638511120
0.013834600,-2.619289884
0.014038100,-2.612069030
0.014241500,-2.600847794
0.014445000,-2.593626941
0.014648400,-2.574405705
0.014851900,-2.563184851
0.015055300,-2.555963615
0.015258800,-2.536742762
0.015462200,-2.529521526
0.015665700,-2.522300672
0.015869100,-2.503079436
0.016072600,-2.495858583
0.016276000,-2.488637347
0.016479500,-2.469416494
0.016682900,-2.462195257
0.016886400,-2.454974404
0.017089800,-2.447753168
0.017293300,-2.432532315
0.017496700,-2.425311078
0.017700200,-2.418090225
0.017903600,-2.402868989
0.018107100,-2.395648136
0.018310500,-2.388426899
0.018514000,-2.373206046
0.018717400,-2.365984810
0.018920900,-2.358763957
0.019124300,-2.351542721
0.019327800,-2.340321867
0.019531300,-2.333101014
0.019734700,-2.325879778
0.019938200,-2.310658924
0.020141600,-2.307437688
0.020345100,-2.300216835
0.020548500,-2.288995599
0.020752000,-2.281774745
0.020955400,-2.274553509
0.021158900,-2.271332656
0.021362300,-2.256111420
0.021565800,-2.252890567
0.021769200,-2.245669330
0.021972700,-2.234448477
0.022176100,-2.231227241
0.022379600,-2.224006388
0.022583000,-2.212785151
0.022786500,-2.209564298
0.022989900,-2.202343062
0.023193400,-2.199122209
0.023396800,-2.187900972
0.023600300,-2.184680119
0.023803700,-2.177458883
0.024007200,-2.170238030
0.024210600,-2.167016794
0.024414100,-2.159795940
0.024617500,-2.152574704
0.024821000,-2.145353851
0.025024400,-2.142132615
0.025227900,-2.134911761
0.025431300,-2.131690525
0.025634800,-2.124469672
0.025838200,-2.121248436
0.026041700,-2.114027582
0.026245100,-2.110806346
0.026448600,-2.107585493
0.026652000,-2.096364257
0.026855500,-2.093143403
0.027058900,-2.089922167
0.027262400,-2.082701314
0.027465800,-2.079480078
0.027669300,-2.076259224
0.027872700,-2.073037988
0.028076200,-2.065817135
0.028279600,-2.062595899
0.028483100,-2.059375045
0.028686500,-2.052153809
0.028890000,-2.048932956
0.029093400,-2.045711720
0.029296900,-2.038490867
0.029500300,-2.035269630
0.029703800,-2.032048777
0.029907200,-2.024827541
0.030110700,-2.017606688
0.030314100,-2.014385451
0.030517600,-2.011164598
0.030721000,-2.003943362
0.030924500,-2.000722509
0.031127900,-1.997501272
0.031331400,-1.990280419
0.031534800,-1.987059183
0.031738300,-1.983838330
0.031941700,-1.980617094
0.032145200,-1.973396240
0.032348600,-1.970175004
0.032552100,-1.966954151
0.032755500,-1.955732915
0.032959000,-1.952512061
0.033162400,-1.949290825
0.033365900,-1.942069972
0.033569300,-1.938848736
0.033772800,-1.931627882
0.033976200,-1.928406646
0.034179700,-1.921185793
0.034383100,-1.913964557
0.034586600,-1.910743703
0.034790000,-1.899522467
0.034993500,-1.896301614
0.035196900,-1.893080378
0.035400400,-1.881859524
0.035603800,-1.878638288
0.035807300,-1.871417435
0.036010700,-1.860196199
0.036214200,-1.856975345
0.036417600,-1.849754109
0.036621100,-1.846533256
0.036824500,-1.835312020
0.037028000,-1.828091167
0.037231400,-1.820869930
0.037434900,-1.809649077
0.037638300,-1.806427841
0.037841800,-1.799206988
0.038045200,-1.787985751
0.038248700,-1.780764898
0.038452100,-1.773543662
0.038655600,-1.766322809
0.038859000,-1.755101572
0.039062500,-1.747880719
0.039266000,-1.740659866
0.039469400,-1.729438630
0.039672900,-1.722217776
0.039876300,-1.714996540
0.040079800,-1.699775687
0.040283200,-1.692554451
0.040486700,-1.689333597
0.040690100,-1.682112361
0.040893600,-1.666891508
0.041097000,-1.659670272
0.041300500,-1.652449418
0.041503900,-1.637228182
0.041707400,-1.630007329
0.041910800,-1.622786093
0.042114300,-1.607565240
0.042317700,-1.604344003
0.042521200,-1.597123150
0.042724600,-1.589901914
0.042928100,-1.574681061
0.043131500,-1.567459824
0.043335000,-1.560238971
0.043538400,-1.545017735
0.043741900,-1.537796882
0.043945300,-1.530575645
0.044148800,-1.515354792
0.044352200,-1.508133556
0.044555700,-1.504912703
0.044759100,-1.489691466
0.044962600,-1.482470613
0.045166000,-1.475249377
0.045369500,-1.468028524
0.045572900,-1.456807288
0.045776400,-1.449586434
0.045979800,-1.442365198
0.046183300,-1.431144345
0.046386700,-1.423923109
0.046590200,-1.416702255
0.046793600,-1.405481019
0.046997100,-1.398260166
0.047200500,-1.391038930
0.047404000,-1.383818076
0.047607400,-1.372596840
0.047810900,-1.369375987
0.048014300,-1.362154751
0.048217800,-1.350933897
0.048421200,-1.343712661
0.048624700,-1.340491808
0.048828100,-1.329270572
0.049031600,-1.322049718
0.049235000,-1.318828482
0.049438500,-1.311607629
0.049641900,-1.300386393
0.049845400,-1.297165540
0.050048800,-1.289944303
0.050252300,-1.282723450
0.050455700,-1.275502214
0.050659200,-1.272281361
0.050862600,-1.261060124
0.051066100,-1.257839271
0.051269500,-1.254618035
0.051473000,-1.251397182
0.051676400,-1.240175945
0.051879900,-1.236955092
0.052083300,-1.233733856
0.052286800,-1.222513003
0.052490200,-1.219291766
0.052693700,-1.216070913
0.052897100,-1.208849677
0.053100600,-1.205628824
0.053304000,-1.202407588
0.053507500,-1.199186734
0.053710900,-1.191965498
0.053914400,-1.188744645
0.054117800,-1.185523409
0.054321300,-1.178302555
0.054524700,-1.175081319
0.054728200,-1.171860466
0.054931600,-1.168639230
0.055135100,-1.165418376
0.055338500,-1.162197140
0.055542000,-1.154976287
0.055745400,-1.155755051
0.055948900,-1.152534197
0.056152300,-1.149312961
0.056355800,-1.146092108
0.056559200,-1.142870872
0.056762700,-1.139650018
0.056966100,-1.136428782
0.057169600,-1.137207929
0.057373000,-1.133986693
0.057576500,-1.130765839
0.057779900,-1.127544603
0.057983400,-1.128323750
0.058186800,-1.125102514
0.058390300,-1.121881661
0.058593800,-1.122660807
0.058797200,-1.119439571
0.059000700,-1.116218718
0.059204100,-1.116997482
0.059407600,-1.113776628
0.059611000,-1.114555392
0.059814500,-1.111334539
0.060017900,-1.112113303
0.060221400,-1.108892449
0.060424800,-1.109671213
0.060628300,-1.106450360
0.060831700,-1.107229124
0.061035200,-1.108008270
0.061238600,-1.104787034
0.061442100,-1.105566181
0.061645500,-1.106344945
0.061849000,-1.103124091
0.062052400,-1.103902855
0.062255900,-1.104682002
0.062459300,-1.101460766
0.062662800,-1.102239912
0.062866200,-1.103018676
0.063069700,-1.103797823
0.063273100,-1.100576587
0.063476600,-1.101355734
0.063680000,-1.102134497
0.063883500,-1.102913644
0.064086900,-1.099692408
0.064290400,-1.100471555
0.064493800,-1.101250318
0.064697300,-1.102029465
0.064900700,-1.102808229
0.065104200,-1.099587376
0.065307600,-1.100366139
0.065511100,-1.101145286
0.065714500,-1.101924050
0.065918000,-1.098703197
0.066121400,-1.099481961
0.066324900,-1.100261107
0.066528300,-1.101039871
0.066731800,-1.097819018
0.066935200,-1.098597782
0.067138700,-1.099376928
0.067342100,-1.096155692
0.067545600,-1.096934839
0.067749000,-1.097713603
0.067952500,-1.098492749
0.068155900,-1.095271513
0.068359400,-1.096050660
0.068562800,-1.092829424
0.068766300,-1.093608570
0.068969700,-1.094387334
0.069173200,-1.091166481
0.069376600,-1.091945245
0.069580100,-1.092724391
0.069783500,-1.089503155
0.069987000,-1.090282302
0.070190400,-1.087061066
0.070393900,-1.087840212
0.070597300,-1.084618976
0.070800800,-1.085398123
0.071004200,-1.086176887
0.071207700,-1.082956034
0.071411100,-1.083734797
0.071614600,-1.080513944
