Parámetro,Valor
Ra (Promedio Aritmético),3.737 µm
Rq (RMS),4.583 µm
Rp (Pico Máximo),9.312 µm
Rv (Valle Máximo),-9.572 µm
Rt (Altura Total del Perfil),18.884 µm
Rz (ISO 4287:1997),11.854 µm
Rsk (Asimetría),0.223
Rku (Curtosis),2.297
RSm (Anchura Media de Elementos),307.592 µm
Rdq (Pendiente RMS),44.184 µm/mm
Rda (Pendiente Media Absoluta),32.603 µm/mm
Pc (Conteo de Picos),55.00 1/mm
Rpk (Altura de picos que se desgastan),1.864 µm
Rk (Profundidad del núcleo funcional),8.810 µm
Rvk (Profundidad de valles para lubricante),0.865 µm
Mr1 (%),21.35
Mr2 (%),87.33
