x (mm),altura (µm)
0.000000000,16.961471942
0.000203500,16.960553541
0.000406900,16.959635592
0.000610400,16.958717192
0.000813800,16.957799242
0.001017300,16.956880842
0.001220700,16.955962893
0.001424200,16.955044492
0.001627600,16.954126543
0.001831100,16.953208142
0.002034500,16.952290193
0.002238000,16.951371792
0.002441400,16.950453843
0.002644900,16.949535443
0.002848300,16.948617493
0.003051800,16.951699093
0.003255200,16.950781144
0.003458700,16.949862743
0.003662100,16.948944794
0.003865600,16.948026393
0.004069000,16.947108444
0.004272500,16.946190043
0.004475900,16.945272094
0.004679400,16.944353694
0.004882800,16.943435744
0.005086300,16.942517344
0.005289700,16.941599395
0.005493200,16.940680994
0.005696600,16.939763045
0.005900100,16.938844644
0.006103500,16.937926695
0.006307000,16.937008294
0.006510400,16.936090345
0.006713900,16.939171945
0.006917300,16.938253995
0.007120800,16.937335595
0.007324200,16.936417646
0.007527700,16.935499245
0.007731100,16.934581296
0.007934600,16.933662895
0.008138000,16.936744946
0.008341500,16.935826545
0.008544900,16.934908596
0.008748400,16.933990196
0.008951800,16.933072246
0.009155300,16.936153846
0.009358700,16.935235897
0.009562200,16.934317496
0.009765600,16.933399547
0.009969100,16.932481146
0.010172500,16.935563197
0.010376000,16.934644796
0.010579400,16.933726847
0.010782900,16.932808447
0.010986300,16.935890497
0.011189800,16.934972097
0.011393200,16.934054148
0.011596700,16.937135747
0.011800100,16.936217798
0.012003600,16.935299397
0.012207000,16.938381448
0.012410500,16.937463047
0.012613900,16.940545098
0.012817400,16.939626698
0.013020800,16.938708748
0.013224300,16.941790348
0.013427700,16.940872398
0.013631200,16.943953998
0.013834600,16.943036049
0.014038100,16.946117648
0.014241500,16.945199699
0.014445000,16.944281298
0.014648400,16.947363349
0.014851900,16.946444949
0.015055300,16.949526999
0.015258800,16.952608599
0.015462200,16.951690649
0.015665700,16.954772249
0.015869100,16.953854300
0.016072600,16.956935899
0.016276000,16.956017950
0.016479500,16.959099549
0.016682900,16.962181600
0.016886400,16.961263200
0.017089800,16.964345250
0.017293300,16.967426850
0.017496700,16.966508900
0.017700200,16.969590500
0.017903600,16.972672551
0.018107100,16.975754150
0.018310500,16.974836201
0.018514000,16.977917800
0.018717400,16.980999851
0.018920900,16.980081451
0.019124300,16.983163501
0.019327800,16.986245101
0.019531300,16.989326700
0.019734700,16.992408751
0.019938200,16.995490350
0.020141600,16.994572401
0.020345100,16.997654001
0.020548500,17.000736051
0.020752000,17.003817651
0.020955400,17.006899702
0.021158900,17.009981301
0.021362300,17.013063352
0.021565800,17.016144951
0.021769200,17.015227002
0.021972700,17.022308601
0.022176100,17.021390652
0.022379600,17.024472252
0.022583000,17.031554302
0.022786500,17.030635902
0.022989900,17.033717952
0.023193400,17.036799552
0.023396800,17.039881603
0.023600300,17.042963202
0.023803700,17.046045253
0.024007200,17.049126852
0.024210600,17.052208903
0.024414100,17.055290503
0.024617500,17.058372553
0.024821000,17.061454153
0.025024400,17.060536203
0.025227900,17.067617803
0.025431300,17.070699854
0.025634800,17.069781453
0.025838200,17.072863504
0.026041700,17.075945103
0.026245100,17.079027154
0.026448600,17.082108754
0.026652000,17.085190804
0.026855500,17.088272404
0.027058900,17.091354454
0.027262400,17.094436054
0.027465800,17.097518105
0.027669300,17.096599704
0.027872700,17.099681755
0.028076200,17.102763354
0.028279600,17.105845405
0.028483100,17.108927005
0.028686500,17.112009055
0.028890000,17.115090655
0.029093400,17.114172705
0.029296900,17.121254305
0.029500300,17.120336356
0.029703800,17.123417955
0.029907200,17.122500006
0.030110700,17.129581605
0.030314100,17.128663656
0.030517600,17.131745256
0.030721000,17.134827306
0.030924500,17.137908906
0.031127900,17.140990956
0.031331400,17.144072556
0.031534800,17.143154607
0.031738300,17.146236206
0.031941700,17.149318257
0.032145200,17.152399856
0.032348600,17.155481907
0.032552100,17.154563506
0.032755500,17.161645557
0.032959000,17.160727157
0.033162400,17.163809207
0.033365900,17.166890807
0.033569300,17.169972858
0.033772800,17.169054457
0.033976200,17.172136508
0.034179700,17.175218107
0.034383100,17.178300158
0.034586600,17.181381757
0.034790000,17.184463808
0.034993500,17.187545408
0.035196900,17.186627458
0.035400400,17.193709058
0.035603800,17.192791109
0.035807300,17.195872708
0.036010700,17.198954759
0.036214200,17.202036358
0.036417600,17.205118409
0.036621100,17.208200008
0.036824500,17.211282059
0.037028000,17.214363659
0.037231400,17.213445709
0.037434900,17.220527309
0.037638300,17.219609360
0.037841800,17.222690959
0.038045200,17.225773010
0.038248700,17.228854609
0.038452100,17.231936660
0.038655600,17.231018259
0.038859000,17.238100310
0.039062500,17.241181910
0.039266000,17.240263509
0.039469400,17.247345560
0.039672900,17.246427159
0.039876300,17.249509210
0.040079800,17.252590810
0.040283200,17.255672860
0.040486700,17.258754460
0.040690100,17.257836510
0.040893600,17.260918110
0.041097000,17.264000161
0.041300500,17.267081760
0.041503900,17.270163811
0.041707400,17.273245410
