x (mm),altura (µm)
0.000000000,-10.553974672
0.000203500,-10.551355089
0.000406900,-10.540734829
0.000610400,-10.538115247
0.000813800,-10.535494987
0.001017300,-10.528875405
0.001220700,-10.526255144
0.001424200,-10.523635562
0.001627600,-10.517015302
0.001831100,-10.510395720
0.002034500,-10.507775459
0.002238000,-10.505155877
0.002441400,-10.498535617
0.002644900,-10.495916035
0.002848300,-10.493295774
0.003051800,-10.486676192
0.003255200,-10.484055932
0.003458700,-10.481436350
0.003662100,-10.478816089
0.003865600,-10.472196507
0.004069000,-10.469576247
0.004272500,-10.466956665
0.004475900,-10.460336404
0.004679400,-10.457716822
0.004882800,-10.455096562
0.005086300,-10.448476980
0.005289700,-10.445856719
0.005493200,-10.443237137
0.005696600,-10.440616877
0.005900100,-10.433997295
0.006103500,-10.431377034
0.006307000,-10.432757452
0.006510400,-10.426137192
0.006713900,-10.423517610
0.006917300,-10.420897349
0.007120800,-10.414277767
0.007324200,-10.411657507
0.007527700,-10.409037925
0.007731100,-10.406417665
0.007934600,-10.403798082
0.008138000,-10.401177822
0.008341500,-10.398558240
0.008544900,-10.395937980
0.008748400,-10.393318398
0.008951800,-10.390698137
0.009155300,-10.384078555
0.009358700,-10.381458295
0.009562200,-10.382838713
0.009765600,-10.376218452
0.009969100,-10.373598870
0.010172500,-10.374978610
0.010376000,-10.372359028
0.010579400,-10.365738767
0.010782900,-10.363119185
0.010986300,-10.364498925
0.011189800,-10.357879343
0.011393200,-10.355259082
0.011596700,-10.356639500
0.011800100,-10.350019240
0.012003600,-10.351399658
0.012207000,-10.348779397
0.012410500,-10.346159815
0.012613900,-10.343539555
0.012817400,-10.340919973
0.013020800,-10.338299712
0.013224300,-10.335680130
0.013427700,-10.333059870
0.013631200,-10.330440288
0.013834600,-10.327820027
0.014038100,-10.325200445
0.014241500,-10.326580185
0.014445000,-10.323960603
0.014648400,-10.321340342
0.014851900,-10.318720760
0.015055300,-10.316100500
0.015258800,-10.313480918
0.015462200,-10.314860658
0.015665700,-10.312241075
0.015869100,-10.309620815
0.016072600,-10.307001233
0.016276000,-10.304380973
0.016479500,-10.301761391
0.016682900,-10.303141130
0.016886400,-10.300521548
0.017089800,-10.297901288
0.017293300,-10.295281706
0.017496700,-10.296661445
0.017700200,-10.294041863
0.017903600,-10.291421603
0.018107100,-10.288802021
0.018310500,-10.290181760
0.018514000,-10.287562178
0.018717400,-10.284941918
0.018920900,-10.286322336
0.019124300,-10.283702075
0.019327800,-10.281082493
0.019531300,-10.278462911
0.019734700,-10.279842651
0.019938200,-10.277223069
0.020141600,-10.274602808
0.020345100,-10.275983226
0.020548500,-10.273362966
0.020752000,-10.270743384
0.020955400,-10.272123123
0.021158900,-10.269503541
0.021362300,-10.266883281
0.021565800,-10.268263699
0.021769200,-10.269643438
0.021972700,-10.267023856
0.022176100,-10.264403596
0.022379600,-10.265784014
0.022583000,-10.263163753
0.022786500,-10.260544171
0.022989900,-10.261923911
0.023193400,-10.263304329
0.023396800,-10.260684068
0.023600300,-10.258064486
0.023803700,-10.259444226
0.024007200,-10.256824644
0.024210600,-10.258204384
0.024414100,-10.255584801
0.024617500,-10.252964541
0.024821000,-10.254344959
0.025024400,-10.255724699
0.025227900,-10.253105117
0.025431300,-10.254484856
0.025634800,-10.251865274
0.025838200,-10.253245014
0.026041700,-10.250625432
0.026245100,-10.252005171
0.026448600,-10.249385589
0.026652000,-10.250765329
0.026855500,-10.248145747
0.027058900,-10.249525486
0.027262400,-10.246905904
0.027465800,-10.248285644
0.027669300,-10.249666062
0.027872700,-10.247045801
0.028076200,-10.248426219
0.028279600,-10.245805959
0.028483100,-10.247186377
0.028686500,-10.244566116
0.028890000,-10.245946534
0.029093400,-10.247326274
0.029296900,-10.244706692
0.029500300,-10.246086431
0.029703800,-10.243466849
0.029907200,-10.244846589
0.030110700,-10.242227007
0.030314100,-10.243606746
0.030517600,-10.244987164
0.030721000,-10.242366904
0.030924500,-10.243747322
0.031127900,-10.241127061
0.031331400,-10.242507479
0.031534800,-10.239887219
0.031738300,-10.241267637
0.031941700,-10.238647377
0.032145200,-10.240027794
0.032348600,-10.237407534
0.032552100,-10.238787952
0.032755500,-10.236167692
0.032959000,-10.237548110
0.033162400,-10.238927849
0.033365900,-10.236308267
0.033569300,-10.237688007
0.033772800,-10.235068425
0.033976200,-10.236448164
0.034179700,-10.233828582
0.034383100,-10.235208322
0.034586600,-10.232588740
0.034790000,-10.229968479
0.034993500,-10.231348897
0.035196900,-10.232728637
0.035400400,-10.230109055
0.035603800,-10.227488794
0.035807300,-10.228869212
0.036010700,-10.226248952
0.036214200,-10.227629370
0.036417600,-10.225009109
0.036621100,-10.226389527
0.036824500,-10.223769267
0.037028000,-10.225149685
0.037231400,-10.222529424
0.037434900,-10.219909842
0.037638300,-10.221289582
0.037841800,-10.222670000
0.038045200,-10.220049739
0.038248700,-10.217430157
0.038452100,-10.218809897
0.038655600,-10.216190315
0.038859000,-10.217570054
0.039062500,-10.214950472
0.039266000,-10.216330890
0.039469400,-10.213710630
0.039672900,-10.211091048
0.039876300,-10.212470787
0.040079800,-10.209851205
0.040283200,-10.211230945
0.040486700,-10.208611363
0.040690100,-10.209991103
0.040893600,-10.207371520
0.041097000,-10.208751260
0.041300500,-10.206131678
0.041503900,-10.203511418
0.041707400,-10.204891835
0.041910800,-10.206271575
0.042114300,-10.203651993
0.042317700,-10.201031733
0.042521200,-10.202412151
0.042724600,-10.203791890
0.042928100,-10.201172308
0.043131500,-10.202552048
0.043335000,-10.199932466
0.043538400,-10.201312205
0.043741900,-10.198692623
0.043945300,-10.200072363
0.044148800,-10.197452781
0.044352200,-10.198832520
0.044555700,-10.200212938
0.044759100,-10.197592678
0.044962600,-10.198973096
0.045166000,-10.200352835
0.045369500,-10.197733253
0.045572900,-10.199112993
0.045776400,-10.200493411
0.045979800,-10.197873150
0.046183300,-10.199253568
0.046386700,-10.200633308
0.046590200,-10.202013726
0.046793600,-10.199393465
0.046997100,-10.200773883
0.047200500,-10.202153623
0.047404000,-10.203534041
0.047607400,-10.204913780
0.047810900,-10.202294198
0.048014300,-10.203673938
0.048217800,-10.205054356
0.048421200,-10.206434096
0.048624700,-10.207814513
0.048828100,-10.209194253
0.049031600,-10.210574671
0.049235000,-10.211954411
0.049438500,-10.213334828
0.049641900,-10.214714568
0.049845400,-10.216094986
0.050048800,-10.217474726
0.050252300,-10.218855144
0.050455700,-10.220234883
0.050659200,-10.221615301
0.050862600,-10.222995041
0.051066100,-10.224375459
0.051269500,-10.225755198
0.051473000,-10.227135616
0.051676400,-10.228515356
0.051879900,-10.229895774
0.052083300,-10.231275513
0.052286800,-10.232655931
0.052490200,-10.234035671
0.052693700,-10.239416089
0.052897100,-10.240795828
0.053100600,-10.242176246
0.053304000,-10.243555986
0.053507500,-10.244936404
0.053710900,-10.246316143
0.053914400,-10.251696561
0.054117800,-10.253076301
0.054321300,-10.254456719
0.054524700,-10.255836458
0.054728200,-10.257216876
0.054931600,-10.262596616
0.055135100,-10.263977034
0.055338500,-10.265356773
0.055542000,-10.266737191
0.055745400,-10.272116931
0.055948900,-10.273497349
