x (mm),altura (µm)
0.000000000,-2.207744736
0.000203500,-2.203789282
0.000406900,-2.191833806
0.000610400,-2.191878352
0.000813800,-2.187922875
0.001017300,-2.179967421
0.001220700,-2.180011945
0.001424200,-2.176056491
0.001627600,-2.168101014
0.001831100,-2.164145560
0.002034500,-2.160190084
0.002238000,-2.156234630
0.002441400,-2.152279153
0.002644900,-2.148323699
0.002848300,-2.144368223
0.003051800,-2.140412769
0.003255200,-2.136457292
0.003458700,-2.132501838
0.003662100,-2.132546362
0.003865600,-2.124590908
0.004069000,-2.120635431
0.004272500,-2.120679977
0.004475900,-2.112724501
0.004679400,-2.108769047
0.004882800,-2.108813570
0.005086300,-2.100858116
0.005289700,-2.096902640
0.005493200,-2.096947186
0.005696600,-2.092991709
0.005900100,-2.085036255
0.006103500,-2.085080779
0.006307000,-2.085125325
0.006510400,-2.077169848
0.006713900,-2.077214394
0.006917300,-2.073258918
0.007120800,-2.065303464
0.007324200,-2.065347987
0.007527700,-2.061392533
0.007731100,-2.057437057
0.007934600,-2.057481603
0.008138000,-2.053526126
0.008341500,-2.049570672
0.008544900,-2.049615196
0.008748400,-2.045659742
0.008951800,-2.041704265
0.009155300,-2.037748811
0.009358700,-2.033793335
0.009562200,-2.033837881
0.009765600,-2.029882404
0.009969100,-2.025926950
0.010172500,-2.025971474
0.010376000,-2.026016020
0.010579400,-2.018060543
0.010782900,-2.014105089
0.010986300,-2.018149613
0.011189800,-2.010194159
0.011393200,-2.006238682
0.011596700,-2.010283228
0.011800100,-2.002327752
0.012003600,-2.002372298
0.012207000,-2.002416821
0.012410500,-1.998461367
0.012613900,-1.994505891
0.012817400,-1.994550437
0.013020800,-1.990594960
0.013224300,-1.986639506
0.013427700,-1.986684030
0.013631200,-1.982728576
0.013834600,-1.978773099
0.014038100,-1.978817645
0.014241500,-1.978862169
0.014445000,-1.974906715
0.014648400,-1.974951238
0.014851900,-1.970995784
0.015055300,-1.967040308
0.015258800,-1.967084854
0.015462200,-1.967129377
0.015665700,-1.963173923
0.015869100,-1.963218447
0.016072600,-1.959262993
0.016276000,-1.955307516
0.016479500,-1.955352062
0.016682900,-1.955396586
0.016886400,-1.951441132
0.017089800,-1.951485655
0.017293300,-1.947530201
0.017496700,-1.947574725
0.017700200,-1.947619271
0.017903600,-1.943663794
0.018107100,-1.939708340
0.018310500,-1.943752864
