x (mm),altura (µm)
0.000000000,9.714192759
0.000203500,9.713824151
0.000406900,9.709455725
0.000610400,9.709087117
0.000813800,9.708718691
0.001017300,9.704350083
0.001220700,9.703981657
0.001424200,9.703613049
0.001627600,9.699244623
0.001831100,9.698876015
0.002034500,9.694507589
0.002238000,9.694138981
0.002441400,9.693770555
0.002644900,9.689401947
0.002848300,9.689033521
0.003051800,9.684664913
0.003255200,9.684296487
0.003458700,9.683927879
0.003662100,9.679559453
0.003865600,9.675190845
0.004069000,9.674822419
0.004272500,9.674453811
0.004475900,9.670085385
0.004679400,9.669716777
0.004882800,9.665348351
0.005086300,9.660979743
0.005289700,9.660611317
0.005493200,9.656242709
0.005696600,9.655874283
0.005900100,9.651505675
0.006103500,9.651137249
0.006307000,9.646768641
0.006510400,9.642400215
0.006713900,9.642031607
0.006917300,9.637663181
0.007120800,9.633294573
0.007324200,9.632926147
0.007527700,9.628557539
0.007731100,9.624189113
0.007934600,9.623820505
0.008138000,9.619452079
0.008341500,9.619083471
0.008544900,9.614715045
0.008748400,9.610346437
0.008951800,9.609978011
0.009155300,9.605609403
0.009358700,9.601240977
0.009562200,9.600872369
0.009765600,9.596503943
0.009969100,9.592135335
0.010172500,9.591766909
0.010376000,9.587398301
0.010579400,9.583029875
0.010782900,9.578661267
0.010986300,9.578292841
0.011189800,9.573924233
0.011393200,9.569555807
0.011596700,9.565187199
0.011800100,9.560818773
0.012003600,9.560450165
0.012207000,9.556081739
0.012410500,9.555713131
0.012613900,9.547344705
0.012817400,9.546976097
0.013020800,9.542607671
0.013224300,9.538239063
0.013427700,9.533870636
0.013631200,9.533502029
0.013834600,9.529133602
0.014038100,9.524764995
0.014241500,9.520396568
0.014445000,9.520027961
0.014648400,9.515659534
0.014851900,9.511290927
0.015055300,9.506922500
0.015258800,9.502553893
0.015462200,9.502185466
0.015665700,9.497816859
0.015869100,9.493448432
0.016072600,9.489079825
0.016276000,9.484711398
0.016479500,9.480342791
0.016682900,9.479974364
0.016886400,9.475605757
0.017089800,9.471237330
0.017293300,9.466868723
0.017496700,9.462500296
0.017700200,9.462131689
0.017903600,9.453763262
0.018107100,9.453394655
0.018310500,9.449026228
0.018514000,9.444657621
0.018717400,9.440289194
0.018920900,9.435920587
0.019124300,9.435552160
0.019327800,9.427183553
0.019531300,9.426814945
0.019734700,9.422446519
0.019938200,9.418077911
0.020141600,9.413709485
0.020345100,9.409340877
0.020548500,9.404972451
0.020752000,9.400603843
0.020955400,9.396235417
0.021158900,9.395866809
0.021362300,9.387498383
0.021565800,9.387129775
0.021769200,9.382761349
0.021972700,9.374392741
0.022176100,9.374024315
0.022379600,9.369655707
0.022583000,9.361287281
0.022786500,9.356918673
0.022989900,9.356550247
0.023193400,9.352181639
0.023396800,9.343813212
0.023600300,9.339444605
0.023803700,9.339076178
0.024007200,9.330707571
0.024210600,9.326339144
0.024414100,9.321970537
0.024617500,9.317602110
0.024821000,9.313233503
0.025024400,9.308865076
0.025227900,9.300496469
0.025431300,9.296128042
0.025634800,9.291759435
0.025838200,9.287391008
0.026041700,9.283022401
0.026245100,9.278653974
0.026448600,9.274285367
0.026652000,9.265916940
0.026855500,9.261548333
0.027058900,9.257179906
0.027262400,9.248811299
0.027465800,9.244442872
0.027669300,9.240074265
0.027872700,9.235705838
0.028076200,9.227337231
0.028279600,9.222968804
0.028483100,9.218600197
0.028686500,9.210231770
0.028890000,9.205863163
0.029093400,9.201494736
0.029296900,9.193126129
0.029500300,9.188757702
0.029703800,9.184389095
0.029907200,9.180020668
0.030110700,9.167652061
0.030314100,9.163283634
0.030517600,9.158915027
0.030721000,9.150546600
0.030924500,9.142177993
0.031127900,9.137809566
0.031331400,9.129440959
0.031534800,9.121072532
0.031738300,9.116703925
0.031941700,9.112335498
0.032145200,9.099966891
0.032348600,9.095598464
0.032552100,9.091229857
0.032755500,9.078861430
0.032959000,9.070492823
0.033162400,9.066124396
0.033365900,9.053755789
0.033569300,9.049387362
0.033772800,9.041018754
0.033976200,9.032650328
0.034179700,9.020281720
0.034383100,9.015913294
0.034586600,9.007544686
0.034790000,8.995176260
0.034993500,8.986807652
0.035196900,8.978439226
0.035400400,8.966070618
0.035603800,8.957702192
0.035807300,8.949333584
0.036010700,8.932965158
0.036214200,8.928596550
0.036417600,8.920228124
0.036621100,8.911859516
0.036824500,8.895491090
0.037028000,8.887122482
0.037231400,8.874754056
0.037434900,8.858385448
0.037638300,8.850017022
0.037841800,8.841648414
