Parámetro,Valor
Ra (Promedio Aritmético),2.375 µm
Rq (RMS),2.916 µm
Rp (Pico Máximo),6.720 µm
Rv (Valle Máximo),-8.388 µm
Rt (Altura Total del Perfil),15.108 µm
Rz (ISO 4287:1997),8.963 µm
Rsk (Asimetría),-0.186
Rku (Curtosis),2.578
RSm (Anchura Media de Elementos),290.516 µm
Rdq (Pendiente RMS),38.569 µm/mm
Rda (Pendiente Media Absoluta),27.410 µm/mm
Pc (Conteo de Picos),86.00 1/mm
Rpk (Altura de picos que se desgastan),0.631 µm
Rk (Profundidad del núcleo funcional),4.350 µm
Rvk (Profundidad de valles para lubricante),1.113 µm
Mr1 (%),19.51
Mr2 (%),75.13
