x (mm),altura (µm)
0.000000000,-7.951974127
0.000203500,-7.940604284
0.000406900,-7.917234130
0.000610400,-7.905864287
0.000813800,-7.894494133
0.001017300,-7.871124290
0.001220700,-7.859754136
0.001424200,-7.848384293
0.001627600,-7.837014139
0.001831100,-7.813644296
0.002034500,-7.802274142
0.002238000,-7.790904299
0.002441400,-7.767534145
0.002644900,-7.756164302
0.002848300,-7.744794148
0.003051800,-7.721424305
0.003255200,-7.710054151
0.003458700,-7.698684308
0.003662100,-7.687314154
0.003865600,-7.663944311
0.004069000,-7.648574157
0.004272500,-7.637204313
0.004475900,-7.613834160
0.004679400,-7.602464316
0.004882800,-7.591094163
0.005086300,-7.567724319
0.005289700,-7.552354166
0.005493200,-7.540984322
0.005696600,-7.529614169
0.005900100,-7.506244325
0.006103500,-7.494874172
0.006307000,-7.483504328
0.006510400,-7.456134175
0.006713900,-7.444764331
0.006917300,-7.433394178
0.007120800,-7.410024334
0.007324200,-7.394654181
0.007527700,-7.383284337
0.007731100,-7.359914184
0.007934600,-7.348544340
0.008138000,-7.333174187
0.008341500,-7.321804343
0.008544900,-7.298434190
0.008748400,-7.287064346
0.008951800,-7.275694193
0.009155300,-7.248324349
0.009358700,-7.236954196
0.009562200,-7.225584352
0.009765600,-7.202214199
0.009969100,-7.186844355
0.010172500,-7.175474202
0.010376000,-7.164104358
0.010579400,-7.140734205
0.010782900,-7.129364361
0.010986300,-7.117994208
0.011189800,-7.094624364
0.011393200,-7.079254211
0.011596700,-7.067884367
0.011800100,-7.044514214
0.012003600,-7.033144370
0.012207000,-7.021774217
0.012410500,-7.010404373
0.012613900,-6.987034220
0.012817400,-6.975664376
0.013020800,-6.964294223
0.013224300,-6.940924379
0.013427700,-6.929554226
0.013631200,-6.918184382
0.013834600,-6.898814229
0.014038100,-6.887444385
0.014241500,-6.876074232
0.014445000,-6.864704388
0.014648400,-6.841334235
0.014851900,-6.833964391
0.015055300,-6.822594238
0.015258800,-6.799224394
0.015462200,-6.787854241
0.015665700,-6.780484397
0.015869100,-6.757114244
0.016072600,-6.749744400
0.016276000,-6.738374247
0.016479500,-6.719004403
0.016682900,-6.707634250
0.016886400,-6.696264406
0.017089800,-6.688894253
0.017293300,-6.669524409
0.017496700,-6.658154255
0.017700200,-6.650784412
0.017903600,-6.631414258
0.018107100,-6.620044415
0.018310500,-6.612674261
0.018514000,-6.593304418
0.018717400,-6.581934264
0.018920900,-6.574564421
0.019124300,-6.563194267
0.019327800,-6.547824424
0.019531300,-6.536454580
0.019734700,-6.529084427
0.019938200,-6.509714583
0.020141600,-6.502344430
0.020345100,-6.494974586
0.020548500,-6.475604433
0.020752000,-6.468234589
0.020955400,-6.460864436
0.021158900,-6.453494592
0.021362300,-6.434124439
0.021565800,-6.426754595
0.021769200,-6.419384442
0.021972700,-6.400014598
0.022176100,-6.392644445
0.022379600,-6.385274601
0.022583000,-6.369904448
0.022786500,-6.362534604
0.022989900,-6.355164451
0.023193400,-6.347794607
0.023396800,-6.328424454
0.023600300,-6.321054610
0.023803700,-6.313684457
0.024007200,-6.298314613
0.024210600,-6.290944459
0.024414100,-6.283574616
0.024617500,-6.268204462
0.024821000,-6.260834619
0.025024400,-6.253464465
