x (mm),altura (µm)
0.000000000,-5.686850979
0.000203500,-5.674803383
0.000406900,-5.654755811
0.000610400,-5.642708216
0.000813800,-5.634660644
0.001017300,-5.610613049
0.001220700,-5.602565477
0.001424200,-5.590517881
0.001627600,-5.582470309
0.001831100,-5.558422714
0.002034500,-5.546375142
0.002238000,-5.538327547
0.002441400,-5.514279975
0.002644900,-5.506232380
0.002848300,-5.494184808
0.003051800,-5.474137212
0.003255200,-5.462089640
0.003458700,-5.454042045
0.003662100,-5.441994473
0.003865600,-5.421946878
0.004069000,-5.405899306
0.004272500,-5.397851710
0.004475900,-5.373804138
0.004679400,-5.365756543
0.004882800,-5.353708971
0.005086300,-5.333661376
0.005289700,-5.317613804
0.005493200,-5.305566209
0.005696600,-5.297518637
0.005900100,-5.273471041
0.006103500,-5.265423469
0.006307000,-5.253375874
0.006510400,-5.229328302
0.006713900,-5.217280707
0.006917300,-5.209233135
0.007120800,-5.185185539
0.007324200,-5.173137967
0.007527700,-5.161090372
0.007731100,-5.141042800
0.007934600,-5.128995205
0.008138000,-5.116947633
0.008341500,-5.104900038
0.008544900,-5.080852466
0.008748400,-5.072804870
0.008951800,-5.060757298
0.009155300,-5.036709703
0.009358700,-5.024662131
0.009562200,-5.016614536
0.009765600,-4.992566964
0.009969100,-4.980519368
0.010172500,-4.968471796
0.010376000,-4.960424201
0.010579400,-4.936376629
0.010782900,-4.928329034
0.010986300,-4.916281462
0.011189800,-4.896233867
0.011393200,-4.880186295
0.011596700,-4.872138699
0.011800100,-4.848091127
0.012003600,-4.836043532
0.012207000,-4.827995960
0.012410500,-4.815948365
0.012613900,-4.795900793
0.012817400,-4.783853197
0.013020800,-4.775805625
0.013224300,-4.751758030
0.013427700,-4.743710458
0.013631200,-4.731662863
0.013834600,-4.715615291
0.014038100,-4.703567696
0.014241500,-4.695520124
0.014445000,-4.683472528
0.014648400,-4.663424956
0.014851900,-4.655377361
0.015055300,-4.643329789
0.015258800,-4.623282194
0.015462200,-4.611234622
0.015665700,-4.607187026
0.015869100,-4.583139454
0.016072600,-4.579091859
0.016276000,-4.567044287
0.016479500,-4.550996692
0.016682900,-4.538949120
0.016886400,-4.530901525
0.017089800,-4.522853953
0.017293300,-4.506806357
0.017496700,-4.494758785
0.017700200,-4.490711190
0.017903600,-4.470663618
0.018107100,-4.462616023
0.018310500,-4.454568451
0.018514000,-4.434520855
0.018717400,-4.426473283
0.018920900,-4.418425688
0.019124300,-4.410378116
0.019327800,-4.394330521
0.019531300,-4.386282925
0.019734700,-4.378235354
0.019938200,-4.362187758
0.020141600,-4.354140186
0.020345100,-4.350092591
0.020548500,-4.330045019
0.020752000,-4.325997424
0.020955400,-4.317949852
0.021158900,-4.313902256
0.021362300,-4.293854684
0.021565800,-4.289807089
0.021769200,-4.281759517
0.021972700,-4.261711922
0.022176100,-4.257664350
0.022379600,-4.249616754
0.022583000,-4.237569183
0.022786500,-4.229521587
0.022989900,-4.225474015
0.023193400,-4.217426420
0.023396800,-4.201378848
0.023600300,-4.193331253
0.023803700,-4.189283681
0.024007200,-4.173236085
0.024210600,-4.169188513
0.024414100,-4.161140918
0.024617500,-4.149093346
0.024821000,-4.141045751
0.025024400,-4.136998179
0.025227900,-4.120950583
0.025431300,-4.112903011
0.025634800,-4.112855416
0.025838200,-4.104807844
0.026041700,-4.092760249
0.026245100,-4.084712677
0.026448600,-4.080665082
0.026652000,-4.064617510
0.026855500,-4.060569914
0.027058900,-4.052522342
0.027262400,-4.044474747
0.027465800,-4.036427175
0.027669300,-4.032379580
0.027872700,-4.024332008
0.028076200,-4.012284412
0.028279600,-4.004236840
0.028483100,-4.004189245
0.028686500,-3.988141673
0.028890000,-3.980094078
0.029093400,-3.976046506
0.029296900,-3.963998911
0.029500300,-3.959951339
0.029703800,-3.951903743
0.029907200,-3.947856171
0.030110700,-3.935808576
0.030314100,-3.931761004
0.030517600,-3.923713409
0.030721000,-3.915665837
0.030924500,-3.907618241
0.031127900,-3.903570669
0.031331400,-3.891523074
0.031534800,-3.887475502
0.031738300,-3.879427907
0.031941700,-3.875380335
0.032145200,-3.863332740
0.032348600,-3.855285168
0.032552100,-3.851237572
0.032755500,-3.839190000
0.032959000,-3.835142405
0.033162400,-3.831094833
0.033365900,-3.819047238
0.033569300,-3.810999666
0.033772800,-3.810952070
0.033976200,-3.802904498
0.034179700,-3.794856903
0.034383100,-3.786809331
0.034586600,-3.782761736
0.034790000,-3.770714164
0.034993500,-3.766666569
0.035196900,-3.758618997
0.035400400,-3.750571401
0.035603800,-3.742523829
0.035807300,-3.738476234
0.036010700,-3.726428662
0.036214200,-3.722381067
0.036417600,-3.718333495
0.036621100,-3.710285899
0.036824500,-3.702238327
0.037028000,-3.694190732
0.037231400,-3.694143160
0.037434900,-3.678095565
0.037638300,-3.678047993
0.037841800,-3.670000398
0.038045200,-3.661952826
0.038248700,-3.653905230
0.038452100,-3.649857658
0.038655600,-3.641810063
0.038859000,-3.633762491
0.039062500,-3.625714896
0.039266000,-3.625667300
0.039469400,-3.609619728
0.039672900,-3.605572133
0.039876300,-3.601524561
0.040079800,-3.589476966
0.040283200,-3.585429394
0.040486700,-3.577381799
0.040690100,-3.573334227
0.040893600,-3.561286631
0.041097000,-3.557239059
0.041300500,-3.553191464
0.041503900,-3.541143892
0.041707400,-3.537096297
0.041910800,-3.533048725
0.042114300,-3.521001129
0.042317700,-3.516953557
0.042521200,-3.508905962
0.042724600,-3.504858390
0.042928100,-3.492810795
0.043131500,-3.484763223
0.043335000,-3.484715628
0.043538400,-3.468668056
0.043741900,-3.468620460
0.043945300,-3.460572888
0.044148800,-3.452525293
0.044352200,-3.444477721
0.044555700,-3.440430126
0.044759100,-3.428382554
0.044962600,-3.428334958
0.045166000,-3.420287386
0.045369500,-3.416239791
0.045572900,-3.404192219
0.045776400,-3.400144624
