x (mm),altura (µm)
0.000000000,-34.287810866
0.000203500,-34.279724469
0.000406900,-34.259638114
0.000610400,-34.251551717
0.000813800,-34.243465362
0.001017300,-34.227378965
0.001220700,-34.219292611
0.001424200,-34.211206213
0.001627600,-34.203119859
0.001831100,-34.187033461
0.002034500,-34.178947107
0.002238000,-34.170860709
0.002441400,-34.150774355
0.002644900,-34.142687957
0.002848300,-34.134601603
0.003051800,-34.118515205
0.003255200,-34.110428851
0.003458700,-34.102342453
0.003662100,-34.094256099
0.003865600,-34.078169701
0.004069000,-34.070083347
0.004272500,-34.061996949
0.004475900,-34.045910595
0.004679400,-34.037824197
0.004882800,-34.029737843
0.005086300,-34.013651445
0.005289700,-34.005565091
0.005493200,-33.997478693
0.005696600,-33.989392339
0.005900100,-33.973305942
0.006103500,-33.965219587
0.006307000,-33.957133190
0.006510400,-33.941046835
0.006713900,-33.932960438
0.006917300,-33.924874083
0.007120800,-33.908787686
0.007324200,-33.900701331
0.007527700,-33.892614934
0.007731100,-33.876528579
0.007934600,-33.868442182
0.008138000,-33.860355827
0.008341500,-33.852269430
0.008544900,-33.836183075
0.008748400,-33.828096678
0.008951800,-33.820010323
0.009155300,-33.803923926
0.009358700,-33.795837571
0.009562200,-33.787751174
0.009765600,-33.771664819
0.009969100,-33.763578422
0.010172500,-33.755492067
0.010376000,-33.747405670
0.010579400,-33.735319315
0.010782900,-33.727232918
0.010986300,-33.719146563
0.011189800,-33.703060166
0.011393200,-33.694973811
0.011596700,-33.686887414
0.011800100,-33.670801059
0.012003600,-33.662714662
0.012207000,-33.654628307
0.012410500,-33.646541910
0.012613900,-33.634455555
0.012817400,-33.626369158
0.013020800,-33.618282803
0.013224300,-33.602196406
0.013427700,-33.594110051
0.013631200,-33.586023654
0.013834600,-33.573937299
0.014038100,-33.565850902
0.014241500,-33.557764547
0.014445000,-33.549678150
0.014648400,-33.533591795
0.014851900,-33.529505398
0.015055300,-33.521419043
0.015258800,-33.505332646
0.015462200,-33.497246291
0.015665700,-33.489159894
0.015869100,-33.477073539
0.016072600,-33.468987142
0.016276000,-33.460900787
0.016479500,-33.444814390
0.016682900,-33.440728035
0.016886400,-33.432641638
0.017089800,-33.424555283
0.017293300,-33.408468886
0.017496700,-33.400382531
0.017700200,-33.396296134
0.017903600,-33.380209779
0.018107100,-33.372123382
0.018310500,-33.368037027
0.018514000,-33.351950630
0.018717400,-33.343864275
0.018920900,-33.335777878
0.019124300,-33.331691523
0.019327800,-33.315605126
0.019531300,-33.307518729
0.019734700,-33.299432374
0.019938200,-33.287345977
0.020141600,-33.279259622
0.020345100,-33.271173225
0.020548500,-33.259086870
0.020752000,-33.251000473
0.020955400,-33.242914118
0.021158900,-33.234827721
0.021362300,-33.222741366
0.021565800,-33.214654969
0.021769200,-33.206568614
0.021972700,-33.194482217
0.022176100,-33.186395862
0.022379600,-33.178309465
0.022583000,-33.166223110
0.022786500,-33.158136713
0.022989900,-33.150050358
0.023193400,-33.141963961
0.023396800,-33.129877606
0.023600300,-33.121791209
0.023803700,-33.113704854
0.024007200,-33.101618457
0.024210600,-33.093532102
0.024414100,-33.085445705
0.024617500,-33.073359350
0.024821000,-33.065272953
0.025024400,-33.057186598
0.025227900,-33.041100201
0.025431300,-33.037013846
0.025634800,-33.028927449
0.025838200,-33.020841095
0.026041700,-33.004754697
0.026245100,-33.000668343
0.026448600,-32.992581945
0.026652000,-32.976495591
0.026855500,-32.972409193
0.027058900,-32.964322839
0.027262400,-32.948236441
0.027465800,-32.940150087
0.027669300,-32.936063689
0.027872700,-32.927977335
0.028076200,-32.911890937
0.028279600,-32.903804583
0.028483100,-32.899718185
0.028686500,-32.883631831
0.028890000,-32.875545433
0.029093400,-32.871459079
0.029296900,-32.855372681
0.029500300,-32.847286327
0.029703800,-32.843199929
0.029907200,-32.835113575
0.030110700,-32.819027178
0.030314100,-32.814940823
0.030517600,-32.806854426
0.030721000,-32.790768071
0.030924500,-32.786681674
0.031127900,-32.778595319
0.031331400,-32.762508922
0.031534800,-32.758422567
0.031738300,-32.750336170
0.031941700,-32.742249815
0.032145200,-32.730163418
0.032348600,-32.722077063
0.032552100,-32.713990666
0.032755500,-32.701904311
0.032959000,-32.693817914
0.033162400,-32.685731559
0.033365900,-32.673645162
0.033569300,-32.665558807
0.033772800,-32.657472410
0.033976200,-32.649386055
0.034179700,-32.637299658
0.034383100,-32.629213303
0.034586600,-32.621126906
0.034790000,-32.609040551
0.034993500,-32.600954154
0.035196900,-32.596867799
0.035400400,-32.580781402
0.035603800,-32.572695047
0.035807300,-32.568608650
0.036010700,-32.552522295
0.036214200,-32.544435898
0.036417600,-32.540349543
0.036621100,-32.532263146
0.036824500,-32.516176791
0.037028000,-32.512090394
0.037231400,-32.504004039
0.037434900,-32.487917642
0.037638300,-32.483831287
0.037841800,-32.475744890
0.038045200,-32.459658535
0.038248700,-32.455572138
0.038452100,-32.447485783
0.038655600,-32.439399386
0.038859000,-32.427313031
0.039062500,-32.419226634
0.039266000,-32.411140237
0.039469400,-32.399053882
0.039672900,-32.390967485
0.039876300,-32.382881130
0.040079800,-32.370794733
0.040283200,-32.362708378
0.040486700,-32.354621981
0.040690100,-32.346535626
0.040893600,-32.334449229
0.041097000,-32.326362874
0.041300500,-32.318276477
0.041503900,-32.306190122
0.041707400,-32.298103725
0.041910800,-32.290017370
0.042114300,-32.277930973
0.042317700,-32.269844618
0.042521200,-32.261758221
0.042724600,-32.253671866
0.042928100,-32.241585469
0.043131500,-32.233499114
0.043335000,-32.225412717
0.043538400,-32.213326362
0.043741900,-32.205239965
0.043945300,-32.197153610
0.044148800,-32.185067213
0.044352200,-32.176980858
0.044555700,-32.168894461
0.044759100,-32.156808106
0.044962600,-32.148721709
0.045166000,-32.140635354
0.045369500,-32.136548957
0.045572900,-32.120462602
0.045776400,-32.116376205
0.045979800,-32.108289850
0.046183300,-32.092203453
0.046386700,-32.088117098
0.046590200,-32.080030701
0.046793600,-32.063944346
0.046997100,-32.059857949
0.047200500,-32.051771594
0.047404000,-32.043685197
0.047607400,-32.031598842
0.047810900,-32.023512445
0.048014300,-32.019426090
0.048217800,-32.003339693
0.048421200,-31.999253338
0.048624700,-31.991166941
0.048828100,-31.975080586
0.049031600,-31.970994189
0.049235000,-31.962907834
