x (mm),altura (µm)
0.000000000,-9.165237832
0.000203500,-9.161160684
0.000406900,-9.145083574
0.000610400,-9.141006426
0.000813800,-9.136929316
0.001017300,-9.124852168
0.001220700,-9.120775058
0.001424200,-9.116697910
0.001627600,-9.112620800
0.001831100,-9.100543652
0.002034500,-9.096466542
0.002238000,-9.092389395
0.002441400,-9.076312285
0.002644900,-9.072235137
0.002848300,-9.068158027
0.003051800,-9.056080879
0.003255200,-9.052003769
0.003458700,-9.047926621
0.003662100,-9.043849511
0.003865600,-9.031772363
0.004069000,-9.027695253
0.004272500,-9.023618105
0.004475900,-9.011540995
0.004679400,-9.007463847
0.004882800,-9.003386737
0.005086300,-8.991309589
0.005289700,-8.987232479
0.005493200,-8.983155331
0.005696600,-8.979078221
0.005900100,-8.967001073
0.006103500,-8.962923963
0.006307000,-8.962846815
0.006510400,-8.950769705
0.006713900,-8.946692557
0.006917300,-8.942615447
0.007120800,-8.930538299
0.007324200,-8.926461189
0.007527700,-8.922384041
0.007731100,-8.910306931
0.007934600,-8.906229783
0.008138000,-8.902152673
0.008341500,-8.898075525
0.008544900,-8.885998415
0.008748400,-8.881921267
0.008951800,-8.877844157
0.009155300,-8.865767009
0.009358700,-8.861689899
0.009562200,-8.857612751
0.009765600,-8.845535641
0.009969100,-8.841458493
0.010172500,-8.837381383
0.010376000,-8.833304235
0.010579400,-8.825227125
0.010782900,-8.821149978
0.010986300,-8.817072868
0.011189800,-8.804995720
0.011393200,-8.800918610
0.011596700,-8.796841462
0.011800100,-8.784764352
0.012003600,-8.780687204
0.012207000,-8.776610094
0.012410500,-8.772532946
0.012613900,-8.768455836
0.012817400,-8.764378688
0.013020800,-8.760301578
0.013224300,-8.748224430
0.013427700,-8.744147320
0.013631200,-8.740070172
0.013834600,-8.731993062
0.014038100,-8.727915914
0.014241500,-8.723838804
0.014445000,-8.719761656
0.014648400,-8.707684546
0.014851900,-8.707607398
0.015055300,-8.703530288
0.015258800,-8.691453140
0.015462200,-8.687376030
0.015665700,-8.683298882
0.015869100,-8.675221772
0.016072600,-8.671144624
0.016276000,-8.667067514
0.016479500,-8.654990366
0.016682900,-8.654913256
0.016886400,-8.650836108
0.017089800,-8.646758998
0.017293300,-8.634681850
0.017496700,-8.630604740
0.017700200,-8.630527592
0.017903600,-8.622450482
0.018107100,-8.618373334
0.018310500,-8.618296224
0.018514000,-8.606219076
0.018717400,-8.602141966
0.018920900,-8.598064819
0.019124300,-8.597987708
0.019327800,-8.585910561
0.019531300,-8.581833413
0.019734700,-8.577756303
0.019938200,-8.569679155
0.020141600,-8.565602045
0.020345100,-8.561524897
0.020548500,-8.553447787
0.020752000,-8.549370639
0.020955400,-8.545293529
0.021158900,-8.541216381
0.021362300,-8.533139271
0.021565800,-8.529062123
0.021769200,-8.524985013
0.021972700,-8.516907865
0.022176100,-8.516830755
0.022379600,-8.512753607
0.022583000,-8.504676497
0.022786500,-8.500599349
0.022989900,-8.496522239
0.023193400,-8.492445091
0.023396800,-8.484367981
0.023600300,-8.480290833
0.023803700,-8.476213723
0.024007200,-8.468136575
0.024210600,-8.464059465
0.024414100,-8.459982317
0.024617500,-8.451905207
0.024821000,-8.447828059
0.025024400,-8.443750949
0.025227900,-8.431673801
0.025431300,-8.431596691
0.025634800,-8.427519543
0.025838200,-8.423442433
0.026041700,-8.415365285
0.026245100,-8.415288175
0.026448600,-8.411211027
0.026652000,-8.399133917
0.026855500,-8.399056769
0.027058900,-8.394979659
0.027262400,-8.382902512
0.027465800,-8.378825402
0.027669300,-8.378748254
0.027872700,-8.374671144
0.028076200,-8.362593996
0.028279600,-8.358516886
0.028483100,-8.358439738
0.028686500,-8.346362628
0.028890000,-8.342285480
0.029093400,-8.342208370
0.029296900,-8.330131222
0.029500300,-8.326054112
0.029703800,-8.329976964
0.029907200,-8.325899854
0.030110700,-8.313822706
0.030314100,-8.313745596
0.030517600,-8.309668448
0.030721000,-8.297591338
0.030924500,-8.297514190
0.031127900,-8.293437080
0.031331400,-8.281359932
0.031534800,-8.281282822
0.031738300,-8.277205674
0.031941700,-8.273128564
0.032145200,-8.265051416
0.032348600,-8.260974306
0.032552100,-8.256897158
0.032755500,-8.248820048
0.032959000,-8.248742900
0.033162400,-8.244665790
0.033365900,-8.236588642
0.033569300,-8.232511532
0.033772800,-8.228434384
0.033976200,-8.224357274
0.034179700,-8.216280126
0.034383100,-8.212203016
0.034586600,-8.208125868
0.034790000,-8.200048758
0.034993500,-8.195971610
0.035196900,-8.195894500
0.035400400,-8.183817352
0.035603800,-8.179740242
0.035807300,-8.179663095
0.036010700,-8.171585985
0.036214200,-8.167508837
0.036417600,-8.167431727
0.036621100,-8.163354579
0.036824500,-8.151277469
0.037028000,-8.151200321
0.037231400,-8.147123211
0.037434900,-8.135046063
0.037638300,-8.134968953
0.037841800,-8.130891805
0.038045200,-8.118814695
0.038248700,-8.118737547
0.038452100,-8.114660437
0.038655600,-8.110583289
0.038859000,-8.106506179
0.039062500,-8.102429031
0.039266000,-8.098351883
0.039469400,-8.090274773
0.039672900,-8.086197625
0.039876300,-8.082120515
0.040079800,-8.074043367
0.040283200,-8.069966257
0.040486700,-8.065889109
0.040690100,-8.061811999
0.040893600,-8.053734851
0.041097000,-8.049657741
0.041300500,-8.045580593
0.041503900,-8.037503483
0.041707400,-8.037426335
0.041910800,-8.033349225
