x (mm),altura (µm)
0.000000000,6.093829944
0.000203500,6.101952142
0.000406900,6.118074279
0.000610400,6.126196477
0.000813800,6.134318614
0.001017300,6.150440811
0.001220700,6.158562949
0.001424200,6.166685146
0.001627600,6.174807284
0.001831100,6.190929481
0.002034500,6.199051619
0.002238000,6.207173816
0.002441400,6.223295953
0.002644900,6.231418151
0.002848300,6.239540288
0.003051800,6.251662486
0.003255200,6.259784623
0.003458700,6.267906821
0.003662100,6.276028958
0.003865600,6.292151156
0.004069000,6.300273293
0.004272500,6.308395490
0.004475900,6.320517628
0.004679400,6.328639825
0.004882800,6.336761963
0.005086300,6.352884160
0.005289700,6.361006298
0.005493200,6.365128495
0.005696600,6.373250632
0.005900100,6.389372830
0.006103500,6.393494967
0.006307000,6.401617165
0.006510400,6.417739302
0.006713900,6.421861500
0.006917300,6.429983637
0.007120800,6.442105835
0.007324200,6.450227972
0.007527700,6.458350169
0.007731100,6.470472307
0.007934600,6.474594504
0.008138000,6.482716642
0.008341500,6.490838839
0.008544900,6.502960977
0.008748400,6.507083174
0.008951800,6.515205311
0.009155300,6.527327509
0.009358700,6.531449646
0.009562200,6.535571844
0.009765600,6.547693981
0.009969100,6.555816179
0.010172500,6.559938316
0.010376000,6.564060513
0.010579400,6.576182651
0.010782900,6.580304848
0.010986300,6.584426986
0.011189800,6.596549183
0.011393200,6.600671321
0.011596700,6.604793518
0.011800100,6.612915655
0.012003600,6.617037853
0.012207000,6.625159990
0.012410500,6.629282188
0.012613900,6.637404325
0.012817400,6.641526523
0.013020800,6.645648660
0.013224300,6.653770858
0.013427700,6.653892995
0.013631200,6.658015192
0.013834600,6.666137330
0.014038100,6.670259527
0.014241500,6.674381665
0.014445000,6.678503862
0.014648400,6.682626000
0.014851900,6.686748197
0.015055300,6.690870334
0.015258800,6.694992532
0.015462200,6.699114669
0.015665700,6.703236867
0.015869100,6.707359004
0.016072600,6.711481202
0.016276000,6.715603339
0.016479500,6.719725536
0.016682900,6.723847674
0.016886400,6.723969871
0.017089800,6.728092009
0.017293300,6.732214206
0.017496700,6.736336344
0.017700200,6.740458541
0.017903600,6.744580679
0.018107100,6.744702876
0.018310500,6.748825013
0.018514000,6.752947211
0.018717400,6.757069348
0.018920900,6.757191546
0.019124300,6.761313683
0.019327800,6.765435881
0.019531300,6.769558078
0.019734700,6.769680215
0.019938200,6.773802413
0.020141600,6.777924550
0.020345100,6.782046748
0.020548500,6.786168885
0.020752000,6.790291083
0.020955400,6.790413220
0.021158900,6.794535417
0.021362300,6.798657555
0.021565800,6.802779752
0.021769200,6.802901890
0.021972700,6.811024087
0.022176100,6.811146225
0.022379600,6.815268422
0.022583000,6.819390560
0.022786500,6.823512757
0.022989900,6.823634894
0.023193400,6.827757092
0.023396800,6.831879229
0.023600300,6.836001427
0.023803700,6.840123564
0.024007200,6.844245762
0.024210600,6.848367899
0.024414100,6.848490096
0.024617500,6.856612234
0.024821000,6.860734431
0.025024400,6.860856569
0.025227900,6.868978766
0.025431300,6.869100904
0.025634800,6.873223101
0.025838200,6.877345238
0.026041700,6.881467436
0.026245100,6.885589573
0.026448600,6.885711771
0.026652000,6.893833908
0.026855500,6.893956106
0.027058900,6.898078243
0.027262400,6.902200441
0.027465800,6.906322578
0.027669300,6.906444775
0.027872700,6.910566913
0.028076200,6.914689110
0.028279600,6.918811248
0.028483100,6.918933445
0.028686500,6.923055583
0.028890000,6.927177780
0.029093400,6.927299917
0.029296900,6.931422115
0.029500300,6.935544252
0.029703800,6.935666450
0.029907200,6.939788587
0.030110700,6.939910785
0.030314100,6.944032922
0.030517600,6.944155119
0.030721000,6.948277257
0.030924500,6.948399454
0.031127900,6.948521592
0.031331400,6.952643789
0.031534800,6.952765927
0.031738300,6.952888124
0.031941700,6.953010261
0.032145200,6.953132459
0.032348600,6.953254596
0.032552100,6.953376794
0.032755500,6.953498931
0.032959000,6.953621129
0.033162400,6.953743266
0.033365900,6.953865464
0.033569300,6.953987601
0.033772800,6.954109798
0.033976200,6.950231936
0.034179700,6.950354133
0.034383100,6.950476271
0.034586600,6.946598468
0.034790000,6.946720606
0.034993500,6.942842803
0.035196900,6.942964940
0.035400400,6.939087138
0.035603800,6.935209275
0.035807300,6.935331473
0.036010700,6.931453610
0.036214200,6.927575808
0.036417600,6.923697945
0.036621100,6.923820143
0.036824500,6.915942280
0.037028000,6.912064477
0.037231400,6.912186615
0.037434900,6.904308812
0.037638300,6.900430950
0.037841800,6.900553147
0.038045200,6.892675285
0.038248700,6.888797482
0.038452100,6.884919619
0.038655600,6.881041817
0.038859000,6.877163954
0.039062500,6.873286152
0.039266000,6.869408349
0.039469400,6.861530487
0.039672900,6.857652684
0.039876300,6.853774821
0.040079800,6.845897019
0.040283200,6.842019156
0.040486700,6.838141354
0.040690100,6.834263491
0.040893600,6.830385689
0.041097000,6.826507826
0.041300500,6.822630024
0.041503900,6.814752161
0.041707400,6.810874358
0.041910800,6.806996496
0.042114300,6.803118693
0.042317700,6.799240831
0.042521200,6.795363028
0.042724600,6.791485166
0.042928100,6.787607363
0.043131500,6.783729500
0.043335000,6.779851698
0.043538400,6.775973835
0.043741900,6.772096033
0.043945300,6.772218170
0.044148800,6.764340368
0.044352200,6.764462505
0.044555700,6.760584702
0.044759100,6.756706840
0.044962600,6.756829037
0.045166000,6.752951175
0.045369500,6.753073372
0.045572900,6.749195510
0.045776400,6.749317707
0.045979800,6.745439844
0.046183300,6.745562042
0.046386700,6.745684179
0.046590200,6.741806377
0.046793600,6.741928514
0.046997100,6.742050712
0.047200500,6.738172849
0.047404000,6.738295047
0.047607400,6.738417184
0.047810900,6.738539381
0.048014300,6.738661519
0.048217800,6.738783716
0.048421200,6.738905854
0.048624700,6.739028051
0.048828100,6.735150189
0.049031600,6.735272386
0.049235000,6.735394523
0.049438500,6.735516721
0.049641900,6.739638858
0.049845400,6.739761056
0.050048800,6.739883193
0.050252300,6.740005391
0.050455700,6.740127528
0.050659200,6.740249726
0.050862600,6.740371863
0.051066100,6.740494060
0.051269500,6.740616198
0.051473000,6.740738395
0.051676400,6.740860533
0.051879900,6.740982730
0.052083300,6.741104868
0.052286800,6.741227065
0.052490200,6.741349202
0.052693700,6.741471400
0.052897100,6.741593537
0.053100600,6.741715735
0.053304000,6.741837872
0.053507500,6.741960070
0.053710900,6.738082207
0.053914400,6.738204404
0.054117800,6.738326542
0.054321300,6.738448739
0.054524700,6.738570877
0.054728200,6.738693074
0.054931600,6.734815212
0.055135100,6.734937409
0.055338500,6.735059546
0.055542000,6.735181744
0.055745400,6.731303881
0.055948900,6.731426079
0.056152300,6.731548216
0.056355800,6.727670414
0.056559200,6.727792551
0.056762700,6.727914749
0.056966100,6.724036886
0.057169600,6.724159083
0.057373000,6.724281221
0.057576500,6.720403418
0.057779900,6.720525556
0.057983400,6.716647753
0.058186800,6.716769891
0.058390300,6.712892088
0.058593800,6.713014285
0.058797200,6.713136423
0.059000700,6.709258620
0.059204100,6.709380758
0.059407600,6.709502955
0.059611000,6.705625093
0.059814500,6.705747290
0.060017900,6.701869427
0.060221400,6.701991625
0.060424800,6.698113762
0.060628300,6.698235960
0.060831700,6.698358097
0.061035200,6.694480295
0.061238600,6.694602432
0.061442100,6.694724630
0.061645500,6.690846767
0.061849000,6.690968964
0.062052400,6.691091102
0.062255900,6.691213299
0.062459300,6.691335437
0.062662800,6.687457634
0.062866200,6.687579772
0.063069700,6.687701969
0.063273100,6.687824106
0.063476600,6.687946304
0.063680000,6.688068441
0.063883500,6.688190639
0.064086900,6.688312776
0.064290400,6.688434974
0.064493800,6.688557111
0.064697300,6.688679308
0.064900700,6.688801446
0.065104200,6.688923643
0.065307600,6.689045781
0.065511100,6.689167978
0.065714500,6.689290116
0.065918000,6.689412313
