Parámetro,Valor
Ra (Promedio Aritmético),1.944 µm
Rq (RMS),2.507 µm
Rp (Pico Máximo),6.960 µm
Rv (Valle Máximo),-5.640 µm
Rt (Altura Total del Perfil),12.600 µm
Rz (ISO 4287:1997),9.092 µm
Rsk (Asimetría),0.072
Rku (Curtosis),3.150
RSm (Anchura Media de Elementos),141.840 µm
Rdq (Pendiente RMS),50.351 µm/mm
Rda (Pendiente Media Absoluta),36.106 µm/mm
Pc (Conteo de Picos),59.00 1/mm
Rpk (Altura de picos que se desgastan),1.445 µm
Rk (Profundidad del núcleo funcional),1.746 µm
Rvk (Profundidad de valles para lubricante),1.105 µm
Mr1 (%),18.93
Mr2 (%),56.43
