x (mm),altura (µm)
0.000000000,4.641637720
0.000203500,4.640595729
0.000406900,4.639554250
0.000610400,4.638512258
0.000813800,4.637470779
0.001017300,4.636428788
0.001220700,4.635387309
0.001424200,4.634345317
0.001627600,4.633303838
0.001831100,4.632261847
0.002034500,4.631220367
0.002238000,4.630178376
0.002441400,4.633136897
0.002644900,4.632094906
0.002848300,4.631053426
0.003051800,4.634011435
0.003255200,4.632969956
0.003458700,4.631927965
0.003662100,4.634886485
0.003865600,4.633844494
0.004069000,4.636803015
0.004272500,4.635761024
0.004475900,4.638719544
0.004679400,4.637677553
0.004882800,4.636636074
0.005086300,4.639594082
0.005289700,4.638552603
0.005493200,4.641510612
0.005696600,4.640469133
0.005900100,4.643427141
0.006103500,4.642385662
0.006307000,4.645343671
0.006510400,4.648302192
0.006713900,4.647260200
0.006917300,4.646218721
0.007120800,4.649176730
0.007324200,4.652135251
0.007527700,4.651093259
0.007731100,4.654051780
0.007934600,4.653009789
0.008138000,4.655968310
0.008341500,4.654926318
0.008544900,4.657884839
0.008748400,4.660842848
0.008951800,4.659801368
0.009155300,4.662759377
0.009358700,4.661717898
0.009562200,4.664675907
0.009765600,4.667634427
0.009969100,4.666592436
0.010172500,4.665550957
0.010376000,4.668508966
0.010579400,4.671467486
0.010782900,4.670425495
0.010986300,4.673384016
0.011189800,4.672342025
0.011393200,4.675300545
0.011596700,4.674258554
0.011800100,4.677217075
0.012003600,4.676175083
0.012207000,4.679133604
0.012410500,4.678091613
0.012613900,4.681050134
0.012817400,4.684008142
0.013020800,4.682966663
0.013224300,4.685924672
0.013427700,4.684883193
0.013631200,4.687841201
0.013834600,4.686799722
0.014038100,4.689757731
0.014241500,4.688716252
0.014445000,4.691674260
0.014648400,4.690632781
0.014851900,4.693590790
0.015055300,4.692549310
0.015258800,4.695507319
0.015462200,4.698465840
0.015665700,4.697423849
0.015869100,4.700382369
0.016072600,4.699340378
0.016276000,4.702298899
0.016479500,4.705256908
0.016682900,4.704215428
0.016886400,4.703173437
0.017089800,4.706131958
0.017293300,4.709089967
0.017496700,4.708048487
0.017700200,4.711006496
0.017903600,4.709965017
0.018107100,4.712923026
0.018310500,4.711881546
0.018514000,4.714839555
0.018717400,4.717798076
0.018920900,4.716756084
0.019124300,4.719714605
0.019327800,4.722672614
0.019531300,4.721630623
0.019734700,4.724589143
0.019938200,4.727547152
0.020141600,4.726505673
0.020345100,4.729463682
0.020548500,4.728422202
0.020752000,4.731380211
0.020955400,4.730338732
0.021158900,4.733296741
0.021362300,4.736255261
0.021565800,4.735213270
0.021769200,4.738171791
0.021972700,4.741129799
0.022176100,4.740088320
0.022379600,4.743046329
0.022583000,4.746004850
0.022786500,4.748962858
0.022989900,4.747921379
0.023193400,4.750879388
0.023396800,4.753837909
0.023600300,4.752795917
0.023803700,4.755754438
0.024007200,4.758712447
0.024210600,4.757670968
0.024414100,4.760628976
0.024617500,4.763587497
0.024821000,4.762545506
0.025024400,4.765504026
0.025227900,4.768462035
0.025431300,4.767420556
0.025634800,4.770378565
0.025838200,4.769337085
0.026041700,4.772295094
0.026245100,4.775253615
0.026448600,4.774211624
0.026652000,4.777170144
0.026855500,4.780128153
0.027058900,4.779086674
0.027262400,4.782044683
0.027465800,4.785003203
0.027669300,4.783961212
0.027872700,4.786919733
0.028076200,4.789877742
0.028279600,4.788836262
0.028483100,4.787794271
0.028686500,4.790752792
0.028890000,4.793710800
0.029093400,4.792669321
0.029296900,4.795627330
0.029500300,4.798585851
0.029703800,4.797543859
0.029907200,4.796502380
0.030110700,4.799460389
0.030314100,4.802418910
0.030517600,4.801376918
0.030721000,4.804335439
0.030924500,4.803293448
0.031127900,4.806251969
0.031331400,4.809209977
0.031534800,4.808168498
0.031738300,4.807126507
0.031941700,4.810085027
0.032145200,4.809043036
0.032348600,4.812001557
0.032552100,4.810959566
0.032755500,4.813918086
0.032959000,4.812876095
0.033162400,4.815834616
0.033365900,4.814792625
0.033569300,4.817751145
0.033772800,4.816709154
0.033976200,4.815667675
0.034179700,4.818625684
0.034383100,4.817584204
0.034586600,4.820542213
0.034790000,4.819500734
0.034993500,4.822458742
0.035196900,4.821417263
0.035400400,4.824375272
0.035603800,4.823333793
0.035807300,4.822291801
0.036010700,4.825250322
0.036214200,4.824208331
0.036417600,4.823166852
0.036621100,4.826124860
0.036824500,4.825083381
0.037028000,4.828041390
0.037231400,4.826999911
0.037434900,4.825957919
0.037638300,4.828916440
0.037841800,4.827874449
0.038045200,4.830832970
0.038248700,4.829790978
0.038452100,4.828749499
0.038655600,4.827707508
0.038859000,4.830666028
0.039062500,4.829624037
0.039266000,4.828582046
0.039469400,4.831540567
0.039672900,4.830498575
0.039876300,4.829457096
0.040079800,4.832415105
0.040283200,4.831373626
0.040486700,4.830331634
0.040690100,4.829290155
0.040893600,4.832248164
0.041097000,4.831206685
0.041300500,4.830164693
0.041503900,4.833123214
0.041707400,4.832081223
0.041910800,4.831039743
0.042114300,4.829997752
0.042317700,4.832956273
0.042521200,4.831914282
0.042724600,4.830872802
0.042928100,4.829830811
0.043131500,4.828789332
0.043335000,4.831747341
0.043538400,4.830705861
0.043741900,4.829663870
0.043945300,4.828622391
0.044148800,4.827580400
0.044352200,4.830538920
0.044555700,4.829496929
0.044759100,4.828455450
0.044962600,4.827413458
0.045166000,4.826371979
0.045369500,4.825329988
0.045572900,4.824288509
0.045776400,4.823246517
0.045979800,4.822205038
0.046183300,4.825163047
0.046386700,4.824121568
0.046590200,4.823079576
0.046793600,4.822038097
0.046997100,4.820996106
0.047200500,4.819954627
0.047404000,4.818912635
0.047607400,4.817871156
0.047810900,4.816829165
0.048014300,4.815787686
0.048217800,4.814745694
0.048421200,4.813704215
0.048624700,4.812662224
0.048828100,4.811620744
0.049031600,4.806578753
0.049235000,4.805537274
0.049438500,4.804495283
0.049641900,4.803453803
0.049845400,4.802411812
0.050048800,4.801370333
0.050252300,4.800328342
0.050455700,4.799286862
0.050659200,4.798244871
0.050862600,4.797203392
0.051066100,4.792161401
0.051269500,4.791119921
0.051473000,4.790077930
0.051676400,4.789036451
0.051879900,4.787994459
0.052083300,4.786952980
0.052286800,4.781910989
0.052490200,4.780869510
0.052693700,4.779827518
0.052897100,4.778786039
0.053100600,4.777744048
0.053304000,4.772702569
0.053507500,4.771660577
0.053710900,4.770619098
0.053914400,4.769577107
0.054117800,4.764535628
0.054321300,4.763493636
0.054524700,4.762452157
0.054728200,4.761410166
0.054931600,4.756368687
0.055135100,4.755326695
0.055338500,4.754285216
0.055542000,4.749243225
0.055745400,4.748201745
0.055948900,4.747159754
0.056152300,4.746118275
0.056355800,4.741076284
0.056559200,4.740034804
0.056762700,4.734992813
0.056966100,4.733951334
0.057169600,4.732909343
0.057373000,4.727867863
0.057576500,4.726825872
0.057779900,4.721784393
0.057983400,4.720742402
0.058186800,4.719700922
0.058390300,4.714658931
0.058593800,4.713616940
0.058797200,4.708575460
0.059000700,4.707533469
0.059204100,4.702491990
0.059407600,4.701449999
0.059611000,4.696408519
0.059814500,4.695366528
0.060017900,4.694325049
0.060221400,4.689283058
0.060424800,4.688241578
0.060628300,4.683199587
0.060831700,4.682158108
0.061035200,4.677116117
0.061238600,4.676074637
0.061442100,4.671032646
0.061645500,4.665991167
0.061849000,4.664949175
0.062052400,4.663907696
0.062255900,4.658865705
0.062459300,4.653824226
0.062662800,4.652782234
0.062866200,4.651740755
0.063069700,4.646698764
0.063273100,4.641657285
0.063476600,4.640615293
0.063680000,4.635573814
0.063883500,4.634531823
0.064086900,4.629490344
0.064290400,4.624448352
0.064493800,4.623406873
0.064697300,4.618364882
0.064900700,4.617323403
0.065104200,4.612281411
0.065307600,4.607239932
0.065511100,4.606197941
0.065714500,4.601156461
0.065918000,4.596114470
0.066121400,4.595072991
0.066324900,4.590031000
0.066528300,4.584989520
0.066731800,4.583947529
0.066935200,4.578906050
0.067138700,4.573864059
0.067342100,4.572822579
0.067545600,4.567780588
0.067749000,4.562739109
0.067952500,4.561697118
0.068155900,4.556655638
0.068359400,4.551613647
0.068562800,4.546572168
0.068766300,4.545530176
0.068969700,4.540488697
0.069173200,4.535446706
0.069376600,4.530405227
0.069580100,4.525363235
0.069783500,4.520321756
0.069987000,4.515279765
0.070190400,4.514238286
0.070393900,4.505196294
0.070597300,4.500154815
0.070800800,4.499112824
0.071004200,4.494071345
0.071207700,4.485029353
0.071411100,4.483987874
0.071614600,4.478945883
0.071818000,4.469904404
0.072021500,4.464862412
0.072224900,4.459820933
0.072428400,4.454778942
0.072631800,4.449737462
0.072835300,4.444695471
0.073038700,4.435653992
0.073242200,4.430612001
0.073445600,4.425570521
0.073649100,4.420528530
0.073852500,4.411487051
0.074056000,4.406445060
0.074259400,4.401403580
0.074462900,4.392361589
0.074666300,4.387320110
0.074869800,4.382278119
0.075073200,4.369236639
0.075276700,4.364194648
0.075480100,4.359153169
0.075683600,4.354111177
0.075887000,4.345069698
0.076090500,4.340027707
0.076293900,4.330986228
0.076497400,4.321944236
0.076700800,4.316902757
0.076904300,4.311860766
0.077107700,4.298819287
0.077311200,4.293777295
0.077514600,4.288735816
0.077718100,4.279693825
0.077921500,4.270652346
0.078125000,4.265610354
0.078328500,4.256568363
0.078531900,4.247526884
0.078735400,4.238484892
0.078938800,4.233443413
0.079142300,4.220401422
0.079345700,4.215359943
0.079549200,4.210317951
0.079752600,4.205276472
0.079956100,4.192234481
0.080159500,4.187193002
0.080363000,4.178151010
0.080566400,4.169109531
0.080769900,4.160067540
0.080973300,4.155026061
0.081176800,4.141984069
0.081380200,4.136942590
0.081583700,4.131900599
0.081787100,4.122859120
0.081990600,4.113817128
0.082194000,4.104775649
0.082397500,4.099733658
0.082600900,4.086692178
0.082804400,4.081650187
0.083007800,4.076608708
0.083211300,4.063566717
0.083414700,4.058525237
0.083618200,4.049483246
0.083821600,4.040441767
0.084025100,4.031399776
0.084228500,4.026358296
0.084432000,4.021316305
0.084635400,4.008274826
0.084838900,4.003232835
0.085042300,3.994191355
0.085245800,3.985149364
0.085449200,3.976107885
0.085652700,3.971065893
0.085856100,3.958024414
0.086059600,3.952982423
0.086263000,3.947940944
0.086466500,3.938898952
0.086669900,3.929857473
0.086873400,3.920815482
0.087076800,3.915774003
0.087280300,3.902732011
0.087483700,3.897690532
0.087687200,3.892648541
0.087890600,3.879607062
0.088094100,3.874565070
0.088297500,3.865523591
0.088501000,3.860481600
0.088704400,3.847440121
0.088907900,3.842398129
0.089111300,3.837356650
0.089314800,3.824314659
0.089518200,3.819273179
0.089721700,3.810231188
0.089925100,3.801189709
0.090128600,3.792147718
0.090332000,3.787106238
0.090535500,3.782064247
0.090738900,3.769022768
0.090942400,3.763980777
0.091145800,3.754939297
0.091349300,3.745897306
0.091552700,3.736855827
0.091756200,3.731813836
0.091959600,3.718772356
