x (mm),altura (µm)
0.000000000,0.288356788
0.000203500,0.288367735
0.000406900,0.288378676
0.000610400,0.288389624
0.000813800,0.288400565
0.001017300,0.288411512
0.001220700,0.288422454
0.001424200,0.288433401
0.001627600,0.288444343
0.001831100,0.288455290
0.002034500,0.288466232
0.002238000,0.288477179
0.002441400,0.292488121
0.002644900,0.292499068
0.002848300,0.292510009
0.003051800,0.296520956
0.003255200,0.296531898
0.003458700,0.296542845
0.003662100,0.300553787
0.003865600,0.300564734
0.004069000,0.304575676
0.004272500,0.304586623
0.004475900,0.308597565
0.004679400,0.308608512
0.004882800,0.308619453
0.005086300,0.312630401
0.005289700,0.312641342
0.005493200,0.316652289
0.005696600,0.316663231
0.005900100,0.320674178
0.006103500,0.320685120
0.006307000,0.324696067
0.006510400,0.328707009
0.006713900,0.328717956
0.006917300,0.328728898
0.007120800,0.332739845
0.007324200,0.336750786
0.007527700,0.336761733
0.007731100,0.340772675
0.007934600,0.340783622
0.008138000,0.344794564
0.008341500,0.344805511
0.008544900,0.348816453
0.008748400,0.352827400
0.008951800,0.352838342
0.009155300,0.356849289
0.009358700,0.356860230
0.009562200,0.360871177
0.009765600,0.364882119
0.009969100,0.364893066
0.010172500,0.364904008
0.010376000,0.368914955
0.010579400,0.372925897
0.010782900,0.372936844
0.010986300,0.376947786
0.011189800,0.376958733
0.011393200,0.380969674
0.011596700,0.380980622
0.011800100,0.384991563
0.012003600,0.385002510
0.012207000,0.389013452
0.012410500,0.389024399
0.012613900,0.393035341
0.012817400,0.397046288
0.013020800,0.397057230
0.013224300,0.401068177
0.013427700,0.401079119
0.013631200,0.405090066
0.013834600,0.405101007
0.014038100,0.409111954
0.014241500,0.409122896
0.014445000,0.413133843
0.014648400,0.413144785
0.014851900,0.417155732
0.015055300,0.417166674
0.015258800,0.421177621
0.015462200,0.425188563
0.015665700,0.425199510
0.015869100,0.429210451
0.016072600,0.429221399
0.016276000,0.433232340
0.016479500,0.437243287
0.016682900,0.437254229
0.016886400,0.437265176
0.017089800,0.441276118
0.017293300,0.445287065
0.017496700,0.445298007
0.017700200,0.449308954
0.017903600,0.449319895
0.018107100,0.453330843
0.018310500,0.453341784
0.018514000,0.457352731
0.018717400,0.461363673
0.018920900,0.461374620
0.019124300,0.465385562
0.019327800,0.469396509
0.019531300,0.469407456
0.019734700,0.473418398
0.019938200,0.477429345
0.020141600,0.477440287
0.020345100,0.481451234
0.020548500,0.481462175
0.020752000,0.485473123
0.020955400,0.485484064
0.021158900,0.489495011
0.021362300,0.493505953
0.021565800,0.493516900
0.021769200,0.497527842
0.021972700,0.501538789
0.022176100,0.501549731
0.022379600,0.505560678
0.022583000,0.509571620
0.022786500,0.513582567
0.022989900,0.513593508
0.023193400,0.517604455
0.023396800,0.521615397
0.023600300,0.521626344
0.023803700,0.525637286
0.024007200,0.529648233
0.024210600,0.529659175
0.024414100,0.533670122
0.024617500,0.537681064
0.024821000,0.537692011
0.025024400,0.541702952
0.025227900,0.545713900
0.025431300,0.545724841
0.025634800,0.549735788
0.025838200,0.549746730
0.026041700,0.553757677
0.026245100,0.557768619
0.026448600,0.557779566
0.026652000,0.561790508
0.026855500,0.565801455
0.027058900,0.565812397
0.027262400,0.569823344
0.027465800,0.573834285
0.027669300,0.573845232
0.027872700,0.577856174
0.028076200,0.581867121
0.028279600,0.581878063
0.028483100,0.581889010
0.028686500,0.585899952
0.028890000,0.589910899
0.029093400,0.589921841
0.029296900,0.593932788
0.029500300,0.597943729
0.029703800,0.597954676
0.029907200,0.597965618
0.030110700,0.601976565
0.030314100,0.605987507
0.030517600,0.605998454
0.030721000,0.610009396
0.030924500,0.610020343
0.031127900,0.614031285
0.031331400,0.618042232
0.031534800,0.618053173
0.031738300,0.618064121
0.031941700,0.622075062
0.032145200,0.622086009
0.032348600,0.626096951
0.032552100,0.626107898
0.032755500,0.630118840
0.032959000,0.630129787
0.033162400,0.634140729
0.033365900,0.634151676
0.033569300,0.638162618
0.033772800,0.638173565
0.033976200,0.638184506
0.034179700,0.642195453
