Parámetro,Valor
Ra (Promedio Aritmético),2.136 µm
Rq (RMS),2.758 µm
Rp (Pico Máximo),7.720 µm
Rv (Valle Máximo),-7.100 µm
Rt (Altura Total del Perfil),14.820 µm
Rz (ISO 4287:1997),8.923 µm
Rsk (Asimetría),-0.023
Rku (Curtosis),3.412
RSm (Anchura Media de Elementos),209.882 µm
Rdq (Pendiente RMS),46.472 µm/mm
Rda (Pendiente Media Absoluta),32.375 µm/mm
Pc (Conteo de Picos),91.80 1/mm
Rpk (Altura de picos que se desgastan),1.501 µm
Rk (Profundidad del núcleo funcional),2.871 µm
Rvk (Profundidad de valles para lubricante),1.176 µm
Mr1 (%),10.19
Mr2 (%),58.00
