x (mm),altura (µm)
0.000000000,-5.668859579
0.000452200,-5.675005816
0.000904300,-5.681150695
0.001356500,-5.687296933
0.001808600,-5.693441811
0.002260800,-5.703588049
0.002713000,-5.709734287
0.003165100,-5.715879166
0.003617300,-5.722025403
0.004069500,-5.728171641
0.004521600,-5.730316520
0.004973800,-5.736462758
0.005425900,-5.742607636
0.005878100,-5.748753874
0.006330300,-5.754900112
0.006782400,-5.761044990
0.007234600,-5.763191228
0.007686700,-5.769336107
0.008138900,-5.775482345
0.008591100,-5.781628582
0.009043200,-5.787773461
0.009495400,-5.789919699
0.009947500,-5.796064577
0.010399700,-5.802210815
0.010851900,-5.808357053
0.011304000,-5.810501932
0.011756200,-5.816648169
0.012208400,-5.822794407
0.012660500,-5.828939286
0.013112700,-5.831085524
0.013564800,-5.837230402
0.014017000,-5.843376640
0.014469200,-5.849522878
0.014921300,-5.855667756
0.015373500,-5.857813994
0.015825600,-5.863958873
0.016277800,-5.870105111
0.016730000,-5.876251348
0.017182100,-5.882396227
0.017634300,-5.888542465
0.018086500,-5.894688703
0.018538600,-5.900833581
0.018990800,-5.906979819
0.019442900,-5.913124698
0.019895100,-5.919270935
0.020347300,-5.929417173
0.020799400,-5.935562052
0.021251600,-5.941708290
0.021703700,-5.951853168
0.022155900,-5.957999406
0.022608100,-5.964145644
0.023060200,-5.970290522
0.023512400,-5.980436760
0.023964600,-5.990582998
0.024416700,-5.996727877
0.024868900,-6.006874114
0.025321000,-6.013018993
0.025773200,-6.023165231
0.026225400,-6.033311469
0.026677500,-6.043456347
0.027129700,-6.049602585
0.027581800,-6.059747464
0.028034000,-6.069893701
0.028486200,-6.080039939
0.028938300,-6.090184818
0.029390500,-6.100331056
0.029842600,-6.110475934
0.030294800,-6.120622172
0.030747000,-6.134768410
0.031199100,-6.144913288
0.031651300,-6.155059526
0.032103500,-6.165205764
0.032555600,-6.179350643
0.033007800,-6.189496880
0.033459900,-6.199641759
0.033912100,-6.213787997
0.034364300,-6.223934235
0.034816400,-6.238079113
0.035268600,-6.252225351
0.035720700,-6.262370230
0.036172900,-6.272516467
0.036625100,-6.290662705
0.037077200,-6.300807584
0.037529400,-6.314953822
0.037981600,-6.325100059
0.038433700,-6.343244938
0.038885900,-6.353391176
0.039338000,-6.367536054
0.039790200,-6.385682292
0.040242400,-6.395828530
0.040694500,-6.405973409
0.041146700,-6.424119646
0.041598800,-6.438264525
0.042051000,-6.448410763
0.042503200,-6.462557000
0.042955300,-6.480701879
0.043407500,-6.494848117
0.043859600,-6.504992995
0.044311800,-6.523139233
0.044764000,-6.537285471
0.045216100,-6.551430350
0.045668300,-6.569576587
0.046120500,-6.579722825
0.046572600,-6.593867704
0.047024800,-6.608013942
0.047476900,-6.626158820
0.047929100,-6.636305058
0.048381300,-6.650451296
0.048833400,-6.668596174
0.049285600,-6.682742412
0.049737700,-6.692887291
0.050189900,-6.711033529
0.050642100,-6.725179766
0.051094200,-6.739324645
0.051546400,-6.749470883
0.051998600,-6.767617121
0.052450700,-6.781761999
0.052902900,-6.791908237
0.053355000,-6.810053116
0.053807200,-6.824199353
0.054259400,-6.834345591
0.054711500,-6.852490470
0.055163700,-6.866636708
0.055615800,-6.876781586
0.056068000,-6.894927824
0.056520200,-6.905074062
0.056972300,-6.919218940
0.057424500,-6.929365178
0.057876700,-6.947511416
