x (mm),altura (µm)
0.000000000,-3.247128076
0.000556000,-3.252055923
0.001112100,-3.252983937
0.001668100,-3.257911784
0.002224200,-3.258839798
0.002780200,-3.263767645
0.003336300,-3.264695659
0.003892300,-3.269623506
0.004448400,-3.270551520
0.005004400,-3.275479367
0.005560500,-3.276407381
0.006116500,-3.281335228
0.006672600,-3.282263241
0.007228600,-3.283191088
0.007784700,-3.288119102
0.008340700,-3.285046949
0.008896800,-3.289974963
0.009452800,-3.290902810
0.010008900,-3.295830824
0.010564900,-3.292758671
0.011121000,-3.297686685
0.011677000,-3.298614532
0.012233100,-3.299542546
0.012789100,-3.300470393
0.013345200,-3.301398407
0.013901200,-3.302326254
0.014457300,-3.303254268
0.015013300,-3.308182115
0.015569400,-3.313110128
0.016125400,-3.310037975
0.016681500,-3.310965989
0.017237500,-3.311893836
0.017793600,-3.312821850
0.018349600,-3.313749697
0.018905700,-3.314677711
0.019461700,-3.315605558
0.020017800,-3.316533572
0.020573800,-3.317461419
0.021129900,-3.314389433
0.021685900,-3.319317280
0.022242000,-3.320245294
0.022798000,-3.321173141
0.023354100,-3.318101154
0.023910100,-3.319029001
0.024466200,-3.323957015
0.025022200,-3.320884862
0.025578300,-3.321812876
0.026134300,-3.326740723
0.026690400,-3.323668737
0.027246400,-3.324596584
0.027802500,-3.325524598
0.028358500,-3.330452445
0.028914600,-3.327380459
0.029470600,-3.336308306
0.030026700,-3.337236320
0.030582700,-3.334164167
0.031138800,-3.339092181
0.031694800,-3.340020028
0.032250900,-3.340948041
0.032806900,-3.341875888
0.033363000,-3.342803902
0.033919000,-3.347731749
0.034475100,-3.344659763
0.035031100,-3.349587610
0.035587200,-3.350515624
0.036143200,-3.351443471
0.036699300,-3.352371485
0.037255300,-3.357299332
0.037811400,-3.358227346
0.038367400,-3.359155193
0.038923500,-3.364083207
0.039479500,-3.365011054
0.040035600,-3.365939067
0.040591600,-3.366866914
0.041147700,-3.375794928
0.041703700,-3.376722775
0.042259800,-3.377650789
0.042815800,-3.382578636
0.043371900,-3.383506650
0.043927900,-3.384434497
0.044484000,-3.389362511
0.045040000,-3.390290358
0.045596100,-3.391218372
0.046152100,-3.396146219
0.046708200,-3.397074233
0.047264200,-3.398002080
0.047820300,-3.398930094
0.048376300,-3.403857941
0.048932400,-3.404785954
0.049488400,-3.405713801
0.050044500,-3.410641815
0.050600500,-3.411569662
0.051156600,-3.412497676
0.051712600,-3.417425523
0.052268700,-3.422353537
0.052824700,-3.423281384
0.053380800,-3.424209398
0.053936800,-3.429137245
0.054492900,-3.426065259
0.055048900,-3.430993106
0.055605000,-3.431921120
0.056161000,-3.432848967
0.056717100,-3.433776980
0.057273100,-3.434704827
0.057829200,-3.439632841
0.058385200,-3.436560688
0.058941300,-3.441488702
0.059497300,-3.442416549
0.060053400,-3.443344563
0.060609400,-3.444272410
0.061165500,-3.449200424
0.061721500,-3.450128271
0.062277600,-3.451056285
0.062833600,-3.451984132
0.063389700,-3.452912146
0.063945700,-3.453839993
0.064501800,-3.454768007
0.065057800,-3.455695854
0.065613900,-3.456623867
0.066169900,-3.457551714
0.066726000,-3.458479728
0.067282000,-3.455407575
0.067838100,-3.460335589
0.068394100,-3.461263436
0.068950200,-3.458191450
0.069506200,-3.459119297
0.070062300,-3.464047311
0.070618300,-3.464975158
0.071174400,-3.461903172
0.071730400,-3.466831019
0.072286500,-3.467759033
0.072842500,-3.464686880
0.073398600,-3.465614893
0.073954600,-3.466542740
0.074510700,-3.463470754
0.075066700,-3.464398601
0.075622800,-3.465326615
0.076178800,-3.466254462
0.076734900,-3.463182476
0.077290900,-3.464110323
0.077847000,-3.469038337
0.078403000,-3.465966184
0.078959100,-3.466894198
0.079515100,-3.467822045
0.080071200,-3.464750059
0.080627200,-3.465677906
0.081183300,-3.462605920
0.081739300,-3.463533767
0.082295400,-3.460461780
0.082851400,-3.461389627
0.083407500,-3.462317641
0.083963500,-3.455245488
0.084519600,-3.456173502
0.085075600,-3.457101349
0.085631700,-3.458029363
0.086187700,-3.454957210
0.086743800,-3.455885224
0.087299800,-3.456813071
0.087855900,-3.449741085
0.088411900,-3.450668932
0.088968000,-3.451596946
0.089524000,-3.444524793
0.090080100,-3.441452806
0.090636100,-3.442380653
0.091192200,-3.435308667
0.091748200,-3.436236514
0.092304300,-3.433164528
0.092860300,-3.438092375
0.093416400,-3.431020389
0.093972400,-3.427948236
0.094528500,-3.424876250
0.095084500,-3.417804097
0.095640600,-3.418732111
0.096196600,-3.415659958
0.096752700,-3.408587972
0.097308700,-3.405515819
0.097864800,-3.402443833
0.098420800,-3.395371680
0.098976900,-3.392299693
0.099532900,-3.393227540
0.100089000,-3.390155554
0.100645000,-3.383083401
0.101201100,-3.380011415
0.101757100,-3.376939262
0.102313200,-3.365867276
0.102869200,-3.362795123
0.103425300,-3.359723137
0.103981300,-3.352650984
0.104537400,-3.349578998
0.105093400,-3.346506845
0.105649500,-3.343434859
0.106205500,-3.332362706
0.106761600,-3.329290719
0.107317600,-3.326218566
0.107873700,-3.315146580
0.108429700,-3.312074427
0.108985800,-3.309002441
0.109541800,-3.297930288
0.110097900,-3.294858302
0.110653900,-3.291786149
0.111210000,-3.284714163
0.111766000,-3.273642010
0.112322100,-3.274570024
0.112878100,-3.271497871
0.113434200,-3.256425885
0.113990200,-3.253353732
0.114546300,-3.250281746
0.115102300,-3.239209592
0.115658400,-3.236137606
0.116214400,-3.229065453
0.116770500,-3.225993467
0.117326500,-3.214921314
0.117882600,-3.211849328
0.118438600,-3.212777175
0.118994700,-3.197705189
0.119550700,-3.194633036
0.120106800,-3.191561050
0.120662800,-3.180488897
0.121218900,-3.177416911
0.121774900,-3.170344758
0.122331000,-3.159272772
0.122887000,-3.156200619
0.123443100,-3.153128632
0.123999100,-3.154056479
0.124555200,-3.142984493
0.125111200,-3.139912340
0.125667300,-3.136840354
0.126223300,-3.125768201
0.126779400,-3.122696215
0.127335400,-3.119624062
0.127891500,-3.108552076
0.128447500,-3.105479923
0.129003600,-3.102407937
0.129559600,-3.099335784
0.130115700,-3.092263798
0.130671700,-3.089191645
0.131227800,-3.090119658
0.131783800,-3.079047505
0.132339900,-3.075975519
0.132895900,-3.072903366
0.133452000,-3.065831380
0.134008000,-3.062759227
0.134564100,-3.059687241
0.135120100,-3.064615088
0.135676200,-3.053543102
0.136232200,-3.050470949
0.136788300,-3.051398963
0.137344300,-3.040326810
0.137900400,-3.041254824
0.138456400,-3.038182671
0.139012500,-3.031110685
0.139568500,-3.028038532
0.140124600,-3.028966545
0.140680600,-3.029894392
0.141236700,-3.022822406
0.141792700,-3.023750253
0.142348800,-3.020678267
0.142904800,-3.013606114
0.143460900,-3.014534128
0.144016900,-3.011461975
0.144573000,-3.008389989
0.145129000,-3.005317836
0.145685100,-3.010245850
0.146241100,-3.007173697
0.146797200,-3.004101711
0.147353200,-3.001029558
0.147909300,-3.001957571
0.148465300,-2.994885418
0.149021400,-2.995813432
0.149577400,-2.996741279
0.150133500,-2.989669293
0.150689500,-2.994597140
0.151245600,-2.991525154
0.151801600,-2.988453001
0.152357700,-2.989381015
0.152913700,-2.986308862
0.153469800,-2.987236876
0.154025800,-2.980164723
0.154581900,-2.981092737
0.155137900,-2.982020584
0.155694000,-2.978948598
0.156250000,-2.979876445
0.156806000,-2.980804292
0.157362100,-2.973732305
0.157918100,-2.974660152
0.158474200,-2.975588166
0.159030200,-2.976516013
0.159586300,-2.969444027
0.160142300,-2.970371874
0.160698400,-2.975299888
0.161254400,-2.968227735
0.161810500,-2.969155749
0.162366500,-2.970083596
0.162922600,-2.963011610
0.163478600,-2.963939457
0.164034700,-2.964867471
0.164590700,-2.961795318
0.165146800,-2.962723331
0.165702800,-2.963651178
0.166258900,-2.960579192
0.166814900,-2.957507039
0.167371000,-2.954435053
0.167927000,-2.955362900
0.168483100,-2.948290914
0.169039100,-2.949218761
0.169595200,-2.954146775
0.170151200,-2.951074622
0.170707300,-2.944002636
0.171263300,-2.944930483
0.171819400,-2.941858497
0.172375400,-2.934786344
0.172931500,-2.935714358
0.173487500,-2.932642205
0.174043600,-2.929570218
0.174599600,-2.926498065
0.175155700,-2.927426079
0.175711700,-2.916353926
0.176267800,-2.917281940
0.176823800,-2.914209787
0.177379900,-2.911137801
0.177935900,-2.900065648
0.178492000,-2.904993662
0.179048000,-2.901921509
0.179604100,-2.890849523
0.180160100,-2.887777370
0.180716200,-2.884705384
0.181272200,-2.873633231
0.181828300,-2.866561244
0.182384300,-2.863489091
0.182940400,-2.864417105
0.183496400,-2.849344952
0.184052500,-2.846272966
0.184608500,-2.843200813
0.185164600,-2.828128827
0.185720600,-2.821056674
0.186276700,-2.817984688
0.186832700,-2.802912535
0.187388800,-2.799840549
0.187944800,-2.792768396
0.188500900,-2.789696410
0.189056900,-2.770624257
0.189613000,-2.763552271
0.190169000,-2.756480118
0.190725100,-2.741408131
0.191281100,-2.738335978
0.191837200,-2.731263992
0.192393200,-2.708191839
0.192949300,-2.701119853
0.193505300,-2.694047700
0.194061400,-2.686975714
0.194617400,-2.667903561
0.195173500,-2.656831575
0.195729500,-2.653759422
0.196285600,-2.630687436
0.196841600,-2.623615283
0.197397700,-2.616543297
0.197953700,-2.593471144
0.198509800,-2.582399157
0.199065800,-2.575327004
0.199621900,-2.556255018
0.200177900,-2.549182865
0.200734000,-2.538110879
0.201290000,-2.531038726
0.201846100,-2.507966740
0.202402100,-2.496894587
0.202958200,-2.485822601
0.203514200,-2.466750448
0.204070300,-2.459678462
0.204626300,-2.448606309
0.205182400,-2.425534323
0.205738400,-2.418462170
0.206294500,-2.407390184
0.206850500,-2.400318031
0.207406600,-2.381246044
0.207962600,-2.370173891
0.208518700,-2.363101905
0.209074700,-2.340029752
0.209630800,-2.332957766
0.210186800,-2.321885613
0.210742900,-2.302813627
0.211298900,-2.295741474
0.211855000,-2.288669488
0.212411000,-2.281597335
0.212967100,-2.262525349
0.213523100,-2.251453196
0.214079200,-2.244381210
0.214635200,-2.225309057
0.215191300,-2.222237070
0.215747300,-2.215164917
0.216303400,-2.196092931
0.216859400,-2.189020778
0.217415500,-2.181948792
0.217971500,-2.174876639
0.218527600,-2.159804653
0.219083600,-2.156732500
0.219639700,-2.149660514
0.220195700,-2.134588361
0.220751800,-2.127516375
0.221307800,-2.124444222
0.221863900,-2.105372236
0.222419900,-2.106300083
0.222976000,-2.099228097
0.223532000,-2.096155944
0.224088100,-2.081083957
0.224644100,-2.078011804
0.225200200,-2.074939818
0.225756200,-2.059867665
0.226312300,-2.060795679
0.226868300,-2.057723526
0.227424400,-2.042651540
0.227980400,-2.039579387
0.228536500,-2.036507401
0.229092500,-2.025435248
0.229648600,-2.026363262
0.230204600,-2.023291109
0.230760700,-2.020219123
0.231316700,-2.009146970
0.231872800,-2.006074983
0.232428800,-2.003002830
0.232984900,-1.995930844
0.233540900,-1.996858691
0.234097000,-1.993786705
0.234653000,-1.986714552
0.235209100,-1.983642566
0.235765100,-1.980570413
0.236321200,-1.977498427
0.236877200,-1.974426274
0.237433300,-1.971354288
0.237989300,-1.968282135
0.238545400,-1.961210149
0.239101400,-1.958137996
0.239657500,-1.959066009
0.240213500,-1.951993856
0.240769600,-1.952921870
0.241325600,-1.949849717
0.241881700,-1.946777731
0.242437700,-1.939705578
0.242993800,-1.936633592
0.243549800,-1.941561439
0.244105900,-1.930489453
0.244661900,-1.931417300
0.245218000,-1.928345314
0.245774000,-1.921273161
0.246330100,-1.918201175
0.246886100,-1.919129022
0.247442200,-1.916057036
0.247998200,-1.908984883
0.248554300,-1.905912896
0.249110300,-1.902840743
0.249666400,-1.895768757
0.250222400,-1.896696604
0.250778500,-1.893624618
0.251334500,-1.882552465
0.251890600,-1.879480479
0.252446600,-1.876408326
0.253002700,-1.865336340
0.253558700,-1.866264187
0.254114800,-1.863192201
0.254670800,-1.860120048
0.255226900,-1.849048062
0.255782900,-1.845975909
0.256339000,-1.842903922
0.256895000,-1.835831769
0.257451100,-1.832759783
0.258007100,-1.829687630
0.258563200,-1.814615644
0.259119200,-1.811543491
