x (mm),altura (µm)
0.000000000,-1.990638941
0.000585000,-1.987692086
0.001170000,-1.972745232
0.001755000,-1.969798378
0.002340000,-1.962851524
0.002925000,-1.947904670
0.003510000,-1.944957816
0.004095000,-1.934010961
0.004680000,-1.931064107
0.005265000,-1.916117253
0.005850000,-1.913170399
0.006435000,-1.906223545
0.007020000,-1.891276690
0.007605000,-1.888329836
0.008190000,-1.881382982
0.008775000,-1.870436128
0.009360000,-1.859489274
0.009945000,-1.856542419
0.010530000,-1.849595565
0.011115000,-1.834648711
0.011700000,-1.831701857
0.012285000,-1.824755003
0.012870000,-1.813808148
0.013455000,-1.806861294
0.014040000,-1.803914440
0.014625000,-1.788967586
0.015210000,-1.778020732
0.015795000,-1.775073877
0.016380000,-1.768127023
0.016965000,-1.757180169
0.017550000,-1.750233315
0.018135000,-1.747286461
0.018720000,-1.732339607
0.019305000,-1.729392752
0.019890000,-1.722445898
0.020475000,-1.707499044
0.021060000,-1.700552190
0.021645000,-1.697605336
0.022230000,-1.682658481
0.022815000,-1.675711627
0.023400000,-1.672764773
0.023985000,-1.669817919
0.024570000,-1.654871065
0.025155000,-1.651924210
0.025740000,-1.644977356
0.026325000,-1.634030502
0.026910000,-1.623083648
0.027495000,-1.620136794
0.028080000,-1.605189939
0.028665000,-1.602243085
0.029250000,-1.599296231
0.029835000,-1.592349377
0.030420000,-1.581402523
0.031005000,-1.578455668
0.031590000,-1.571508814
0.032175000,-1.560561960
0.032760000,-1.557615106
0.033345000,-1.546668252
0.033930000,-1.535721398
0.034515000,-1.532774543
0.035100000,-1.525827689
0.035685000,-1.522880835
0.036270000,-1.511933981
0.036855000,-1.508987127
0.037440000,-1.502040272
0.038025000,-1.491093418
0.038610000,-1.488146564
0.039195000,-1.485199710
0.039780000,-1.466252856
0.040365000,-1.463306001
0.040950000,-1.460359147
0.041535000,-1.457412293
0.042120000,-1.446465439
0.042705000,-1.443518585
0.043290000,-1.436571730
0.043875000,-1.425624876
0.044460000,-1.422678022
0.045045000,-1.419731168
0.045630000,-1.408784314
0.046215000,-1.405837459
0.046800000,-1.398890605
0.047385000,-1.387943751
0.047970000,-1.380996897
0.048555000,-1.378050043
0.049140000,-1.375103189
0.049725000,-1.364156334
0.050310100,-1.361209660
0.050895100,-1.358262806
0.051480100,-1.347315952
0.052065100,-1.344369098
0.052650100,-1.341422243
0.053235100,-1.330475389
0.053820100,-1.323528535
0.054405100,-1.320581681
0.054990100,-1.317634827
0.055575100,-1.306687972
0.056160100,-1.303741118
0.056745100,-1.300794264
0.057330100,-1.289847410
0.057915100,-1.286900556
0.058500100,-1.283953701
0.059085100,-1.273006847
0.059670100,-1.270059993
0.060255100,-1.267113139
0.060840100,-1.260166285
0.061425100,-1.249219430
0.062010100,-1.242272576
0.062595100,-1.239325722
0.063180100,-1.228378868
0.063765100,-1.225432014
0.064350100,-1.222485160
0.064935100,-1.211538305
0.065520100,-1.212591451
0.066105100,-1.209644597
0.066690100,-1.206697743
0.067275100,-1.195750889
0.067860100,-1.192804034
0.068445100,-1.185857180
0.069030100,-1.174910326
0.069615100,-1.171963472
0.070200100,-1.169016618
0.070785100,-1.158069763
0.071370100,-1.155122909
0.071955100,-1.152176055
0.072540100,-1.141229201
0.073125100,-1.138282347
0.073710100,-1.135335492
0.074295100,-1.132388638
0.074880100,-1.121441784
0.075465100,-1.118494930
0.076050100,-1.115548076
0.076635100,-1.104601221
0.077220100,-1.097654367
0.077805100,-1.094707513
0.078390100,-1.083760659
0.078975100,-1.080813805
0.079560100,-1.077866951
0.080145100,-1.074920096
0.080730100,-1.067973242
0.081315100,-1.065026388
0.081900100,-1.062079534
0.082485100,-1.051132680
0.083070100,-1.048185825
0.083655100,-1.045238971
0.084240100,-1.034292117
0.084825100,-1.031345263
0.085410100,-1.028398409
0.085995100,-1.021451554
0.086580100,-1.010504700
0.087165100,-1.011557846
0.087750100,-1.008610992
0.088335100,-0.997664138
0.088920100,-0.994717283
0.089505100,-0.991770429
0.090090100,-0.980823575
0.090675100,-0.977876721
0.091260100,-0.978929867
0.091845100,-0.975983012
0.092430100,-0.965036158
0.093015100,-0.962089304
0.093600100,-0.959142450
0.094185100,-0.948195596
0.094770100,-0.949248742
0.095355100,-0.942301887
0.095940100,-0.931355033
0.096525100,-0.928408179
0.097110100,-0.925461325
0.097695100,-0.926514471
0.098280100,-0.915567616
0.098865100,-0.912620762
0.099450100,-0.909673908
0.100035100,-0.902727054
0.100620100,-0.899780200
0.101205100,-0.896833345
0.101790100,-0.885886491
0.102375100,-0.886939637
0.102960100,-0.883992783
0.103545100,-0.873045929
