Parámetro,Valor
Ra (Promedio Aritmético),2.789 µm
Rq (RMS),3.240 µm
Rp (Pico Máximo),6.600 µm
Rv (Valle Máximo),-6.400 µm
Rt (Altura Total del Perfil),13.000 µm
Rz (ISO 4287:1997),5.526 µm
Rsk (Asimetría),-0.227
Rku (Curtosis),1.848
RSm (Anchura Media de Elementos),414.814 µm
Rdq (Pendiente RMS),20.389 µm/mm
Rda (Pendiente Media Absoluta),11.472 µm/mm
Pc (Conteo de Picos),54.60 1/mm
Rpk (Altura de picos que se desgastan),0.443 µm
Rk (Profundidad del núcleo funcional),6.846 µm
Rvk (Profundidad de valles para lubricante),1.041 µm
Mr1 (%),2.23
Mr2 (%),68.78
