x (mm),altura (µm)
0.000000000,-10.198787733
0.000239300,-10.198224860
0.000478700,-10.189663422
0.000718000,-10.185100549
0.000957400,-10.184539112
0.001196700,-10.175976238
0.001436000,-10.171413365
0.001675400,-10.170851927
0.001914700,-10.166289054
0.002154000,-10.157726180
0.002393400,-10.153164743
0.002632700,-10.152601870
0.002872100,-10.144040432
0.003111400,-10.139477559
0.003350700,-10.134914685
0.003590100,-10.126353248
0.003829400,-10.121790374
0.004068700,-10.121227501
0.004308100,-10.116666064
0.004547400,-10.108103190
0.004786800,-10.103541753
0.005026100,-10.098978879
0.005265400,-10.090416006
0.005504800,-10.085854569
0.005744100,-10.081291695
0.005983400,-10.072728822
0.006222800,-10.068167384
0.006462100,-10.063604511
0.006701500,-10.059043074
0.006940800,-10.046480200
0.007180100,-10.045917326
0.007419500,-10.041355889
0.007658800,-10.028793016
0.007898100,-10.024230142
0.008137500,-10.019668705
0.008376800,-10.007105831
0.008616200,-10.002544394
0.008855500,-9.997981521
0.009094800,-9.981418647
0.009334200,-9.976857210
0.009573500,-9.972294336
0.009812800,-9.967731463
0.010052200,-9.955170026
0.010291500,-9.946607152
0.010530900,-9.942045715
0.010770200,-9.929482841
0.011009500,-9.920919968
0.011248900,-9.916358530
0.011488200,-9.899795657
0.011727500,-9.895232783
0.011966900,-9.890671346
0.012206200,-9.882108473
0.012445600,-9.865547035
0.012684900,-9.860984162
0.012924200,-9.852421288
0.013163600,-9.835859851
0.013402900,-9.827296978
0.013642200,-9.822734104
0.013881600,-9.802172667
0.014120900,-9.797609793
0.014360300,-9.789048356
0.014599600,-9.780485482
0.014838900,-9.763922609
0.015078300,-9.755361172
0.015317600,-9.746798298
0.015556900,-9.726235425
0.015796300,-9.717673987
0.016035600,-9.709111114
0.016275000,-9.692549677
0.016514300,-9.683986803
0.016753600,-9.675423930
0.016993000,-9.666862492
0.017232300,-9.646299619
0.017471600,-9.633736745
0.017711000,-9.625175308
0.017950300,-9.604612434
0.018189700,-9.596050997
0.018429000,-9.587488124
0.018668300,-9.566925250
0.018907700,-9.554363813
0.019147000,-9.545800939
0.019386300,-9.525238066
0.019625700,-9.516676629
0.019865000,-9.504113755
0.020104400,-9.495552318
0.020343700,-9.474989444
0.020583000,-9.462426571
0.020822400,-9.453865134
0.021061700,-9.429302260
0.021301000,-9.420739386
0.021540400,-9.412177949
0.021779700,-9.387615076
0.022019100,-9.379053638
0.022258400,-9.370490765
0.022497700,-9.357927891
0.022737100,-9.337366454
0.022976400,-9.324803581
0.023215700,-9.316240707
0.023455100,-9.291679270
0.023694400,-9.283116396
0.023933800,-9.274554959
0.024173100,-9.249992086
0.024412400,-9.241429212
0.024651800,-9.232867775
0.024891100,-9.220304901
0.025130400,-9.199742028
0.025369800,-9.187180590
0.025609100,-9.178617717
0.025848500,-9.158056280
0.026087800,-9.145493406
0.026327100,-9.136930533
0.026566500,-9.116369095
0.026805800,-9.103806222
0.027045100,-9.095243348
0.027284500,-9.086681911
0.027523800,-9.062119037
0.027763200,-9.053557600
0.028002500,-9.044994727
0.028241800,-9.024431853
0.028481200,-9.011870416
0.028720500,-9.003307542
0.028959800,-8.982744669
0.029199200,-8.974183232
0.029438500,-8.965620358
0.029677900,-8.941058921
0.029917200,-8.932496047
0.030156500,-8.923933174
0.030395900,-8.915371737
0.030635200,-8.894808863
0.030874500,-8.886245989
0.031113900,-8.877684552
0.031353200,-8.857121679
0.031592600,-8.848560241
0.031831900,-8.839997368
0.032071200,-8.819434494
0.032310600,-8.810873057
0.032549900,-8.802310184
0.032789200,-8.793747310
0.033028600,-8.773185873
0.033267900,-8.764622999
0.033507300,-8.756061562
0.033746600,-8.735498689
0.033985900,-8.726935815
0.034225300,-8.718374378
0.034464600,-8.697811504
0.034703900,-8.689248631
0.034943300,-8.680687193
0.035182600,-8.672124320
0.035422000,-8.651562883
0.035661300,-8.643000009
0.035900600,-8.634437136
0.036140000,-8.613875698
0.036379300,-8.605312825
0.036618600,-8.596749951
0.036858000,-8.576188514
0.037097300,-8.567625641
0.037336700,-8.559064203
0.037576000,-8.550501330
0.037815300,-8.529938456
0.038054700,-8.521377019
0.038294000,-8.512814145
0.038533300,-8.492251272
0.038772700,-8.483689835
0.039012000,-8.475126961
0.039251400,-8.454565524
0.039490700,-8.446002650
0.039730000,-8.437439777
0.039969400,-8.428878340
0.040208700,-8.408315466
0.040448000,-8.399752593
0.040687400,-8.391191155
0.040926700,-8.366628282
0.041166100,-8.358066845
0.041405400,-8.349503971
0.041644700,-8.328941097
0.041884100,-8.320379660
0.042123400,-8.307816787
0.042362700,-8.287253913
0.042602100,-8.278692476
0.042841400,-8.270129602
0.043080800,-8.257568165
0.043320100,-8.237005292
0.043559400,-8.228442418
0.043798800,-8.215880981
0.044038100,-8.195318107
0.044277400,-8.182755234
0.044516800,-8.174193797
0.044756100,-8.149630923
0.044995500,-8.141069486
0.045234800,-8.132506612
0.045474100,-8.119943739
0.045713500,-8.095382301
0.045952800,-8.086819428
0.046192100,-8.074256554
0.046431500,-8.049695117
0.046670800,-8.041132244
0.046910200,-8.028570806
0.047149500,-8.008007933
0.047388800,-7.995445059
0.047628200,-7.982883622
0.047867500,-7.974320749
0.048106800,-7.949757875
0.048346200,-7.937196438
0.048585500,-7.928633564
0.048824900,-7.900072127
0.049064200,-7.891509253
0.049303500,-7.878946380
0.049542900,-7.854384943
0.049782200,-7.841822069
0.050021500,-7.833259196
0.050260900,-7.820697758
0.050500200,-7.796134885
0.050739600,-7.783573448
0.050978900,-7.775010574
0.051218200,-7.746447701
0.051457600,-7.737886263
0.051696900,-7.725323390
0.051936200,-7.700760516
0.052175600,-7.688199079
0.052414900,-7.675636205
0.052654300,-7.651074768
0.052893600,-7.638511895
0.053132900,-7.629949021
0.053372300,-7.617387584
0.053611600,-7.592824710
0.053850900,-7.580261837
0.054090300,-7.567700400
0.054329600,-7.543137526
0.054569000,-7.534576089
0.054808300,-7.522013215
0.055047600,-7.497450342
0.055287000,-7.484888905
0.055526300,-7.476326031
0.055765600,-7.463763157
0.056005000,-7.439201720
0.056244300,-7.426638847
0.056483700,-7.418077409
0.056723000,-7.393514536
0.056962300,-7.380951662
0.057201700,-7.372390225
0.057441000,-7.347827352
0.057680300,-7.335264478
0.057919700,-7.326703041
0.058159000,-7.314140167
0.058398400,-7.289578730
0.058637700,-7.281015856
0.058877000,-7.268452983
0.059116400,-7.243891546
0.059355700,-7.235328672
0.059595000,-7.226765799
0.059834400,-7.202204361
0.060073700,-7.193641488
0.060313100,-7.181080051
0.060552400,-7.172517177
0.060791700,-7.147954304
0.061031100,-7.139392866
0.061270400,-7.130829993
0.061509700,-7.106267119
0.061749100,-7.097705682
0.061988400,-7.089142808
0.062227800,-7.064581371
0.062467100,-7.056018498
0.062706400,-7.047455624
0.062945800,-7.034894187
0.063185100,-7.014331313
0.063424400,-7.005768440
0.063663800,-6.997207003
0.063903100,-6.976644129
0.064142500,-6.964082692
0.064381800,-6.955519818
0.064621100,-6.934956945
0.064860500,-6.926395508
0.065099800,-6.917832634
0.065339100,-6.897269760
0.065578500,-6.888708323
0.065817800,-6.880145450
0.066057200,-6.871584012
0.066296500,-6.851021139
0.066535800,-6.842458265
0.066775200,-6.833896828
0.067014500,-6.813333955
0.067253800,-6.804771081
0.067493200,-6.796209644
0.067732500,-6.775646770
0.067971900,-6.767085333
0.068211200,-6.758522460
0.068450500,-6.749959586
0.068689900,-6.729398149
0.068929200,-6.720835275
0.069168500,-6.716272402
0.069407900,-6.695710964
0.069647200,-6.687148091
0.069886600,-6.678586654
0.070125900,-6.658023780
0.070365200,-6.653460907
0.070604600,-6.644899469
0.070843900,-6.636336596
0.071083200,-6.615773722
0.071322600,-6.611212285
0.071561900,-6.602649412
0.071801300,-6.582087974
0.072040600,-6.573525101
0.072279900,-6.568962227
