Parámetro,Valor
Ra (Promedio Aritmético),1.474 µm
Rq (RMS),1.921 µm
Rp (Pico Máximo),5.052 µm
Rv (Valle Máximo),-6.940 µm
Rt (Altura Total del Perfil),11.992 µm
Rz (ISO 4287:1997),5.875 µm
Rsk (Asimetría),-0.338
Rku (Curtosis),3.913
RSm (Anchura Media de Elementos),343.860 µm
Rdq (Pendiente RMS),23.508 µm/mm
Rda (Pendiente Media Absoluta),18.091 µm/mm
Pc (Conteo de Picos),53.00 1/mm
Rpk (Altura de picos que se desgastan),0.546 µm
Rk (Profundidad del núcleo funcional),3.503 µm
Rvk (Profundidad de valles para lubricante),1.045 µm
Mr1 (%),19.97
Mr2 (%),88.63
