x (mm),altura (µm)
0.000000000,-0.106259712
0.000203500,-0.102153298
0.000406900,-0.094046937
0.000610400,-0.093940524
0.000813800,-0.093834163
0.001017300,-0.089727749
0.001220700,-0.089621388
0.001424200,-0.081514975
0.001627600,-0.081408614
0.001831100,-0.077302200
0.002034500,-0.077195839
0.002238000,-0.073089426
0.002441400,-0.068983065
0.002644900,-0.068876652
0.002848300,-0.064770291
0.003051800,-0.064663877
0.003255200,-0.060557516
0.003458700,-0.056451103
0.003662100,-0.056344742
0.003865600,-0.052238328
0.004069000,-0.052131967
0.004272500,-0.048025554
0.004475900,-0.043919193
0.004679400,-0.043812779
0.004882800,-0.043706418
0.005086300,-0.039600005
0.005289700,-0.035493644
0.005493200,-0.035387231
0.005696600,-0.035280870
0.005900100,-0.035174456
0.006103500,-0.027068095
0.006307000,-0.026961682
0.006510400,-0.026855321
0.006713900,-0.026748907
0.006917300,-0.022642546
0.007120800,-0.018536133
0.007324200,-0.018429772
0.007527700,-0.018323358
0.007731100,-0.018216997
0.007934600,-0.010110584
0.008138000,-0.010004223
0.008341500,-0.009897810
0.008544900,-0.009791449
0.008748400,-0.009685035
0.008951800,-0.005578674
0.009155300,-0.001472261
0.009358700,-0.001365900
0.009562200,-0.001259486
0.009765600,0.002846875
0.009969100,0.002953288
0.010172500,0.003059649
0.010376000,0.003166063
0.010579400,0.007272424
0.010782900,0.011378837
0.010986300,0.011485198
0.011189800,0.011591611
0.011393200,0.011697973
0.011596700,0.011804386
0.011800100,0.015910747
0.012003600,0.016017160
0.012207000,0.016123521
0.012410500,0.016229935
0.012613900,0.024336296
0.012817400,0.024442709
0.013020800,0.024549070
0.013224300,0.024655484
0.013427700,0.024761845
0.013631200,0.028868258
0.013834600,0.028974619
0.014038100,0.029081032
0.014241500,0.029187394
0.014445000,0.033293807
0.014648400,0.037400168
0.014851900,0.037506581
0.015055300,0.037612942
0.015258800,0.037719356
0.015462200,0.041825717
0.015665700,0.041932130
0.015869100,0.042038491
