x (mm),altura (µm)
0.000000000,0.477637940
0.000203500,0.485733297
0.000406900,0.497828607
0.000610400,0.505923963
0.000813800,0.514019273
0.001017300,0.526114630
0.001220700,0.534209940
0.001424200,0.542305297
0.001627600,0.546400607
0.001831100,0.558495963
0.002034500,0.566591273
0.002238000,0.574686630
0.002441400,0.586781940
0.002644900,0.594877297
0.002848300,0.598972607
0.003051800,0.611067963
0.003255200,0.623163273
0.003458700,0.627258630
0.003662100,0.635353940
0.003865600,0.647449297
0.004069000,0.651544607
0.004272500,0.663639964
0.004475900,0.675735273
0.004679400,0.679830630
0.004882800,0.687925940
0.005086300,0.696021297
0.005289700,0.708116607
0.005493200,0.712211964
0.005696600,0.720307274
0.005900100,0.728402630
0.006103500,0.736497940
0.006307000,0.744593297
0.006510400,0.752688607
0.006713900,0.760783964
0.006917300,0.764879274
0.007120800,0.776974630
0.007324200,0.785069940
0.007527700,0.789165297
0.007731100,0.797260607
0.007934600,0.801355964
0.008138000,0.809451274
0.008341500,0.817546631
0.008544900,0.825641940
0.008748400,0.829737297
0.008951800,0.833832607
0.009155300,0.841927964
0.009358700,0.850023274
0.009562200,0.854118631
0.009765600,0.866213941
0.009969100,0.870309297
0.010172500,0.874404607
0.010376000,0.882499964
0.010579400,0.890595274
0.010782900,0.894690631
0.010986300,0.898785941
0.011189800,0.910881297
0.011393200,0.914976607
0.011596700,0.919071964
0.011800100,0.927167274
0.012003600,0.931262631
0.012207000,0.939357941
0.012410500,0.943453298
0.012613900,0.951548607
0.012817400,0.955643964
0.013020800,0.959739274
0.013224300,0.971834631
0.013427700,0.975929941
0.013631200,0.980025298
0.013834600,0.988120608
0.014038100,0.992215964
0.014241500,1.000311274
0.014445000,1.004406631
0.014648400,1.012501941
0.014851900,1.016597298
0.015055300,1.020692608
0.015258800,1.032787964
0.015462200,1.040883274
0.015665700,1.044978631
0.015869100,1.053073941
0.016072600,1.057169298
0.016276000,1.065264608
0.016479500,1.077359964
0.016682900,1.081455274
0.016886400,1.085550631
0.017089800,1.089645941
0.017293300,1.105741298
0.017496700,1.109836608
0.017700200,1.113931965
0.017903600,1.126027274
0.018107100,1.130122631
0.018310500,1.138217941
0.018514000,1.150313298
0.018717400,1.154408608
0.018920900,1.158503965
0.019124300,1.166599275
0.019327800,1.178694631
0.019531300,1.186789988
0.019734700,1.190885298
0.019938200,1.202980655
0.020141600,1.211075965
0.020345100,1.215171322
0.020548500,1.227266631
0.020752000,1.231361988
0.020955400,1.235457298
0.021158900,1.247552655
0.021362300,1.255647965
0.021565800,1.263743322
0.021769200,1.267838632
0.021972700,1.279933988
0.022176100,1.288029298
0.022379600,1.292124655
0.022583000,1.304219965
0.022786500,1.308315322
0.022989900,1.312410632
0.023193400,1.320505988
0.023396800,1.332601298
0.023600300,1.336696655
0.023803700,1.340791965
0.024007200,1.352887322
0.024210600,1.360982632
0.024414100,1.365077988
0.024617500,1.373173298
0.024821000,1.377268655
0.025024400,1.385363965
0.025227900,1.397459322
0.025431300,1.401554632
0.025634800,1.405649989
0.025838200,1.409745298
0.026041700,1.421840655
0.026245100,1.425935965
0.026448600,1.430031322
0.026652000,1.438126632
0.026855500,1.442221989
0.027058900,1.450317299
0.027262400,1.458412655
0.027465800,1.458507965
0.027669300,1.462603322
0.027872700,1.466698632
0.028076200,1.478793989
0.028279600,1.482889299
0.028483100,1.486984655
0.028686500,1.491079965
0.028890000,1.495175322
0.029093400,1.503270632
0.029296900,1.507365989
0.029500300,1.511461299
0.029703800,1.515556656
0.029907200,1.519651965
0.030110700,1.527747322
0.030314100,1.527842632
0.030517600,1.531937989
0.030721000,1.536033299
0.030924500,1.544128656
0.031127900,1.544223966
0.031331400,1.552319322
0.031534800,1.552414632
0.031738300,1.556509989
0.031941700,1.560605299
0.032145200,1.564700656
0.032348600,1.568795966
0.032552100,1.568891322
0.032755500,1.572986632
0.032959000,1.581081989
0.033162400,1.581177299
0.033365900,1.585272656
0.033569300,1.589367966
0.033772800,1.593463323
0.033976200,1.593558632
0.034179700,1.597653989
0.034383100,1.601749299
0.034586600,1.601844656
0.034790000,1.609939966
0.034993500,1.610035323
0.035196900,1.614130633
0.035400400,1.614225989
0.035603800,1.618321299
0.035807300,1.622416656
0.036010700,1.626511966
0.036214200,1.626607323
0.036417600,1.626702633
0.036621100,1.630797989
0.036824500,1.634893299
0.037028000,1.634988656
0.037231400,1.639083966
0.037434900,1.639179323
0.037638300,1.643274633
0.037841800,1.647369989
0.038045200,1.647465299
0.038248700,1.647560656
0.038452100,1.647655966
0.038655600,1.655751323
0.038859000,1.655846633
0.039062500,1.655941990
0.039266000,1.656037346
0.039469400,1.660132656
0.039672900,1.664228013
0.039876300,1.664323323
0.040079800,1.664418680
0.040283200,1.664513990
0.040486700,1.668609346
0.040690100,1.672704656
0.040893600,1.672800013
0.041097000,1.672895323
0.041300500,1.672990680
0.041503900,1.677085990
0.041707400,1.677181347
0.041910800,1.677276656
0.042114300,1.677372013
0.042317700,1.681467323
0.042521200,1.681562680
0.042724600,1.681657990
0.042928100,1.681753347
0.043131500,1.681848657
0.043335000,1.685944013
0.043538400,1.686039323
0.043741900,1.686134680
0.043945300,1.686229990
0.044148800,1.686325347
0.044352200,1.690420657
0.044555700,1.690516013
0.044759100,1.690611323
0.044962600,1.690706680
0.045166000,1.694801990
0.045369500,1.694897347
0.045572900,1.690992657
0.045776400,1.691088013
0.045979800,1.691183323
0.046183300,1.695278680
0.046386700,1.695373990
0.046590200,1.695469347
0.046793600,1.695564657
0.046997100,1.691660014
0.047200500,1.695755324
0.047404000,1.695850680
0.047607400,1.695945990
0.047810900,1.696041347
0.048014300,1.700136657
0.048217800,1.696232014
0.048421200,1.696327324
0.048624700,1.696422680
0.048828100,1.696517990
0.049031600,1.696613347
0.049235000,1.696708657
0.049438500,1.696804014
0.049641900,1.696899324
0.049845400,1.696994680
0.050048800,1.697089990
0.050252300,1.697185347
0.050455700,1.697280657
0.050659200,1.693376014
0.050862600,1.697471324
0.051066100,1.697566681
0.051269500,1.693661990
0.051473000,1.693757347
0.051676400,1.693852657
0.051879900,1.693948014
0.052083300,1.694043324
0.052286800,1.694138681
0.052490200,1.690233991
0.052693700,1.694329347
0.052897100,1.690424657
0.053100600,1.690520014
0.053304000,1.690615324
0.053507500,1.686710681
0.053710900,1.690805991
0.053914400,1.686901347
0.054117800,1.686996657
0.054321300,1.683092014
0.054524700,1.687187324
0.054728200,1.683282681
0.054931600,1.679377991
0.055135100,1.679473348
0.055338500,1.675568657
0.055542000,1.675664014
0.055745400,1.675759324
0.055948900,1.671854681
0.056152300,1.667949991
0.056355800,1.668045348
0.056559200,1.664140658
0.056762700,1.664236014
0.056966100,1.656331324
0.057169600,1.656426681
0.057373000,1.656521991
0.057576500,1.648617348
0.057779900,1.644712658
0.057983400,1.640808014
0.058186800,1.640903324
0.058390300,1.636998681
0.058593800,1.633094038
0.058797200,1.629189348
0.059000700,1.617284705
0.059204100,1.617380014
0.059407600,1.613475371
0.059611000,1.605570681
0.059814500,1.601666038
0.060017900,1.597761348
0.060221400,1.593856705
0.060424800,1.581952015
0.060628300,1.578047371
0.060831700,1.570142681
0.061035200,1.566238038
0.061238600,1.558333348
0.061442100,1.550428705
0.061645500,1.538524015
0.061849000,1.538619371
0.062052400,1.530714681
0.062255900,1.522810038
0.062459300,1.510905348
0.062662800,1.503000705
0.062866200,1.499096015
0.063069700,1.487191372
0.063273100,1.479286681
0.063476600,1.471382038
0.063680000,1.459477348
0.063883500,1.451572705
0.064086900,1.443668015
0.064290400,1.427763372
0.064493800,1.419858682
0.064697300,1.415954038
0.064900700,1.408049348
0.065104200,1.392144705
0.065307600,1.384240015
0.065511100,1.380335372
0.065714500,1.360430682
0.065918000,1.352526038
0.066121400,1.344621348
0.066324900,1.332716705
0.066528300,1.324812015
0.066731800,1.316907372
0.066935200,1.309002682
0.067138700,1.289098039
0.067342100,1.285193348
0.067545600,1.277288705
0.067749000,1.261384015
0.067952500,1.253479372
0.068155900,1.249574682
0.068359400,1.233670039
0.068562800,1.225765349
0.068766300,1.217860705
0.068969700,1.209956015
0.069173200,1.198051372
0.069376600,1.190146682
0.069580100,1.186242039
0.069783500,1.170337349
0.069987000,1.166432705
0.070190400,1.162528015
0.070393900,1.146623372
0.070597300,1.142718682
0.070800800,1.134814039
0.071004200,1.134909349
0.071207700,1.123004705
0.071411100,1.115100015
0.071614600,1.111195372
0.071818000,1.103290682
0.072021500,1.099386039
0.072224900,1.095481349
0.072428400,1.083576706
0.072631800,1.083672015
0.072835300,1.079767372
0.073038700,1.071862682
0.073242200,1.067958039
0.073445600,1.068053349
0.073649100,1.068148706
0.073852500,1.060244016
0.074056000,1.060339372
0.074259400,1.056434682
0.074462900,1.056530039
0.074666300,1.052625349
0.074869800,1.052720706
0.075073200,1.048816016
0.075276700,1.052911372
0.075480100,1.053006682
0.075683600,1.049102039
0.075887000,1.049197349
0.076090500,1.049292706
0.076293900,1.053388016
0.076497400,1.053483373
0.076700800,1.053578682
0.076904300,1.053674039
0.077107700,1.057769349
0.077311200,1.057864706
0.077514600,1.061960016
0.077718100,1.062055373
0.077921500,1.070150683
0.078125000,1.070246039
0.078328500,1.070341396
0.078531900,1.074436706
0.078735400,1.078532063
0.078938800,1.082627373
0.079142300,1.086722729
0.079345700,1.090818039
0.079549200,1.094913396
0.079752600,1.099008706
0.079956100,1.107104063
0.080159500,1.107199373
0.080363000,1.111294730
0.080566400,1.123390039
0.080769900,1.127485396
0.080973300,1.127580706
0.081176800,1.135676063
0.081380200,1.139771373
0.081583700,1.147866730
0.081787100,1.151962040
0.081990600,1.156057396
0.082194000,1.160152706
0.082397500,1.168248063
0.082600900,1.176343373
0.082804400,1.180438730
0.083007800,1.184534040
0.083211300,1.192629396
0.083414700,1.196724706
0.083618200,1.200820063
0.083821600,1.208915373
0.084025100,1.213010730
0.084228500,1.221106040
0.084432000,1.225201397
0.084635400,1.233296706
0.084838900,1.233392063
0.085042300,1.241487373
0.085245800,1.249582730
0.085449200,1.253678040
0.085652700,1.257773397
0.085856100,1.265868707
0.086059600,1.269964063
0.086263000,1.274059373
0.086466500,1.278154730
0.086669900,1.286250040
0.086873400,1.290345397
0.087076800,1.290440707
0.087280300,1.298536063
0.087483700,1.298631373
0.087687200,1.306726730
0.087890600,1.310822040
0.088094100,1.314917397
0.088297500,1.315012707
0.088501000,1.323108064
0.088704400,1.327203373
0.088907900,1.327298730
0.089111300,1.331394040
0.089314800,1.339489397
0.089518200,1.339584707
0.089721700,1.343680064
0.089925100,1.343775374
0.090128600,1.351870730
0.090332000,1.351966040
0.090535500,1.352061397
0.090738900,1.356156707
0.090942400,1.356252064
0.091145800,1.360347374
0.091349300,1.364442730
0.091552700,1.364538040
0.091756200,1.364633397
0.091959600,1.368728707
0.092163100,1.368824064
0.092366500,1.368919374
0.092570000,1.369014730
0.092773400,1.373110040
0.092976900,1.373205397
0.093180300,1.373300707
0.093383800,1.373396064
0.093587200,1.377491374
0.093790700,1.377586731
0.093994100,1.377682040
0.094197600,1.377777397
0.094401000,1.377872707
0.094604500,1.377968064
0.094807900,1.378063374
0.095011400,1.378158731
0.095214800,1.374254041
0.095418300,1.378349397
0.095621700,1.378444707
0.095825200,1.374540064
0.096028600,1.374635374
0.096232100,1.374730731
0.096435500,1.374826041
0.096639000,1.370921397
0.096842400,1.371016707
0.097045900,1.371112064
0.097249300,1.371207374
0.097452800,1.367302731
0.097656200,1.363398041
0.097859700,1.367493398
0.098063200,1.363588754
0.098266600,1.359684064
0.098470100,1.359779421
0.098673500,1.351874731
0.098877000,1.355970088
0.099080400,1.352065398
0.099283900,1.348160754
0.099487300,1.344256064
0.099690800,1.344351421
0.099894200,1.340446731
0.100097700,1.336542088
0.100301100,1.332637398
0.100504600,1.332732754
0.100708000,1.328828064
0.100911500,1.324923421
0.101114900,1.321018731
0.101318400,1.317114088
0.101521800,1.313209398
0.101725300,1.309304755
0.101928700,1.305400064
0.102132200,1.301495421
0.102335600,1.297590731
0.102539100,1.293686088
0.102742500,1.285781398
0.102946000,1.285876755
0.103149400,1.281972065
0.103352900,1.274067421
0.103556300,1.270162731
0.103759800,1.266258088
0.103963200,1.262353398
0.104166700,1.254448755
0.104370100,1.250544065
0.104573600,1.242639421
0.104777000,1.238734731
0.104980500,1.234830088
0.105183900,1.226925398
0.105387400,1.219020755
0.105590800,1.215116065
0.105794300,1.211211422
0.105997700,1.207306731
0.106201200,1.195402088
0.106404600,1.195497398
0.106608100,1.187592755
0.106811500,1.175688065
0.107015000,1.171783422
0.107218400,1.167878732
0.107421900,1.155974088
0.107625300,1.152069398
0.107828800,1.144164755
0.108032200,1.144260065
0.108235700,1.132355422
0.108439100,1.124450732
0.108642600,1.116546088
0.108846000,1.108641398
0.109049500,1.104736755
0.109252900,1.096832065
0.109456400,1.084927422
0.109659800,1.081022732
0.109863300,1.073118089
0.110066700,1.065213398
0.110270200,1.053308755
0.110473600,1.049404065
0.110677100,1.041499422
0.110880500,1.029594732
0.111084000,1.021690089
0.111287400,1.017785399
0.111490900,1.001880755
0.111694300,0.993976065
0.111897800,0.986071422
