Parámetro,Valor
Ra (Promedio Aritmético),2.251 µm
Rq (RMS),2.782 µm
Rp (Pico Máximo),6.280 µm
Rv (Valle Máximo),-7.220 µm
Rt (Altura Total del Perfil),13.500 µm
Rz (ISO 4287:1997),8.454 µm
Rsk (Asimetría),-0.053
Rku (Curtosis),2.576
RSm (Anchura Media de Elementos),221.306 µm
Rdq (Pendiente RMS),40.220 µm/mm
Rda (Pendiente Media Absoluta),30.587 µm/mm
Pc (Conteo de Picos),68.60 1/mm
Rpk (Altura de picos que se desgastan),1.109 µm
Rk (Profundidad del núcleo funcional),1.932 µm
Rvk (Profundidad de valles para lubricante),1.109 µm
Mr1 (%),20.78
Mr2 (%),53.13
