x (mm),altura (µm)
0.000000000,3.233680058
0.000203500,3.239586502
0.000406900,3.249492010
0.000610400,3.255398454
0.000813800,3.265303962
0.001017300,3.275210406
0.001220700,3.281115914
0.001424200,3.287022358
0.001627600,3.288927865
0.001831100,3.298834310
0.002034500,3.304739817
0.002238000,3.310646262
0.002441400,3.320551769
0.002644900,3.322458214
0.002848300,3.328363721
0.003051800,3.338270166
0.003255200,3.340175673
0.003458700,3.346082118
0.003662100,3.351987625
0.003865600,3.357894070
0.004069000,3.359799577
0.004272500,3.365706022
0.004475900,3.371611529
0.004679400,3.373517974
0.004882800,3.379423481
0.005086300,3.381329926
0.005289700,3.387235433
0.005493200,3.389141878
0.005696600,3.391047385
0.005900100,3.396953830
0.006103500,3.398859337
0.006307000,3.400765782
0.006510400,3.402671289
0.006713900,3.404577734
0.006917300,3.406483241
0.007120800,3.408389686
0.007324200,3.410295193
0.007527700,3.408201638
0.007731100,3.410107145
0.007934600,3.412013590
0.008138000,3.409919097
0.008341500,3.411825541
0.008544900,3.409731049
0.008748400,3.411637493
0.008951800,3.409543001
0.009155300,3.407449445
0.009358700,3.405354953
0.009562200,3.407261397
0.009765600,3.401166905
0.009969100,3.403073349
0.010172500,3.400978857
0.010376000,3.398885301
0.010579400,3.392790809
0.010782900,3.390697253
0.010986300,3.388602761
0.011189800,3.382509205
0.011393200,3.380414713
0.011596700,3.378321157
0.011800100,3.368226665
0.012003600,3.366133109
0.012207000,3.360038617
0.012410500,3.357945061
0.012613900,3.347850569
0.012817400,3.345757013
0.013020800,3.339662521
0.013224300,3.329568965
0.013427700,3.323474473
0.013631200,3.321380917
0.013834600,3.307286425
0.014038100,3.301192869
0.014241500,3.299098377
0.014445000,3.293004821
0.014648400,3.278910329
0.014851900,3.272816773
0.015055300,3.266722281
0.015258800,3.252628725
0.015462200,3.246534233
0.015665700,3.240440677
0.015869100,3.222346185
0.016072600,3.216252629
0.016276000,3.210158137
0.016479500,3.192064581
0.016682900,3.185970089
0.016886400,3.179876533
0.017089800,3.169782041
0.017293300,3.151688485
0.017496700,3.145593993
0.017700200,3.139500437
0.017903600,3.121405945
0.018107100,3.111312389
0.018310500,3.105217896
0.018514000,3.087124341
0.018717400,3.077029848
0.018920900,3.070936293
0.019124300,3.060841800
0.019327800,3.042748245
0.019531300,3.036654689
0.019734700,3.026560197
0.019938200,3.008466641
0.020141600,3.002372149
0.020345100,2.992278593
0.020548500,2.978184101
0.020752000,2.968090545
0.020955400,2.961996053
0.021158900,2.951902497
0.021362300,2.933808005
0.021565800,2.927714449
0.021769200,2.921619957
0.021972700,2.903526401
0.022176100,2.897431909
0.022379600,2.891338353
0.022583000,2.873243861
0.022786500,2.867150305
0.022989900,2.861055813
0.023193400,2.854962257
0.023396800,2.836867765
0.023600300,2.830774209
0.023803700,2.824679717
0.024007200,2.810586161
0.024210600,2.804491669
0.024414100,2.802398113
0.024617500,2.788303621
0.024821000,2.782210065
0.025024400,2.776115572
0.025227900,2.766022017
0.025431300,2.759927524
0.025634800,2.757833969
0.025838200,2.751739476
0.026041700,2.741645921
0.026245100,2.735551428
0.026448600,2.733457873
0.026652000,2.723363380
0.026855500,2.721269825
0.027058900,2.719175332
0.027262400,2.709081777
0.027465800,2.706987284
0.027669300,2.704893729
0.027872700,2.702799236
0.028076200,2.692705681
0.028279600,2.690611188
0.028483100,2.688517633
0.028686500,2.682423140
0.028890000,2.680329585
0.029093400,2.678235092
0.029296900,2.672141537
0.029500300,2.674047044
0.029703800,2.671953489
0.029907200,2.669858996
0.030110700,2.663765441
0.030314100,2.665670948
0.030517600,2.663577393
0.030721000,2.657482900
0.030924500,2.659389345
0.031127900,2.657294852
0.031331400,2.655201297
0.031534800,2.653106804
0.031738300,2.651013248
