x (mm),altura (µm)
0.000000000,-0.449918755
0.000203500,-0.445848422
0.000406900,-0.437778122
0.000610400,-0.433707789
0.000813800,-0.425637490
0.001017300,-0.413567156
0.001220700,-0.409496857
0.001424200,-0.405426523
0.001627600,-0.405356224
0.001831100,-0.397285891
0.002034500,-0.393215591
0.002238000,-0.389145258
0.002441400,-0.377074959
0.002644900,-0.377004625
0.002848300,-0.372934326
0.003051800,-0.364863992
0.003255200,-0.364793693
0.003458700,-0.360723360
0.003662100,-0.356653060
0.003865600,-0.352582727
0.004069000,-0.348512428
0.004272500,-0.344442094
0.004475900,-0.340371795
0.004679400,-0.340301461
0.004882800,-0.336231162
0.005086300,-0.336160829
0.005289700,-0.332090529
0.005493200,-0.328020196
0.005696600,-0.327949897
0.005900100,-0.323879563
0.006103500,-0.323809264
0.006307000,-0.323738930
0.006510400,-0.323668631
0.006713900,-0.323598297
0.006917300,-0.319527998
0.007120800,-0.319457665
0.007324200,-0.319387366
0.007527700,-0.323317032
0.007731100,-0.323246733
0.007934600,-0.323176399
0.008138000,-0.327106100
0.008341500,-0.327035766
0.008544900,-0.326965467
0.008748400,-0.326895134
0.008951800,-0.330824835
0.009155300,-0.334754501
0.009358700,-0.338684202
0.009562200,-0.338613868
0.009765600,-0.346543569
0.009969100,-0.342473235
0.010172500,-0.346402936
0.010376000,-0.350332603
0.010579400,-0.358262304
0.010782900,-0.362191970
0.010986300,-0.366121671
0.011189800,-0.374051337
0.011393200,-0.373981038
0.011596700,-0.377910704
0.011800100,-0.389840405
0.012003600,-0.393770072
0.012207000,-0.401699773
0.012410500,-0.405629439
0.012613900,-0.417559140
0.012817400,-0.421488806
0.013020800,-0.425418507
0.013224300,-0.437348173
0.013427700,-0.445277874
0.013631200,-0.449207541
0.013834600,-0.465137242
0.014038100,-0.473066908
0.014241500,-0.476996609
0.014445000,-0.480926275
0.014648400,-0.496855976
0.014851900,-0.504785642
0.015055300,-0.512715343
0.015258800,-0.528645010
0.015462200,-0.536574711
0.015665700,-0.544504377
0.015869100,-0.560434078
0.016072600,-0.568363744
0.016276000,-0.576293445
0.016479500,-0.596223111
0.016682900,-0.604152812
0.016886400,-0.612082479
0.017089800,-0.624012180
0.017293300,-0.639941846
0.017496700,-0.647871547
0.017700200,-0.655801213
0.017903600,-0.675730914
0.018107100,-0.687660580
0.018310500,-0.695590281
0.018514000,-0.715519948
0.018717400,-0.723449649
0.018920900,-0.731379315
0.019124300,-0.743309016
0.019327800,-0.763238682
0.019531300,-0.771168348
0.019734700,-0.783098049
0.019938200,-0.803027716
0.020141600,-0.806957417
0.020345100,-0.818887083
0.020548500,-0.834816784
0.020752000,-0.846746450
0.020955400,-0.854676151
0.021158900,-0.866605817
0.021362300,-0.886535518
0.021565800,-0.890465185
0.021769200,-0.898394886
0.021972700,-0.918324552
0.022176100,-0.926254253
0.022379600,-0.934183919
0.022583000,-0.954113620
0.022786500,-0.962043286
0.022989900,-0.965972987
0.023193400,-0.973902654
0.023396800,-0.993832355
0.023600300,-1.001762021
0.023803700,-1.009691722
0.024007200,-1.025621388
0.024210600,-1.033551089
0.024414100,-1.033480755
0.024617500,-1.049410456
0.024821000,-1.057340123
0.025024400,-1.065269824
0.025227900,-1.077199490
0.025431300,-1.085129191
0.025634800,-1.089058857
0.025838200,-1.092988558
0.026041700,-1.104918224
0.026245100,-1.112847925
0.026448600,-1.116777592
0.026652000,-1.128707293
0.026855500,-1.132636959
0.027058900,-1.132566660
0.027262400,-1.144496326
0.027465800,-1.148426027
0.027669300,-1.152355693
0.027872700,-1.156285394
0.028076200,-1.168215061
0.028279600,-1.172144762
0.028483100,-1.172074428
0.028686500,-1.180004129
0.028890000,-1.183933795
0.029093400,-1.187863496
0.029296900,-1.195793162
0.029500300,-1.195722863
0.029703800,-1.199652530
0.029907200,-1.199582231
0.030110700,-1.207511897
0.030314100,-1.207441598
0.030517600,-1.211371264
0.030721000,-1.219300965
0.030924500,-1.219230631
0.031127900,-1.219160332
0.031331400,-1.223089999
0.031534800,-1.227019699
0.031738300,-1.230949366
0.031941700,-1.230879067
0.032145200,-1.238808733
0.032348600,-1.238738434
0.032552100,-1.238668100
0.032755500,-1.242597801
0.032959000,-1.246527468
0.033162400,-1.246457168
0.033365900,-1.250386835
0.033569300,-1.254316536
0.033772800,-1.258246202
0.033976200,-1.254175903
0.034179700,-1.258105569
0.034383100,-1.262035270
0.034586600,-1.265964937
0.034790000,-1.269894637
0.034993500,-1.273824304
0.035196900,-1.269754005
0.035400400,-1.277683671
0.035603800,-1.277613372
0.035807300,-1.281543038
0.036010700,-1.285472739
0.036214200,-1.289402406
0.036417600,-1.293332106
0.036621100,-1.289261773
0.036824500,-1.297191474
0.037028000,-1.301121140
0.037231400,-1.305050841
0.037434900,-1.308980507
0.037638300,-1.312910208
0.037841800,-1.312839875
0.038045200,-1.316769575
0.038248700,-1.320699242
0.038452100,-1.324628943
0.038655600,-1.328558609
0.038859000,-1.336488310
0.039062500,-1.340417976
0.039266000,-1.340347643
0.039469400,-1.348277344
0.039672900,-1.352207010
0.039876300,-1.356136711
0.040079800,-1.364066377
0.040283200,-1.367996078
0.040486700,-1.367925744
0.040690100,-1.371855445
0.040893600,-1.379785112
0.041097000,-1.383714812
0.041300500,-1.387644479
0.041503900,-1.395574180
0.041707400,-1.395503846
0.041910800,-1.399433547
0.042114300,-1.411363213
0.042317700,-1.415292914
0.042521200,-1.419222581
0.042724600,-1.423152281
0.042928100,-1.431081948
0.043131500,-1.435011649
0.043335000,-1.438941315
0.043538400,-1.446871016
0.043741900,-1.450800682
0.043945300,-1.454730383
0.044148800,-1.466660050
0.044352200,-1.466589750
0.044555700,-1.470519417
0.044759100,-1.482449118
0.044962600,-1.486378784
0.045166000,-1.490308485
0.045369500,-1.494238151
0.045572900,-1.502167852
0.045776400,-1.506097519
0.045979800,-1.510027219
0.046183300,-1.517956886
0.046386700,-1.521886587
0.046590200,-1.525816253
0.046793600,-1.533745954
0.046997100,-1.537675620
0.047200500,-1.541605321
0.047404000,-1.545534988
0.047607400,-1.553464688
0.047810900,-1.557394355
0.048014300,-1.561324056
0.048217800,-1.565253722
0.048421200,-1.569183423
0.048624700,-1.573113089
0.048828100,-1.581042790
0.049031600,-1.584972457
0.049235000,-1.588902157
0.049438500,-1.588831824
0.049641900,-1.596761525
0.049845400,-1.600691191
0.050048800,-1.604620892
0.050252300,-1.608550558
0.050455700,-1.612480259
0.050659200,-1.612409925
0.050862600,-1.620339626
0.051066100,-1.620269293
0.051269500,-1.624198994
0.051473000,-1.628128660
0.051676400,-1.632058361
