Parámetro,Valor
Ra (Promedio Aritmético),1.837 µm
Rq (RMS),2.413 µm
Rp (Pico Máximo),8.272 µm
Rv (Valle Máximo),-5.536 µm
Rt (Altura Total del Perfil),13.808 µm
Rz (ISO 4287:1997),6.935 µm
Rsk (Asimetría),1.025
Rku (Curtosis),4.397
RSm (Anchura Media de Elementos),217.850 µm
Rdq (Pendiente RMS),36.334 µm/mm
Rda (Pendiente Media Absoluta),28.146 µm/mm
Pc (Conteo de Picos),58.20 1/mm
Rpk (Altura de picos que se desgastan),1.000 µm
Rk (Profundidad del núcleo funcional),1.321 µm
Rvk (Profundidad de valles para lubricante),0.366 µm
Mr1 (%),49.58
Mr2 (%),76.45
