x (mm),altura (µm)
0.000000000,19.735851370
0.000203500,19.734153831
0.000406900,19.724457126
0.000610400,19.718759586
0.000813800,19.717062881
0.001017300,19.707365342
0.001220700,19.701668637
0.001424200,19.695971097
0.001627600,19.690274392
0.001831100,19.680576853
0.002034500,19.674880148
0.002238000,19.669182608
0.002441400,19.659485903
0.002644900,19.653788364
0.002848300,19.648091659
0.003051800,19.638394119
0.003255200,19.632697414
0.003458700,19.626999875
0.003662100,19.621303170
0.003865600,19.607605630
0.004069000,19.601908925
0.004272500,19.596211386
0.004475900,19.582514681
0.004679400,19.576817141
0.004882800,19.567120436
0.005086300,19.553422897
0.005289700,19.547726192
0.005493200,19.542028652
0.005696600,19.532331947
0.005900100,19.518634408
0.006103500,19.508937703
0.006307000,19.503240163
0.006510400,19.485543458
0.006713900,19.479845919
0.006917300,19.470149213
0.007120800,19.452451674
0.007324200,19.446754969
0.007527700,19.437057430
0.007731100,19.419360724
0.007934600,19.409663185
0.008138000,19.399966480
0.008341500,19.390268941
0.008544900,19.372572235
0.008748400,19.362874696
0.008951800,19.353177991
0.009155300,19.335480452
0.009358700,19.325783746
0.009562200,19.316086207
0.009765600,19.298389502
0.009969100,19.288691963
0.010172500,19.278995257
0.010376000,19.265297718
0.010579400,19.247601013
0.010782900,19.237903473
0.010986300,19.228206768
0.011189800,19.206509229
0.011393200,19.196812524
0.011596700,19.187114984
0.011800100,19.165418279
0.012003600,19.155720740
0.012207000,19.146024035
0.012410500,19.132326495
0.012613900,19.114629790
0.012817400,19.104932251
0.013020800,19.091235546
0.013224300,19.073538006
0.013427700,19.063841301
0.013631200,19.054143762
0.013834600,19.032447057
0.014038100,19.022749517
0.014241500,19.013052812
0.014445000,19.003355273
0.014648400,18.985658568
0.014851900,18.975961028
0.015055300,18.966264323
0.015258800,18.948566784
0.015462200,18.938870079
0.015665700,18.929172539
0.015869100,18.915475834
0.016072600,18.905778295
0.016276000,18.896081590
0.016479500,18.882384050
0.016682900,18.872687345
0.016886400,18.866989806
0.017089800,18.857293101
0.017293300,18.843595561
0.017496700,18.837898856
0.017700200,18.828201317
0.017903600,18.814504612
0.018107100,18.808807072
0.018310500,18.803110367
0.018514000,18.793412828
0.018717400,18.783716122
0.018920900,18.778018583
0.019124300,18.772321878
0.019327800,18.762624339
0.019531300,18.756926799
0.019734700,18.751230094
0.019938200,18.745532555
0.020141600,18.739835850
0.020345100,18.734138310
0.020548500,18.728441605
0.020752000,18.722744066
0.020955400,18.721047361
0.021158900,18.715349821
0.021362300,18.709653116
0.021565800,18.707955577
0.021769200,18.702258872
0.021972700,18.696561332
0.022176100,18.694864627
0.022379600,18.689167088
0.022583000,18.687470382
0.022786500,18.681772843
0.022989900,18.680076138
0.023193400,18.678378599
0.023396800,18.672681893
0.023600300,18.670984354
0.023803700,18.669287649
0.024007200,18.667590110
0.024210600,18.661893404
0.024414100,18.660195865
0.024617500,18.658499160
0.024821000,18.656801621
0.025024400,18.651104915
0.025227900,18.649407376
0.025431300,18.647710671
0.025634800,18.646013132
0.025838200,18.644316426
0.026041700,18.642618887
0.026245100,18.636922182
0.026448600,18.635224643
0.026652000,18.633527937
0.026855500,18.631830398
0.027058900,18.630133693
0.027262400,18.624436153
0.027465800,18.622739448
0.027669300,18.621041909
0.027872700,18.619345204
0.028076200,18.617647664
0.028279600,18.611950959
0.028483100,18.610253420
0.028686500,18.608556715
0.028890000,18.606859175
0.029093400,18.601162470
0.029296900,18.599464931
0.029500300,18.597768226
0.029703800,18.596070686
0.029907200,18.590373981
0.030110700,18.588676442
0.030314100,18.586979737
0.030517600,18.581282197
0.030721000,18.579585492
0.030924500,18.573887953
0.031127900,18.572191248
0.031331400,18.570493708
0.031534800,18.564797003
0.031738300,18.563099464
0.031941700,18.561402759
0.032145200,18.555705219
0.032348600,18.554008514
0.032552100,18.552310975
0.032755500,18.546614270
0.032959000,18.544916730
0.033162400,18.543220025
0.033365900,18.537522486
0.033569300,18.535825781
0.033772800,18.530128241
0.033976200,18.528431536
0.034179700,18.526733997
0.034383100,18.521037292
0.034586600,18.519339752
0.034790000,18.517643047
0.034993500,18.511945508
0.035196900,18.510248802
0.035400400,18.508551263
0.035603800,18.506854558
0.035807300,18.501157019
0.036010700,18.499460313
0.036214200,18.497762774
0.036417600,18.496066069
0.036621100,18.494368530
0.036824500,18.488671824
0.037028000,18.486974285
0.037231400,18.485277580
0.037434900,18.483580041
0.037638300,18.481883335
0.037841800,18.480185796
0.038045200,18.478489091
0.038248700,18.476791552
0.038452100,18.475094846
0.038655600,18.473397307
0.038859000,18.471700602
0.039062500,18.470003062
0.039266000,18.468305523
0.039469400,18.466608818
0.039672900,18.464911279
0.039876300,18.463214573
0.040079800,18.461517034
0.040283200,18.459820329
0.040486700,18.462122790
0.040690100,18.460426084
0.040893600,18.458728545
0.041097000,18.457031840
0.041300500,18.455334301
