Parámetro,Valor
Ra (Promedio Aritmético),1.795 µm
Rq (RMS),2.146 µm
Rp (Pico Máximo),4.464 µm
Rv (Valle Máximo),-6.284 µm
Rt (Altura Total del Perfil),10.748 µm
Rz (ISO 4287:1997),5.976 µm
Rsk (Asimetría),-0.035
Rku (Curtosis),2.291
RSm (Anchura Media de Elementos),244.524 µm
Rdq (Pendiente RMS),28.709 µm/mm
Rda (Pendiente Media Absoluta),21.006 µm/mm
Pc (Conteo de Picos),167.60 1/mm
Rpk (Altura de picos que se desgastan),0.407 µm
Rk (Profundidad del núcleo funcional),2.795 µm
Rvk (Profundidad de valles para lubricante),0.257 µm
Mr1 (%),13.75
Mr2 (%),56.54
