Parámetro,Valor
Ra (Promedio Aritmético),1.941 µm
Rq (RMS),2.598 µm
Rp (Pico Máximo),5.692 µm
Rv (Valle Máximo),-8.320 µm
Rt (Altura Total del Perfil),14.012 µm
Rz (ISO 4287:1997),7.376 µm
Rsk (Asimetría),-0.276
Rku (Curtosis),3.552
RSm (Anchura Media de Elementos),110.683 µm
Rdq (Pendiente RMS),26.343 µm/mm
Rda (Pendiente Media Absoluta),20.298 µm/mm
Pc (Conteo de Picos),127.00 1/mm
Rpk (Altura de picos que se desgastan),1.270 µm
Rk (Profundidad del núcleo funcional),1.259 µm
Rvk (Profundidad de valles para lubricante),1.064 µm
Mr1 (%),31.48
Mr2 (%),59.50
