x (mm),altura (µm)
0.000000000,9.164801302
0.000203500,9.167823938
0.000406900,9.170847055
0.000610400,9.173869691
0.000813800,9.176892808
0.001017300,9.179915444
0.001220700,9.182938561
0.001424200,9.181961198
0.001627600,9.184984314
0.001831100,9.188006951
0.002034500,9.191030067
0.002238000,9.194052704
0.002441400,9.197075820
0.002644900,9.200098457
0.002848300,9.199121573
0.003051800,9.206144210
0.003255200,9.205167326
0.003458700,9.208189963
0.003662100,9.211213079
0.003865600,9.214235716
0.004069000,9.217258833
0.004272500,9.216281469
0.004475900,9.219304586
0.004679400,9.222327222
0.004882800,9.225350339
0.005086300,9.228372975
0.005289700,9.231396092
0.005493200,9.230418728
0.005696600,9.233441845
0.005900100,9.236464481
0.006103500,9.239487598
0.006307000,9.242510234
0.006510400,9.245533351
0.006713900,9.244555987
0.006917300,9.247579104
0.007120800,9.250601740
0.007324200,9.253624857
0.007527700,9.256647493
0.007731100,9.259670610
0.007934600,9.262693246
0.008138000,9.261716363
0.008341500,9.264739000
0.008544900,9.267762116
0.008748400,9.270784753
0.008951800,9.273807869
0.009155300,9.276830506
0.009358700,9.279853622
0.009562200,9.282876259
0.009765600,9.285899375
0.009969100,9.288922012
0.010172500,9.287945128
0.010376000,9.290967765
0.010579400,9.293990882
0.010782900,9.297013518
0.010986300,9.300036635
0.011189800,9.303059271
0.011393200,9.306082388
0.011596700,9.309105024
0.011800100,9.312128141
0.012003600,9.315150777
0.012207000,9.314173894
0.012410500,9.317196530
0.012613900,9.320219647
0.012817400,9.323242283
0.013020800,9.326265400
0.013224300,9.329288036
0.013427700,9.332311153
0.013631200,9.331333789
0.013834600,9.338356906
0.014038100,9.337379542
0.014241500,9.340402659
0.014445000,9.339425295
0.014648400,9.346448412
0.014851900,9.345471049
0.015055300,9.348494165
0.015258800,9.351516802
0.015462200,9.350539918
0.015665700,9.353562555
0.015869100,9.356585671
0.016072600,9.355608308
0.016276000,9.358631424
0.016479500,9.361654061
0.016682900,9.360677177
0.016886400,9.359699814
0.017089800,9.362722930
0.017293300,9.361745567
0.017496700,9.364768684
0.017700200,9.363791320
0.017903600,9.366814437
0.018107100,9.365837073
0.018310500,9.364860190
0.018514000,9.363882826
0.018717400,9.366905943
0.018920900,9.365928579
0.019124300,9.364951696
0.019327800,9.363974332
0.019531300,9.362996969
0.019734700,9.362020085
0.019938200,9.361042722
0.020141600,9.360065838
0.020345100,9.359088475
0.020548500,9.358111591
0.020752000,9.357134228
0.020955400,9.356157344
0.021158900,9.355179981
0.021362300,9.350203097
0.021565800,9.349225734
0.021769200,9.348248851
0.021972700,9.347271487
0.022176100,9.342294604
0.022379600,9.341317240
0.022583000,9.336340357
0.022786500,9.335362993
0.022989900,9.334386110
0.023193400,9.329408746
0.023396800,9.324431863
0.023600300,9.323454499
0.023803700,9.318477616
0.024007200,9.313500252
0.024210600,9.312523369
0.024414100,9.307546005
0.024617500,9.302569122
0.024821000,9.301591758
0.025024400,9.296614875
0.025227900,9.291637511
0.025431300,9.286660628
0.025634800,9.285683264
0.025838200,9.280706381
0.026041700,9.271729018
0.026245100,9.270752134
0.026448600,9.265774771
0.026652000,9.256797887
0.026855500,9.255820524
0.027058900,9.250843640
0.027262400,9.241866277
0.027465800,9.236889393
0.027669300,9.235912030
0.027872700,9.230935146
0.028076200,9.221957783
0.028279600,9.216980899
0.028483100,9.212003536
0.028686500,9.203026653
0.028890000,9.198049289
0.029093400,9.193072406
0.029296900,9.184095042
0.029500300,9.179118159
0.029703800,9.174140795
0.029907200,9.169163912
0.030110700,9.160186548
0.030314100,9.155209665
0.030517600,9.150232301
0.030721000,9.137255418
0.030924500,9.132278054
0.031127900,9.127301171
0.031331400,9.118323807
0.031534800,9.109346924
0.031738300,9.104369560
0.031941700,9.099392677
0.032145200,9.090415313
0.032348600,9.081438430
0.032552100,9.076461066
0.032755500,9.063484183
0.032959000,9.058506820
0.033162400,9.053529936
0.033365900,9.040552573
0.033569300,9.035575689
0.033772800,9.026598326
0.033976200,9.021621442
0.034179700,9.008644079
0.034383100,9.003667195
0.034586600,8.994689832
0.034790000,8.981712948
0.034993500,8.976735585
0.035196900,8.971758702
0.035400400,8.958781338
0.035603800,8.949804455
0.035807300,8.944827091
0.036010700,8.931850208
0.036214200,8.922872844
0.036417600,8.917895961
0.036621100,8.908918597
0.036824500,8.895941714
0.037028000,8.890964350
0.037231400,8.881987467
0.037434900,8.869010103
0.037638300,8.860033220
0.037841800,8.855055856
0.038045200,8.842078973
0.038248700,8.833101609
0.038452100,8.828124726
0.038655600,8.819147362
0.038859000,8.806170479
0.039062500,8.797193115
0.039266000,8.792215752
0.039469400,8.779238869
0.039672900,8.770261505
0.039876300,8.765284622
0.040079800,8.752307258
0.040283200,8.743330375
0.040486700,8.738353011
0.040690100,8.729376128
0.040893600,8.716398764
0.041097000,8.707421881
0.041300500,8.702444517
0.041503900,8.689467634
0.041707400,8.680490270
0.041910800,8.675513387
0.042114300,8.662536023
0.042317700,8.653559140
0.042521200,8.648581776
0.042724600,8.639604893
0.042928100,8.626627529
0.043131500,8.621650646
0.043335000,8.612673282
0.043538400,8.599696399
0.043741900,8.594719035
0.043945300,8.585742152
0.044148800,8.572764789
0.044352200,8.563787905
0.044555700,8.558810542
0.044759100,8.545833658
0.044962600,8.536856295
0.045166000,8.531879411
0.045369500,8.522902048
0.045572900,8.509925164
0.045776400,8.500947801
0.045979800,8.495970917
0.046183300,8.482993554
0.046386700,8.474016671
0.046590200,8.469039307
0.046793600,8.452062424
0.046997100,8.447085060
0.047200500,8.438108177
0.047404000,8.429130813
0.047607400,8.416153930
0.047810900,8.411176566
0.048014300,8.402199683
0.048217800,8.389222319
0.048421200,8.380245436
0.048624700,8.371268072
0.048828100,8.358291189
0.049031600,8.349313825
0.049235000,8.340336942
0.049438500,8.335359578
0.049641900,8.318382695
0.049845400,8.313405331
0.050048800,8.304428448
0.050252300,8.287451084
0.050455700,8.282474201
0.050659200,8.273496838
0.050862600,8.260519954
0.051066100,8.251542591
0.051269500,8.242565707
0.051473000,8.237588344
0.051676400,8.220611460
0.051879900,8.215634097
0.052083300,8.206657213
0.052286800,8.193679850
0.052490200,8.184702966
0.052693700,8.179725603
0.052897100,8.162748719
0.053100600,8.157771356
0.053304000,8.148794473
0.053507500,8.143817109
0.053710900,8.130840226
0.053914400,8.121862862
0.054117800,8.116885979
0.054321300,8.103908615
0.054524700,8.094931732
0.054728200,8.089954368
0.054931600,8.076977485
0.055135100,8.072000121
0.055338500,8.063023238
0.055542000,8.054045874
0.055745400,8.045068991
0.055948900,8.040091627
0.056152300,8.035114744
0.056355800,8.022137380
0.056559200,8.017160497
0.056762700,8.012183133
0.056966100,8.003206250
0.057169600,7.994228886
0.057373000,7.989252003
0.057576500,7.980274640
0.057779900,7.975297756
0.057983400,7.970320393
0.058186800,7.965343509
0.058390300,7.956366146
0.058593800,7.951388782
0.058797200,7.946411899
0.059000700,7.937434535
0.059204100,7.932457652
0.059407600,7.927480288
0.059611000,7.918503405
0.059814500,7.913526041
0.060017900,7.908549158
0.060221400,7.903571794
0.060424800,7.894594911
0.060628300,7.893617547
0.060831700,7.888640664
0.061035200,7.879663300
0.061238600,7.874686417
0.061442100,7.869709053
0.061645500,7.860732170
0.061849000,7.855754807
0.062052400,7.850777923
0.062255900,7.845800560
0.062459300,7.840823676
0.062662800,7.835846313
0.062866200,7.830869429
0.063069700,7.821892066
0.063273100,7.816915182
0.063476600,7.811937819
0.063680000,7.802960935
0.063883500,7.797983572
0.064086900,7.793006689
0.064290400,7.784029325
0.064493800,7.779052442
0.064697300,7.774075078
0.064900700,7.769098195
0.065104200,7.760120831
0.065307600,7.755143948
0.065511100,7.750166584
0.065714500,7.741189701
0.065918000,7.736212337
0.066121400,7.731235454
0.066324900,7.722258090
0.066528300,7.717281207
0.066731800,7.712303843
0.066935200,7.707326960
0.067138700,7.698349596
0.067342100,7.693372713
0.067545600,7.688395349
0.067749000,7.679418466
0.067952500,7.674441102
0.068155900,7.669464219
0.068359400,7.660486855
0.068562800,7.655509972
0.068766300,7.650532609
0.068969700,7.645555725
0.069173200,7.636578362
0.069376600,7.631601478
0.069580100,7.626624115
0.069783500,7.617647231
0.069987000,7.612669868
0.070190400,7.607692984
0.070393900,7.598715621
0.070597300,7.593738737
0.070800800,7.588761374
0.071004200,7.583784491
0.071207700,7.578807127
0.071411100,7.573830244
0.071614600,7.568852880
0.071818000,7.559875997
0.072021500,7.554898633
0.072224900,7.553921750
0.072428400,7.544944386
0.072631800,7.539967503
0.072835300,7.538990139
0.073038700,7.530013256
0.073242200,7.525035892
0.073445600,7.524059009
0.073649100,7.519081645
0.073852500,7.510104762
0.074056000,7.509127398
0.074259400,7.504150515
0.074462900,7.499173151
0.074666300,7.494196268
0.074869800,7.493218904
0.075073200,7.484242021
0.075276700,7.483264658
0.075480100,7.478287774
0.075683600,7.473310411
0.075887000,7.468333527
0.076090500,7.467356164
0.076293900,7.462379280
0.076497400,7.457401917
0.076700800,7.452425033
0.076904300,7.451447670
0.077107700,7.446470786
0.077311200,7.441493423
0.077514600,7.436516539
0.077718100,7.435539176
0.077921500,7.430562293
0.078125000,7.425584929
0.078328500,7.424607565
0.078531900,7.415630682
0.078735400,7.414653318
