x (mm),altura (µm)
0.000000000,-3.936655744
0.000203500,-3.936726233
0.000406900,-3.932796688
0.000610400,-3.932867178
0.000813800,-3.936937633
0.001017300,-3.929008122
0.001220700,-3.933078577
0.001424200,-3.929149066
0.001627600,-3.933219521
0.001831100,-3.929290011
0.002034500,-3.929360466
0.002238000,-3.929430955
0.002441400,-3.929501410
0.002644900,-3.929571899
0.002848300,-3.929642354
0.003051800,-3.925712844
0.003255200,-3.929783299
0.003458700,-3.929853788
0.003662100,-3.929924243
0.003865600,-3.929994732
0.004069000,-3.926065187
0.004272500,-3.930135677
0.004475900,-3.930206132
0.004679400,-3.926276621
0.004882800,-3.930347076
0.005086300,-3.930417566
0.005289700,-3.930488020
0.005493200,-3.930558510
0.005696600,-3.930628965
0.005900100,-3.930699454
0.006103500,-3.934769909
0.006307000,-3.934840399
0.006510400,-3.934910853
0.006713900,-3.934981343
0.006917300,-3.939051798
0.007120800,-3.939122287
0.007324200,-3.939192742
0.007527700,-3.943263232
0.007731100,-3.943333686
0.007934600,-3.943404176
0.008138000,-3.947474631
0.008341500,-3.947545120
0.008544900,-3.947615575
0.008748400,-3.951686065
0.008951800,-3.951756519
0.009155300,-3.955827009
0.009358700,-3.955897464
0.009562200,-3.959967953
0.009765600,-3.964038408
0.009969100,-3.964108898
0.010172500,-3.968179352
0.010376000,-3.972249842
0.010579400,-3.972320297
0.010782900,-3.976390786
0.010986300,-3.976461241
0.011189800,-3.980531731
0.011393200,-3.988602186
0.011596700,-3.988672675
0.011800100,-3.992743130
0.012003600,-3.996813619
0.012207000,-4.000884074
0.012410500,-4.004954564
0.012613900,-4.005025019
0.012817400,-4.013095508
0.013020800,-4.017165963
0.013224300,-4.021236452
0.013427700,-4.025306907
0.013631200,-4.033377397
0.013834600,-4.033447852
0.014038100,-4.041518341
0.014241500,-4.041588796
0.014445000,-4.049659285
0.014648400,-4.057729740
0.014851900,-4.057800230
0.015055300,-4.065870685
0.015258800,-4.069941174
0.015462200,-4.078011629
0.015665700,-4.086082118
0.015869100,-4.090152573
0.016072600,-4.098223063
0.016276000,-4.106293518
0.016479500,-4.110364007
0.016682900,-4.118434462
0.016886400,-4.122504951
0.017089800,-4.130575406
0.017293300,-4.138645896
0.017496700,-4.142716351
0.017700200,-4.150786840
0.017903600,-4.162857295
0.018107100,-4.166927785
0.018310500,-4.174998239
0.018514000,-4.191068729
0.018717400,-4.195139184
0.018920900,-4.203209673
0.019124300,-4.207280128
0.019327800,-4.219350618
0.019531300,-4.231421107
0.019734700,-4.235491562
0.019938200,-4.251562051
0.020141600,-4.259632506
0.020345100,-4.263702996
0.020548500,-4.279773451
0.020752000,-4.283843940
0.020955400,-4.295914395
0.021158900,-4.303984884
0.021362300,-4.316055339
0.021565800,-4.328125829
0.021769200,-4.336196284
0.021972700,-4.352266773
0.022176100,-4.360337228
0.022379600,-4.368407717
0.022583000,-4.384478172
0.022786500,-4.396548662
0.022989900,-4.404619117
0.023193400,-4.412689606
0.023396800,-4.432760061
0.023600300,-4.440830550
0.023803700,-4.448901005
0.024007200,-4.468971495
0.024210600,-4.477041950
0.024414100,-4.489112439
0.024617500,-4.505182894
0.024821000,-4.517253384
0.025024400,-4.529323838
0.025227900,-4.541394328
0.025431300,-4.553464783
0.025634800,-4.565535272
0.025838200,-4.573605727
0.026041700,-4.593676217
0.026245100,-4.601746671
0.026448600,-4.613817161
