Parámetro,Valor
Ra (Promedio Aritmético),2.574 µm
Rq (RMS),3.261 µm
Rp (Pico Máximo),8.728 µm
Rv (Valle Máximo),-7.636 µm
Rt (Altura Total del Perfil),16.364 µm
Rz (ISO 4287:1997),10.753 µm
Rsk (Asimetría),-0.167
Rku (Curtosis),3.121
RSm (Anchura Media de Elementos),231.014 µm
Rdq (Pendiente RMS),47.452 µm/mm
Rda (Pendiente Media Absoluta),35.955 µm/mm
Pc (Conteo de Picos),49.60 1/mm
Rpk (Altura de picos que se desgastan),1.004 µm
Rk (Profundidad del núcleo funcional),1.941 µm
Rvk (Profundidad de valles para lubricante),1.467 µm
Mr1 (%),29.20
Mr2 (%),59.38
