x (mm),altura (µm)
0.000000000,6.860004748
0.000203500,6.862043349
0.000406900,6.876082913
0.000610400,6.878121513
0.000813800,6.884161077
0.001017300,6.894199678
0.001220700,6.900239242
0.001424200,6.902277842
0.001627600,6.908317406
0.001831100,6.918356007
0.002034500,6.924395571
0.002238000,6.926434171
0.002441400,6.936473735
0.002644900,6.942512335
0.002848300,6.944551900
0.003051800,6.954590500
0.003255200,6.960630064
0.003458700,6.962668664
0.003662100,6.968708229
0.003865600,6.978746829
0.004069000,6.980786393
0.004272500,6.986824993
0.004475900,6.996864558
0.004679400,6.998903158
0.004882800,7.004942722
0.005086300,7.010981322
0.005289700,7.017020886
0.005493200,7.019059487
0.005696600,7.025099051
0.005900100,7.031137651
0.006103500,7.037177215
0.006307000,7.039215816
0.006510400,7.049255380
0.006713900,7.051293980
0.006917300,7.053333544
0.007120800,7.063372145
0.007324200,7.065411709
0.007527700,7.071450309
0.007731100,7.077489873
0.007934600,7.083528474
0.008138000,7.085568038
0.008341500,7.087606638
0.008544900,7.097646202
0.008748400,7.099684802
0.008951800,7.101724367
0.009155300,7.111762967
0.009358700,7.113802531
0.009562200,7.115841131
0.009765600,7.121880696
0.009969100,7.123919296
0.010172500,7.129958860
0.010376000,7.131997460
0.010579400,7.138037024
0.010782900,7.140075625
0.010986300,7.142115189
0.011189800,7.148153789
0.011393200,7.150193353
0.011596700,7.152231954
0.011800100,7.158271518
0.012003600,7.160310118
0.012207000,7.162349682
0.012410500,7.164388283
0.012613900,7.170427847
0.012817400,7.172466447
0.013020800,7.174506011
0.013224300,7.180544612
0.013427700,7.182584176
0.013631200,7.180622776
0.013834600,7.186662340
0.014038100,7.188700941
0.014241500,7.190740505
0.014445000,7.188779105
0.014648400,7.194818669
0.014851900,7.196857269
0.015055300,7.194896834
0.015258800,7.200935434
0.015462200,7.198974998
0.015665700,7.201013598
0.015869100,7.203053163
0.016072600,7.205091763
0.016276000,7.207131327
0.016479500,7.209169927
0.016682900,7.211209491
0.016886400,7.209248092
0.017089800,7.211287656
0.017293300,7.213326256
0.017496700,7.215365820
0.017700200,7.217404421
0.017903600,7.219443985
0.018107100,7.221482585
0.018310500,7.219522149
0.018514000,7.225560750
0.018717400,7.223600314
0.018920900,7.225638914
0.019124300,7.227678478
0.019327800,7.229717079
0.019531300,7.231755679
0.019734700,7.233795243
0.019938200,7.239833843
0.020141600,7.237873408
0.020345100,7.239912008
0.020548500,7.245951572
0.020752000,7.247990172
0.020955400,7.250029736
0.021158900,7.252068337
0.021362300,7.258107901
0.021565800,7.260146501
0.021769200,7.266186065
0.021972700,7.272224666
0.022176100,7.274264230
0.022379600,7.280302830
0.022583000,7.286342394
0.022786500,7.288380995
0.022989900,7.294420559
0.023193400,7.296459159
0.023396800,7.306498723
0.023600300,7.312537324
0.023803700,7.314576888
0.024007200,7.328615488
0.024210600,7.330655052
0.024414100,7.336693652
0.024617500,7.346733217
0.024821000,7.352771817
0.025024400,7.358811381
0.025227900,7.372849981
0.025431300,7.378889546
0.025634800,7.384928146
0.025838200,7.390967710
0.026041700,7.405006310
0.026245100,7.411045875
0.026448600,7.417084475
0.026652000,7.431124039
0.026855500,7.437162639
0.027058900,7.443202203
0.027262400,7.461240804
0.027465800,7.467280368
0.027669300,7.473318968
0.027872700,7.479358532
0.028076200,7.497397133
0.028279600,7.503436697
0.028483100,7.513475297
0.028686500,7.527514861
0.028890000,7.537553462
0.029093400,7.543593026
0.029296900,7.561631626
0.029500300,7.567671190
0.029703800,7.577709791
0.029907200,7.583749355
0.030110700,7.601787955
0.030314100,7.611827519
0.030517600,7.617866119
0.030721000,7.635905684
0.030924500,7.641944284
0.031127900,7.651983848
0.031331400,7.670022448
0.031534800,7.676062013
0.031738300,7.682100613
0.031941700,7.692140177
0.032145200,7.710178777
0.032348600,7.716218341
0.032552100,7.726256942
0.032755500,7.740296506
0.032959000,7.750335106
0.033162400,7.756374670
0.033365900,7.774413271
0.033569300,7.780452835
0.033772800,7.790491435
0.033976200,7.796530999
0.034179700,7.814569600
0.034383100,7.820609164
0.034586600,7.826647764
0.034790000,7.844687328
0.034993500,7.850725929
0.035196900,7.856765493
0.035400400,7.874804093
0.035603800,7.880843657
0.035807300,7.886882258
0.036010700,7.904921822
0.036214200,7.910960422
0.036417600,7.916999986
0.036621100,7.923038586
0.036824500,7.937078151
0.037028000,7.943116751
0.037231400,7.953156315
0.037434900,7.967194915
0.037638300,7.973234480
0.037841800,7.979273080
0.038045200,7.993312644
0.038248700,7.999351244
0.038452100,8.005390808
0.038655600,8.011429409
0.038859000,8.025468973
0.039062500,8.027507573
0.039266000,8.033546174
0.039469400,8.047585738
0.039672900,8.053624338
0.039876300,8.059663902
0.040079800,8.069702503
