Parámetro,Valor
Ra (Promedio Aritmético),1.634 µm
Rq (RMS),2.076 µm
Rp (Pico Máximo),5.968 µm
Rv (Valle Máximo),-5.376 µm
Rt (Altura Total del Perfil),11.344 µm
Rz (ISO 4287:1997),6.649 µm
Rsk (Asimetría),0.308
Rku (Curtosis),2.997
RSm (Anchura Media de Elementos),144.136 µm
Rdq (Pendiente RMS),37.223 µm/mm
Rda (Pendiente Media Absoluta),27.754 µm/mm
Pc (Conteo de Picos),57.60 1/mm
Rpk (Altura de picos que se desgastan),0.713 µm
Rk (Profundidad del núcleo funcional),1.282 µm
Rvk (Profundidad de valles para lubricante),0.586 µm
Mr1 (%),34.34
Mr2 (%),61.67
