Parámetro,Valor
Ra (Promedio Aritmético),1.572 µm
Rq (RMS),2.022 µm
Rp (Pico Máximo),6.112 µm
Rv (Valle Máximo),-5.756 µm
Rt (Altura Total del Perfil),11.868 µm
Rz (ISO 4287:1997),6.923 µm
Rsk (Asimetría),-0.094
Rku (Curtosis),3.078
RSm (Anchura Media de Elementos),164.607 µm
Rdq (Pendiente RMS),31.472 µm/mm
Rda (Pendiente Media Absoluta),21.794 µm/mm
Pc (Conteo de Picos),54.60 1/mm
Rpk (Altura de picos que se desgastan),0.768 µm
Rk (Profundidad del núcleo funcional),1.184 µm
Rvk (Profundidad de valles para lubricante),0.937 µm
Mr1 (%),32.15
Mr2 (%),62.45
