x (mm),altura (µm)
0.000000000,-16.597255054
0.000203500,-16.589971627
0.000406900,-16.574689814
0.000610400,-16.563406387
0.000813800,-16.556124574
0.001017300,-16.540841147
0.001220700,-16.529559334
0.001424200,-16.522275907
0.001627600,-16.510994093
0.001831100,-16.495710667
0.002034500,-16.488428853
0.002238000,-16.477145426
0.002441400,-16.461863613
0.002644900,-16.454580186
0.002848300,-16.447298373
0.003051800,-16.432014946
0.003255200,-16.420733133
0.003458700,-16.413449706
0.003662100,-16.406167892
0.003865600,-16.390884465
0.004069000,-16.383602652
0.004272500,-16.372319225
0.004475900,-16.361037412
0.004679400,-16.353753985
0.004882800,-16.342472172
0.005086300,-16.331188745
0.005289700,-16.323906931
0.005493200,-16.312623505
0.005696600,-16.305341691
0.005900100,-16.294058264
0.006103500,-16.286776451
0.006307000,-16.279493024
0.006510400,-16.268211211
0.006713900,-16.256927784
0.006917300,-16.249645971
0.007120800,-16.238362544
0.007324200,-16.231080730
0.007527700,-16.223797304
0.007731100,-16.212515490
0.007934600,-16.209232063
0.008138000,-16.201950250
0.008341500,-16.194666823
0.008544900,-16.183385010
0.008748400,-16.176101583
0.008951800,-16.168819769
0.009155300,-16.161536343
0.009358700,-16.154254529
0.009562200,-16.146971102
0.009765600,-16.139689289
0.009969100,-16.132405862
0.010172500,-16.125124049
0.010376000,-16.121840622
0.010579400,-16.110558809
0.010782900,-16.107275382
0.010986300,-16.099993568
0.011189800,-16.092710142
0.011393200,-16.089428328
0.011596700,-16.082144901
0.011800100,-16.074863088
0.012003600,-16.071579661
0.012207000,-16.064297848
0.012410500,-16.061014421
0.012613900,-16.053732608
0.012817400,-16.046449181
0.013020800,-16.043167367
0.013224300,-16.035883940
0.013427700,-16.032602127
0.013631200,-16.029318700
0.013834600,-16.022036887
0.014038100,-16.018753460
0.014241500,-16.011471647
0.014445000,-16.008188220
0.014648400,-16.004906406
0.014851900,-16.001622980
0.015055300,-15.994341166
0.015258800,-15.991057739
0.015462200,-15.987775926
0.015665700,-15.984492499
0.015869100,-15.977210686
0.016072600,-15.973927259
0.016276000,-15.970645446
0.016479500,-15.967362019
0.016682900,-15.964080205
0.016886400,-15.960796779
0.017089800,-15.957514965
0.017293300,-15.954231538
0.017496700,-15.950949725
0.017700200,-15.947666298
0.017903600,-15.944384485
0.018107100,-15.941101058
0.018310500,-15.937819245
0.018514000,-15.934535818
0.018717400,-15.931254004
0.018920900,-15.927970577
0.019124300,-15.924688764
0.019327800,-15.921405337
0.019531300,-15.918121910
0.019734700,-15.914840097
0.019938200,-15.911556670
0.020141600,-15.908274857
0.020345100,-15.904991430
0.020548500,-15.901709617
0.020752000,-15.898426190
0.020955400,-15.895144376
0.021158900,-15.891860950
0.021362300,-15.888579136
0.021565800,-15.885295709
0.021769200,-15.882013896
0.021972700,-15.878730469
0.022176100,-15.875448656
0.022379600,-15.872165229
0.022583000,-15.872883416
0.022786500,-15.869599989
0.022989900,-15.866318175
0.023193400,-15.863034748
